county,precinct,office,district,party,candidate,votes,election_day,mail
Monterey,1001,Registered Voters,,,,1600,,
Monterey,1002,Registered Voters,,,,1802,,
Monterey,1003,Registered Voters,,,,1198,,
Monterey,1004,Registered Voters,,,,862,,
Monterey,1005,Registered Voters,,,,1010,,
Monterey,1006,Registered Voters,,,,1833,,
Monterey,1007,Registered Voters,,,,1169,,
Monterey,1008,Registered Voters,,,,1481,,
Monterey,1009,Registered Voters,,,,1530,,
Monterey,1010,Registered Voters,,,,886,,
Monterey,1011,Registered Voters,,,,1091,,
Monterey,1012,Registered Voters,,,,1965,,
Monterey,1013,Registered Voters,,,,1607,,
Monterey,1014,Registered Voters,,,,1118,,
Monterey,1015,Registered Voters,,,,853,,
Monterey,1016,Registered Voters,,,,1544,,
Monterey,1017,Registered Voters,,,,848,,
Monterey,1018,Registered Voters,,,,1349,,
Monterey,1019,Registered Voters,,,,886,,
Monterey,1020,Registered Voters,,,,649,,
Monterey,1021,Registered Voters,,,,1013,,
Monterey,1022,Registered Voters,,,,1185,,
Monterey,2023,Registered Voters,,,,650,,
Monterey,2024,Registered Voters,,,,1320,,
Monterey,2025,Registered Voters,,,,1488,,
Monterey,2026,Registered Voters,,,,1817,,
Monterey,2027,Registered Voters,,,,1633,,
Monterey,2028,Registered Voters,,,,2120,,
Monterey,2029,Registered Voters,,,,1935,,
Monterey,2030,Registered Voters,,,,566,,
Monterey,2031,Registered Voters,,,,1524,,
Monterey,2032,Registered Voters,,,,1429,,
Monterey,2033,Registered Voters,,,,1769,,
Monterey,2034,Registered Voters,,,,1771,,
Monterey,2035,Registered Voters,,,,952,,
Monterey,2036,Registered Voters,,,,1363,,
Monterey,2037,Registered Voters,,,,810,,
Monterey,2038,Registered Voters,,,,1213,,
Monterey,2039,Registered Voters,,,,1655,,
Monterey,2040,Registered Voters,,,,840,,
Monterey,2041,Registered Voters,,,,1863,,
Monterey,2042,Registered Voters,,,,1623,,
Monterey,2043,Registered Voters,,,,918,,
Monterey,2044,Registered Voters,,,,1703,,
Monterey,2045,Registered Voters,,,,971,,
Monterey,2046,Registered Voters,,,,1221,,
Monterey,2047,Registered Voters,,,,1600,,
Monterey,2048,Registered Voters,,,,1387,,
Monterey,2049,Registered Voters,,,,1065,,
Monterey,2050,Registered Voters,,,,1852,,
Monterey,2051,Registered Voters,,,,1583,,
Monterey,2052,Registered Voters,,,,795,,
Monterey,3053,Registered Voters,,,,1199,,
Monterey,3054,Registered Voters,,,,1511,,
Monterey,3055,Registered Voters,,,,1671,,
Monterey,3056,Registered Voters,,,,1306,,
Monterey,3057,Registered Voters,,,,1841,,
Monterey,3058,Registered Voters,,,,1620,,
Monterey,3059,Registered Voters,,,,1449,,
Monterey,3060,Registered Voters,,,,2213,,
Monterey,3061,Registered Voters,,,,1952,,
Monterey,3062,Registered Voters,,,,1999,,
Monterey,3063,Registered Voters,,,,1478,,
Monterey,3064,Registered Voters,,,,2074,,
Monterey,3065,Registered Voters,,,,1946,,
Monterey,3066,Registered Voters,,,,1361,,
Monterey,3067,Registered Voters,,,,718,,
Monterey,3068,Registered Voters,,,,1055,,
Monterey,3069,Registered Voters,,,,704,,
Monterey,3070,Registered Voters,,,,842,,
Monterey,4071,Registered Voters,,,,1212,,
Monterey,4072,Registered Voters,,,,1802,,
Monterey,4073,Registered Voters,,,,1021,,
Monterey,4074,Registered Voters,,,,1332,,
Monterey,4075,Registered Voters,,,,1790,,
Monterey,4076,Registered Voters,,,,1389,,
Monterey,4077,Registered Voters,,,,1510,,
Monterey,4078,Registered Voters,,,,1646,,
Monterey,4079,Registered Voters,,,,1604,,
Monterey,4080,Registered Voters,,,,1014,,
Monterey,4081,Registered Voters,,,,1502,,
Monterey,4082,Registered Voters,,,,1813,,
Monterey,4083,Registered Voters,,,,1123,,
Monterey,4084,Registered Voters,,,,1081,,
Monterey,4085,Registered Voters,,,,1936,,
Monterey,4086,Registered Voters,,,,1567,,
Monterey,4087,Registered Voters,,,,1732,,
Monterey,4088,Registered Voters,,,,1623,,
Monterey,4089,Registered Voters,,,,1448,,
Monterey,4090,Registered Voters,,,,1684,,
Monterey,4091,Registered Voters,,,,1354,,
Monterey,4092,Registered Voters,,,,951,,
Monterey,4093,Registered Voters,,,,1811,,
Monterey,4094,Registered Voters,,,,1250,,
Monterey,4095,Registered Voters,,,,960,,
Monterey,4096,Registered Voters,,,,1571,,
Monterey,4097,Registered Voters,,,,968,,
Monterey,4098,Registered Voters,,,,1461,,
Monterey,4099,Registered Voters,,,,1334,,
Monterey,4188,Registered Voters,,,,1206,,
Monterey,5100,Registered Voters,,,,1615,,
Monterey,5101,Registered Voters,,,,1842,,
Monterey,5102,Registered Voters,,,,2105,,
Monterey,5103,Registered Voters,,,,1675,,
Monterey,5104,Registered Voters,,,,1650,,
Monterey,5105,Registered Voters,,,,984,,
Monterey,5106,Registered Voters,,,,1196,,
Monterey,5107,Registered Voters,,,,1457,,
Monterey,5108,Registered Voters,,,,1342,,
Monterey,5109,Registered Voters,,,,1159,,
Monterey,5110,Registered Voters,,,,1199,,
Monterey,5111,Registered Voters,,,,1573,,
Monterey,5112,Registered Voters,,,,1638,,
Monterey,5113,Registered Voters,,,,1582,,
Monterey,5114,Registered Voters,,,,1469,,
Monterey,5115,Registered Voters,,,,1411,,
Monterey,5116,Registered Voters,,,,1642,,
Monterey,5117,Registered Voters,,,,1379,,
Monterey,5118,Registered Voters,,,,1952,,
Monterey,5119,Registered Voters,,,,1448,,
Monterey,5120,Registered Voters,,,,1417,,
Monterey,5121,Registered Voters,,,,1270,,
Monterey,5122,Registered Voters,,,,1223,,
Monterey,5123,Registered Voters,,,,1801,,
Monterey,5124,Registered Voters,,,,1326,,
Monterey,5125,Registered Voters,,,,818,,
Monterey,5126,Registered Voters,,,,1272,,
Monterey,5127,Registered Voters,,,,1508,,
Monterey,5128,Registered Voters,,,,1336,,
Monterey,5129,Registered Voters,,,,1075,,
Monterey,5130,Registered Voters,,,,1269,,
Monterey,5131,Registered Voters,,,,527,,
Monterey,5132,Registered Voters,,,,615,,
Monterey,5133,Registered Voters,,,,1249,,
Monterey,5134,Registered Voters,,,,1967,,
Monterey,5135,Registered Voters,,,,1660,,
Monterey,5136,Registered Voters,,,,1853,,
Monterey,5137,Registered Voters,,,,1493,,
Monterey,9101,Registered Voters,,,,52,,
Monterey,9102,Registered Voters,,,,331,,
Monterey,9103,Registered Voters,,,,103,,
Monterey,9204,Registered Voters,,,,12,,
Monterey,9205,Registered Voters,,,,2,,
Monterey,9206,Registered Voters,,,,838,,
Monterey,9207,Registered Voters,,,,621,,
Monterey,9208,Registered Voters,,,,437,,
Monterey,9209,Registered Voters,,,,62,,
Monterey,9210,Registered Voters,,,,117,,
Monterey,9211,Registered Voters,,,,80,,
Monterey,9212,Registered Voters,,,,52,,
Monterey,9213,Registered Voters,,,,368,,
Monterey,9214,Registered Voters,,,,68,,
Monterey,9215,Registered Voters,,,,85,,
Monterey,9216,Registered Voters,,,,46,,
Monterey,9318,Registered Voters,,,,516,,
Monterey,9320,Registered Voters,,,,16,,
Monterey,9321,Registered Voters,,,,252,,
Monterey,9322,Registered Voters,,,,136,,
Monterey,9323,Registered Voters,,,,348,,
Monterey,9324,Registered Voters,,,,315,,
Monterey,9325,Registered Voters,,,,137,,
Monterey,9326,Registered Voters,,,,482,,
Monterey,9327,Registered Voters,,,,489,,
Monterey,9328,Registered Voters,,,,12,,
Monterey,9329,Registered Voters,,,,262,,
Monterey,9330,Registered Voters,,,,465,,
Monterey,9331,Registered Voters,,,,704,,
Monterey,9432,Registered Voters,,,,37,,
Monterey,9433,Registered Voters,,,,60,,
Monterey,9434,Registered Voters,,,,138,,
Monterey,9436,Registered Voters,,,,1448,,
Monterey,9437,Registered Voters,,,,246,,
Monterey,9438,Registered Voters,,,,12,,
Monterey,9439,Registered Voters,,,,13,,
Monterey,9540,Registered Voters,,,,395,,
Monterey,9541,Registered Voters,,,,517,,
Monterey,9542,Registered Voters,,,,314,,
Monterey,9543,Registered Voters,,,,561,,
Monterey,9544,Registered Voters,,,,822,,
Monterey,9545,Registered Voters,,,,501,,
Monterey,9546,Registered Voters,,,,876,,
Monterey,9547,Registered Voters,,,,334,,
Monterey,9548,Registered Voters,,,,211,,
Monterey,9549,Registered Voters,,,,129,,
Monterey,9550,Registered Voters,,,,14,,
Monterey,9551,Registered Voters,,,,73,,
Monterey,9552,Registered Voters,,,,89,,
Monterey,9553,Registered Voters,,,,173,,
Monterey,MONTEREY CO CA,Registered Voters,,,,206917,,
Monterey,1001,Ballots Cast,,,,947,139,808
Monterey,1002,Ballots Cast,,,,1155,104,1051
Monterey,1003,Ballots Cast,,,,791,71,720
Monterey,1004,Ballots Cast,,,,522,64,458
