county,precinct,office,district,party,candidate,election_day,mail,provisional,votes
Butte,1101,,,,Registered Voters,,,,1302
Butte,1102,,,,Registered Voters,,,,1527
Butte,1103,,,,Registered Voters,,,,1712
Butte,1104,,,,Registered Voters,,,,1600
Butte,1105,,,,Registered Voters,,,,1193
Butte,1106,,,,Registered Voters,,,,1113
Butte,1801,,,,Registered Voters,,,,1263
Butte,1802,,,,Registered Voters,,,,1135
Butte,1803,,,,Registered Voters,,,,563
Butte,1804,,,,Registered Voters,,,,1026
Butte,1805,,,,Registered Voters,,,,1616
Butte,1806,,,,Registered Voters,,,,1749
Butte,1807,,,,Registered Voters,,,,1123
Butte,1808,,,,Registered Voters,,,,1379
Butte,1809,,,,Registered Voters,,,,1285
Butte,1810,,,,Registered Voters,,,,602
Butte,1811,,,,Registered Voters,,,,631
Butte,1812,,,,Registered Voters,,,,447
Butte,1813,,,,Registered Voters,,,,132
Butte,1901,,,,Registered Voters,,,,263
Butte,1902,,,,Registered Voters,,,,19
Butte,1903,,,,Registered Voters,,,,0
Butte,1904,,,,Registered Voters,,,,0
Butte,1905,,,,Registered Voters,,,,0
Butte,1906,,,,Registered Voters,,,,237
Butte,1907,,,,Registered Voters,,,,547
Butte,1908,,,,Registered Voters,,,,349
Butte,1909,,,,Registered Voters,,,,150
Butte,1910,,,,Registered Voters,,,,519
Butte,1911,,,,Registered Voters,,,,618
Butte,1912,,,,Registered Voters,,,,113
Butte,1913,,,,Registered Voters,,,,654
Butte,1914,,,,Registered Voters,,,,33
Butte,1915,,,,Registered Voters,,,,49
Butte,1916,,,,Registered Voters,,,,30
Butte,1917,,,,Registered Voters,,,,275
Butte,1918,,,,Registered Voters,,,,132
Butte,2201,,,,Registered Voters,,,,1628
Butte,2202,,,,Registered Voters,,,,1144
Butte,2203,,,,Registered Voters,,,,1292
Butte,2204,,,,Registered Voters,,,,3356
Butte,2205,,,,Registered Voters,,,,574
Butte,2206,,,,Registered Voters,,,,1377
Butte,2207,,,,Registered Voters,,,,55
Butte,2208,,,,Registered Voters,,,,1558
Butte,2209,,,,Registered Voters,,,,1362
Butte,2210,,,,Registered Voters,,,,625
Butte,2211,,,,Registered Voters,,,,849
Butte,2212,,,,Registered Voters,,,,2717
Butte,2213,,,,Registered Voters,,,,1223
Butte,2214,,,,Registered Voters,,,,1029
Butte,2215,,,,Registered Voters,,,,1241
Butte,2216,,,,Registered Voters,,,,530
Butte,2217,,,,Registered Voters,,,,770
Butte,2801,,,,Registered Voters,,,,1618
Butte,2802,,,,Registered Voters,,,,874
Butte,2804,,,,Registered Voters,,,,1422
Butte,2805,,,,Registered Voters,,,,1468
Butte,2901,,,,Registered Voters,,,,329
Butte,2902,,,,Registered Voters,,,,539
Butte,2903,,,,Registered Voters,,,,3
Butte,2904,,,,Registered Voters,,,,462
Butte,2905,,,,Registered Voters,,,,474
Butte,3201,,,,Registered Voters,,,,1179
Butte,3202,,,,Registered Voters,,,,3220
Butte,3203,,,,Registered Voters,,,,2129
Butte,3204,,,,Registered Voters,,,,591
Butte,3205,,,,Registered Voters,,,,1689
Butte,3206,,,,Registered Voters,,,,1061
Butte,3207,,,,Registered Voters,,,,544
Butte,3208,,,,Registered Voters,,,,2184
Butte,3209,,,,Registered Voters,,,,1668
Butte,3210,,,,Registered Voters,,,,1731
Butte,3211,,,,Registered Voters,,,,2598
Butte,3212,,,,Registered Voters,,,,1578
Butte,3213,,,,Registered Voters,,,,1306
