county,precinct,office,district,party,candidate,election_day,mail,canvass,votes
Sonoma,1002 MB,Registered Voters,,,,,,,31
Sonoma,1003 MB,Registered Voters,,,,,,,1
Sonoma,1005 MB,Registered Voters,,,,,,,113
Sonoma,1006 MB,Registered Voters,,,,,,,0
Sonoma,1007 MB,Registered Voters,,,,,,,59
Sonoma,1008 MB,Registered Voters,,,,,,,144
Sonoma,1009 MB,Registered Voters,,,,,,,149
Sonoma,1012 MB,Registered Voters,,,,,,,23
Sonoma,1017,Registered Voters,,,,,,,782
Sonoma,1018 MB,Registered Voters,,,,,,,13
Sonoma,1022 MB,Registered Voters,,,,,,,48
Sonoma,1023,Registered Voters,,,,,,,518
Sonoma,1024 MB,Registered Voters,,,,,,,35
Sonoma,1027 MB,Registered Voters,,,,,,,0
Sonoma,1029 MB,Registered Voters,,,,,,,0
Sonoma,1031 MB,Registered Voters,,,,,,,164
Sonoma,1032 MB,Registered Voters,,,,,,,184
Sonoma,1033 MB,Registered Voters,,,,,,,68
Sonoma,1039 MB,Registered Voters,,,,,,,1
Sonoma,1040 MB,Registered Voters,,,,,,,55
Sonoma,1041 MB,Registered Voters,,,,,,,15
Sonoma,1043 MB,Registered Voters,,,,,,,13
Sonoma,1044 MB,Registered Voters,,,,,,,2
Sonoma,1045 MB,Registered Voters,,,,,,,61
Sonoma,1046 MB,Registered Voters,,,,,,,0
Sonoma,1047 MB,Registered Voters,,,,,,,197
Sonoma,1048 MB,Registered Voters,,,,,,,160
Sonoma,1049 MB,Registered Voters,,,,,,,89
Sonoma,1052 MB,Registered Voters,,,,,,,119
Sonoma,1053 MB,Registered Voters,,,,,,,157
Sonoma,1054 MB,Registered Voters,,,,,,,18
Sonoma,1055 MB,Registered Voters,,,,,,,199
Sonoma,1056 MB,Registered Voters,,,,,,,230
Sonoma,1057 MB,Registered Voters,,,,,,,24
Sonoma,1058 MB,Registered Voters,,,,,,,11
Sonoma,1059 MB,Registered Voters,,,,,,,0
Sonoma,1061 MB,Registered Voters,,,,,,,29
Sonoma,1062 MB,Registered Voters,,,,,,,10
Sonoma,1063 MB,Registered Voters,,,,,,,46
Sonoma,1064 MB,Registered Voters,,,,,,,50
Sonoma,1065 MB,Registered Voters,,,,,,,74
Sonoma,1067 MB,Registered Voters,,,,,,,45
Sonoma,1069 MB,Registered Voters,,,,,,,7
Sonoma,1070 MB,Registered Voters,,,,,,,18
Sonoma,1071 MB,Registered Voters,,,,,,,260
Sonoma,1073 MB,Registered Voters,,,,,,,16
Sonoma,1074 MB,Registered Voters,,,,,,,211
Sonoma,1075 MB,Registered Voters,,,,,,,111
Sonoma,1076 MB,Registered Voters,,,,,,,106
Sonoma,1077,Registered Voters,,,,,,,395
Sonoma,1078 MB,Registered Voters,,,,,,,29
Sonoma,1079 MB,Registered Voters,,,,,,,3
Sonoma,1080 MB,Registered Voters,,,,,,,120
Sonoma,1083 MB,Registered Voters,,,,,,,0
Sonoma,1084 MB,Registered Voters,,,,,,,114
Sonoma,1085 MB,Registered Voters,,,,,,,17
Sonoma,1086 MB,Registered Voters,,,,,,,38
Sonoma,1088 MB,Registered Voters,,,,,,,58
Sonoma,1089 MB,Registered Voters,,,,,,,0
Sonoma,1090 MB,Registered Voters,,,,,,,0
Sonoma,1091 MB,Registered Voters,,,,,,,0
Sonoma,1092 MB,Registered Voters,,,,,,,35
Sonoma,1093 MB,Registered Voters,,,,,,,80
Sonoma,1094 MB,Registered Voters,,,,,,,178
Sonoma,1095 MB,Registered Voters,,,,,,,230
Sonoma,1096 MB,Registered Voters,,,,,,,170
Sonoma,1097,Registered Voters,,,,,,,613
Sonoma,1098,Registered Voters,,,,,,,783
Sonoma,1099,Registered Voters,,,,,,,489
Sonoma,1103,Registered Voters,,,,,,,938
Sonoma,1104,Registered Voters,,,,,,,956
Sonoma,1105,Registered Voters,,,,,,,619
Sonoma,1106,Registered Voters,,,,,,,481
Sonoma,1109 MB,Registered Voters,,,,,,,172
Sonoma,1110,Registered Voters,,,,,,,1565
Sonoma,1111,Registered Voters,,,,,,,1097
Sonoma,1112,Registered Voters,,,,,,,368
Sonoma,1114 MB,Registered Voters,,,,,,,87
Sonoma,1115 MB,Registered Voters,,,,,,,129
Sonoma,1116,Registered Voters,,,,,,,2146
Sonoma,1117,Registered Voters,,,,,,,586
Sonoma,1118,Registered Voters,,,,,,,1065
Sonoma,1119 MB,Registered Voters,,,,,,,61
Sonoma,1120 MB,Registered Voters,,,,,,,11
Sonoma,1121,Registered Voters,,,,,,,1951
Sonoma,1122,Registered Voters,,,,,,,814
Sonoma,1124,Registered Voters,,,,,,,1551
Sonoma,1125 MB,Registered Voters,,,,,,,184
