county,precinct,office,district,party,candidate,votes,early voting,election day,provisional,mail
Siskiyou,M1001 BOGUS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1006 SHASTA CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1009 MACDOEL,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,M1014 PONDOSA CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M1117 TULELAKE 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M3013 WARREN,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M4032 GREENHORN CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5000 HENLEY,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5009 KLAMATH CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5012 HORNBROOK,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5018 SEIAD,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5025 WALKER CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5026 COTTONWOOD CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,M5038 GREENHORN 5,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P1000 MCCLOUD CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P1002 MONTAGUE 2,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P1003 WILLOW CREEK,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P1026 BIG SPRINGS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P1105 DORRIS 1,President,,DEM,Julian Castro,2,2,0,0,2
Siskiyou,P1110 MONTAGUE 1,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,P2009 DUNSMUIR 3,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P2014 MT SHASTA 3,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,P2015 MT SHASTA 5,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P2019 KINSTREY,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P2100 DUNSMUIR CONS,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P2110 MT SHASTA 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P2111 MT SHASTA 2,President,,DEM,Julian Castro,1,1,0,0,1
Siskiyou,P2115 MT SHASTA 4,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3000 BUTTEVILLE,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3004 GRENADA,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3006 LAKE SHASTINA M,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3007 LAKE SHASTINA E,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3009 MAYTEN,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3014 SISSON,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3111 WEED 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P3112 WEED 2,President,,DEM,Julian Castro,1,0,1,0,0
Siskiyou,P4030 FOREST MTN,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P4110 YREKA 1,President,,DEM,Julian Castro,0,0,0,0,0
Siskiyou,P4112 YREKA 2,President,,DEM,Julian Castro,0,0,0,0,0
