county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Kern,11155,Cards Cast,,,,227,0,761,988
Kern,11155,Registered Voters,,,,1261,1261,1261,1261
Kern,11155,Voters Cast,,,,227,0,761,988
Kern,11190,Cards Cast,,,,176,0,1096,1272
Kern,11190,Registered Voters,,,,1610,1610,1610,1610
Kern,11190,Voters Cast,,,,176,0,1096,1272
Kern,11195,Cards Cast,,,,261,0,1015,1276
Kern,11195,Registered Voters,,,,1366,1366,1366,1366
Kern,11195,Voters Cast,,,,261,0,1015,1276
Kern,11530,Cards Cast,,,,86,0,467,553
Kern,11530,Registered Voters,,,,929,929,929,929
Kern,11530,Voters Cast,,,,86,0,467,553
Kern,11540,Cards Cast,,,,77,0,529,606
Kern,11540,Registered Voters,,,,1054,1054,1054,1054
Kern,11540,Voters Cast,,,,77,0,529,606
Kern,11546,Cards Cast,,,,89,0,589,678
Kern,11546,Registered Voters,,,,1123,1123,1123,1123
Kern,11546,Voters Cast,,,,89,0,589,678
Kern,11548,Cards Cast,,,,112,0,1086,1198
Kern,11548,Registered Voters,,,,1615,1615,1615,1615
Kern,11548,Voters Cast,,,,112,0,1086,1198
Kern,11550,Cards Cast,,,,91,0,865,956
Kern,11550,Registered Voters,,,,1408,1408,1408,1408
Kern,11550,Voters Cast,,,,91,0,865,956
Kern,11552,Cards Cast,,,,115,0,735,850
Kern,11552,Registered Voters,,,,1346,1346,1346,1346
Kern,11552,Voters Cast,,,,115,0,735,850
Kern,11554,Cards Cast,,,,141,0,824,965
Kern,11554,Registered Voters,,,,1660,1660,1660,1660
Kern,11554,Voters Cast,,,,141,0,824,965
Kern,11557,Cards Cast,,,,121,0,853,974
Kern,11557,Registered Voters,,,,1632,1632,1632,1632
Kern,11557,Voters Cast,,,,121,0,853,974
Kern,11570,Cards Cast,,,,119,0,562,681
Kern,11570,Registered Voters,,,,1087,1087,1087,1087
Kern,11570,Voters Cast,,,,119,0,562,681
Kern,11580,Cards Cast,,,,105,0,605,710
Kern,11580,Registered Voters,,,,1070,1070,1070,1070
Kern,11580,Voters Cast,,,,105,0,605,710
Kern,11610,Cards Cast,,,,112,0,503,615
