county,precinct,office,district,party,candidate,votes,election_day,mail
Santa Cruz,10020,Registered Voters,,,,3527,,
Santa Cruz,10091,Registered Voters,,,,3418,,
Santa Cruz,10120,Registered Voters,,,,3673,,
Santa Cruz,10142,Registered Voters,,,,2585,,
Santa Cruz,10151,Registered Voters,,,,39,,
Santa Cruz,10164,Registered Voters,,,,231,,
Santa Cruz,10231,Registered Voters,,,,161,,
Santa Cruz,10232,Registered Voters,,,,9,,
Santa Cruz,10236,Registered Voters,,,,28,,
Santa Cruz,10260,Registered Voters,,,,3645,,
Santa Cruz,10280,Registered Voters,,,,341,,
Santa Cruz,10281,Registered Voters,,,,887,,
Santa Cruz,10291,Registered Voters,,,,2811,,
Santa Cruz,10310,Registered Voters,,,,3503,,
Santa Cruz,10351,Registered Voters,,,,863,,
Santa Cruz,10381,Registered Voters,,,,2089,,
Santa Cruz,10382,Registered Voters,,,,82,,
Santa Cruz,10451,Registered Voters,,,,2638,,
Santa Cruz,10490,Registered Voters,,,,568,,
Santa Cruz,10521,Registered Voters,,,,243,,
Santa Cruz,10541,Registered Voters,,,,215,,
Santa Cruz,10550,Registered Voters,,,,0,,
Santa Cruz,10551,Registered Voters,,,,22,,
Santa Cruz,10552,Registered Voters,,,,1,,
Santa Cruz,11030,Registered Voters,,,,2561,,
Santa Cruz,12010,Registered Voters,,,,945,,
Santa Cruz,12024,Registered Voters,,,,1918,,
Santa Cruz,14110,Registered Voters,,,,5,,
Santa Cruz,14123,Registered Voters,,,,0,,
Santa Cruz,14132,Registered Voters,,,,1676,,
Santa Cruz,20011,Registered Voters,,,,1043,,
Santa Cruz,20013,Registered Voters,,,,302,,
Santa Cruz,20020,Registered Voters,,,,3,,
Santa Cruz,20041,Registered Voters,,,,2497,,
Santa Cruz,20080,Registered Voters,,,,740,,
Santa Cruz,20093,Registered Voters,,,,1,,
Santa Cruz,20096,Registered Voters,,,,9,,
Santa Cruz,20101,Registered Voters,,,,1271,,
Santa Cruz,20102,Registered Voters,,,,8,,
Santa Cruz,20120,Registered Voters,,,,439,,
