county,precinct,office,district,party,candidate,votes,election_day,mail,mail_only_precinct,provisional
Modoc,Fort Bidwell,President,,,Registered,115,,,,
Modoc,Fort Bidwell,President,,,Ballots Cast,96,0,0,92,4
Modoc,Fort Bidwell,President,,DEM,JOSEPH R. BIDEN,39,0,0,36,3
Modoc,Fort Bidwell,President,,REP,DONALD J. TRUMP,52,0,0,51,1
Modoc,Fort Bidwell,President,,PFP,GLORIA LA RIVA,0,0,0,0,0
Modoc,Fort Bidwell,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0,0
Modoc,Fort Bidwell,President,,GRN,HOWIE HAWKINS,0,0,0,0,0
Modoc,Fort Bidwell,President,,LIB,JO JORGENSEN,2,0,0,2,0
Modoc,Fort Bidwell,President,,WRI,Write-In: Mark Charles,2,0,0,2,0
Modoc,Fort Bidwell,President,,WRI,Write-In: Brian Carroll,0,0,0,0,0
Modoc,Fort Bidwell,President,,WRI,Write-In: Jesse Ventura,0,0,0,0,0
Modoc,Fort Bidwell,President,,WRI,Write-In: Non-certified Write-in,0,0,0,0,0
Modoc,Fort Bidwell,President,,,Overvotes,0,0,0,0,0
Modoc,Fort Bidwell,President,,,Undervotes,1,0,0,1,0
Modoc,Fort Bidwell,U.S. House,01,REP,DOUG LAMALFA,53,0,0,52,1
Modoc,Fort Bidwell,U.S. House,01,DEM,AUDREY DENNEY,43,0,0,40,3
Modoc,Fort Bidwell,U.S. House,01,,Overvotes,0,0,0,0,0
Modoc,Fort Bidwell,U.S. House,01,,Undervotes,0,0,0,0,0
Modoc,Fort Bidwell,State Senate,01,DEM,PAMELA DAWN SWARTZ,39,0,0,36,3
Modoc,Fort Bidwell,State Senate,01,REP,BRIAN DAHLE,57,0,0,56,1
Modoc,Fort Bidwell,State Senate,01,,Overvotes,0,0,0,0,0
Modoc,Fort Bidwell,State Senate,01,,Undervotes,0,0,0,0,0
Modoc,Fort Bidwell,State Assembly,01,DEM,ELIZABETH L. BETANCOURT,40,0,0,37,3
Modoc,Fort Bidwell,State Assembly,01,REP,MEGAN DAHLE,56,0,0,55,1
Modoc,Fort Bidwell,State Assembly,01,,Overvotes,0,0,0,0,0
Modoc,Fort Bidwell,State Assembly,01,,Undervotes,0,0,0,0,0
Modoc,Lake City,President,,,Registered,114,,,,
Modoc,Lake City,President,,,Ballots Cast,111,0,0,108,3
Modoc,Lake City,President,,DEM,JOSEPH R. BIDEN,30,0,0,29,1
Modoc,Lake City,President,,REP,DONALD J. TRUMP,79,0,0,77,2
Modoc,Lake City,President,,PFP,GLORIA LA RIVA,0,0,0,0,0
Modoc,Lake City,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0,0
Modoc,Lake City,President,,GRN,HOWIE HAWKINS,0,0,0,0,0
Modoc,Lake City,President,,LIB,JO JORGENSEN,0,0,0,0,0
Modoc,Lake City,President,,WRI,Write-In: Mark Charles,0,0,0,0,0
Modoc,Lake City,President,,WRI,Write-In: Brian Carroll,0,0,0,0,0
Modoc,Lake City,President,,WRI,Write-In: Jesse Ventura,0,0,0,0,0
Modoc,Lake City,President,,WRI,Write-In: Non-certified Write-in,2,0,0,2,0
Modoc,Lake City,President,,,Overvotes,0,0,0,0,0
Modoc,Lake City,President,,,Undervotes,0,0,0,0,0
Modoc,Lake City,U.S. House,01,REP,DOUG LAMALFA,71,0,0,69,2
Modoc,Lake City,U.S. House,01,DEM,AUDREY DENNEY,39,0,0,38,1
Modoc,Lake City,U.S. House,01,,Overvotes,0,0,0,0,0
Modoc,Lake City,U.S. House,01,,Undervotes,1,0,0,1,0
Modoc,Lake City,State Senate,01,DEM,PAMELA DAWN SWARTZ,30,0,0,29,1
Modoc,Lake City,State Senate,01,REP,BRIAN DAHLE,80,0,0,78,2
Modoc,Lake City,State Senate,01,,Overvotes,0,0,0,0,0
Modoc,Lake City,State Senate,01,,Undervotes,1,0,0,1,0
Modoc,Lake City,State Assembly,01,DEM,ELIZABETH L. BETANCOURT,31,0,0,30,1
Modoc,Lake City,State Assembly,01,REP,MEGAN DAHLE,78,0,0,76,2
Modoc,Lake City,State Assembly,01,,Overvotes,0,0,0,0,0
Modoc,Lake City,State Assembly,01,,Undervotes,2,0,0,2,0
Modoc,Cedarville,President,,,Registered,427,,,,
Modoc,Cedarville,President,,,Ballots Cast,374,74,298,0,2
Modoc,Cedarville,President,,DEM,JOSEPH R. BIDEN,126,11,115,0,0
Modoc,Cedarville,President,,REP,DONALD J. TRUMP,238,60,176,0,2
Modoc,Cedarville,President,,PFP,GLORIA LA RIVA,2,1,1,0,0
Modoc,Cedarville,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0,0
Modoc,Cedarville,President,,GRN,HOWIE HAWKINS,2,0,2,0,0
Modoc,Cedarville,President,,LIB,JO JORGENSEN,2,2,0,0,0
Modoc,Cedarville,President,,WRI,Write-In: Mark Charles,0,0,0,0,0
Modoc,Cedarville,President,,WRI,Write-In: Brian Carroll,0,0,0,0,0
Modoc,Cedarville,President,,WRI,Write-In: Jesse Ventura,0,0,0,0,0
Modoc,Cedarville,President,,WRI,Write-In: Non-certified Write-in,2,0,2,0,0
Modoc,Cedarville,President,,,Overvotes,1,0,1,0,0
Modoc,Cedarville,President,,,Undervotes,1,0,1,0,0
Modoc,Cedarville,U.S. House,01,REP,DOUG LAMALFA,234,59,173,0,2
Modoc,Cedarville,U.S. House,01,DEM,AUDREY DENNEY,135,15,120,0,0
Modoc,Cedarville,U.S. House,01,,Overvotes,0,0,0,0,0
Modoc,Cedarville,U.S. House,01,,Undervotes,5,0,5,0,0
Modoc,Cedarville,State Senate,01,DEM,PAMELA DAWN SWARTZ,116,12,104,0,0
Modoc,Cedarville,State Senate,01,REP,BRIAN DAHLE,250,61,187,0,2
Modoc,Cedarville,State Senate,01,,Overvotes,0,0,0,0,0
Modoc,Cedarville,State Senate,01,,Undervotes,8,1,7,0,0
Modoc,Cedarville,State Assembly,01,DEM,ELIZABETH L. BETANCOURT,125,13,112,0,0
Modoc,Cedarville,State Assembly,01,REP,MEGAN DAHLE,238,58,178,0,2
Modoc,Cedarville,State Assembly,01,,Overvotes,0,0,0,0,0
Modoc,Cedarville,State Assembly,01,,Undervotes,11,3,8,0,0
Modoc,Eagleville,President,,,Registered,78,,,,
Modoc,Eagleville,President,,,Ballots Cast,71,0,0,70,1
Modoc,Eagleville,President,,DEM,JOSEPH R. BIDEN,15,0,0,15,0
Modoc,Eagleville,President,,REP,DONALD J. TRUMP,52,0,0,51,1
Modoc,Eagleville,President,,PFP,GLORIA LA RIVA,0,0,0,0,0
Modoc,Eagleville,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0,0,0
Modoc,Eagleville,President,,GRN,HOWIE HAWKINS,0,0,0,0,0
Modoc,Eagleville,President,,LIB,JO JORGENSEN,3,0,0,3,0
Modoc,Eagleville,President,,WRI,Write-In: Mark Charles,0,0,0,0,0
Modoc,Eagleville,President,,WRI,Write-In: Brian Carroll,0,0,0,0,0
Modoc,Eagleville,President,,WRI,Write-In: Jesse Ventura,0,0,0,0,0
Modoc,Eagleville,President,,WRI,Write-In: Non-certified Write-in,1,0,0,1,0
Modoc,Eagleville,President,,,Overvotes,0,0,0,0,0
Modoc,Eagleville,President,,,Undervotes,0,0,0,0,0
Modoc,Eagleville,U.S. House,01,REP,DOUG LAMALFA,48,0,0,47,1
Modoc,Eagleville,U.S. House,01,DEM,AUDREY DENNEY,22,0,0,22,0
Modoc,Eagleville,U.S. House,01,,Overvotes,0,0,0,0,0
Modoc,Eagleville,U.S. House,01,,Undervotes,1,0,0,1,0
Modoc,Eagleville,State Senate,01,DEM,PAMELA DAWN SWARTZ,19,0,0,19,0
Modoc,Eagleville,State Senate,01,REP,BRIAN DAHLE,52,0,0,51,1
Modoc,Eagleville,State Senate,01,,Overvotes,0,0,0,0,0
Modoc,Eagleville,State Senate,01,,Undervotes,0,0,0,0,0
Modoc,Eagleville,State Assembly,01,DEM,ELIZABETH L. BETANCOURT,21,0,0,21,0
Modoc,Eagleville,State Assembly,01,REP,MEGAN DAHLE,49,0,0,48,1
Modoc,Eagleville,State Assembly,01,,Overvotes,0,0,0,0,0
Modoc,Eagleville,State Assembly,01,,Undervotes,1,0,0,1,0
Modoc,Dry Creek,President,,,Registered,180,,,,
Modoc,Dry Creek,President,,,Ballots Cast,147,0,0,141,6
Modoc,Dry Creek,President,,DEM,JOSEPH R. BIDEN,43,0,0,42,1
