county,precinct,candidate,office,district,party,election_day,mail,votes,
Mariposa,El Portal 1001 ,,Registered Voters,,,,,310,
Mariposa,El Portal 1001 ,,Ballots Cast,,,48,125,173,
Mariposa,El Portal 1001 ,Josh Jones,Governor ,,GRN,0,0,0,
Mariposa,El Portal 1001 ,J Bribiesca,Governor ,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Gloria Estela La Riva,Governor ,,PF,0,1,1,
Mariposa,El Portal 1001 ,Peter Y Liu,Governor ,,REP,0,1,1,
Mariposa,El Portal 1001 ,Antonio Villaraigosa,Governor ,,DEM,10,19,29,
Mariposa,El Portal 1001 ,Yvonne Girard,Governor ,,REP,0,0,0,
Mariposa,El Portal 1001 ,Robert Davidson Griffis,Governor ,,DEM,1,0,1,
Mariposa,El Portal 1001 ,Shubham Goel,Governor ,,NON,0,0,0,
Mariposa,El Portal 1001 ,Travis Allen,Governor ,,REP,0,3,3,
Mariposa,El Portal 1001 ,Akinyemi Agbede,Governor ,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Johnny Wattenburg,Governor ,,NON,0,0,0,
Mariposa,El Portal 1001 ,Nickolas Wildstar,Governor ,,LIB,0,0,0,
Mariposa,El Portal 1001 ,Desmond Silveira,Governor ,,NON,0,0,0,
Mariposa,El Portal 1001 ,Michael Shellenberger,Governor ,,DEM,1,1,2,
Mariposa,El Portal 1001 ,Zoltan Istvan,Governor ,,LIB,0,0,0,
Mariposa,El Portal 1001 ,Christopher N Carlson,Governor ,,GRN,0,0,0,
Mariposa,El Portal 1001 ,Thomas Jefferson Cares,Governor ,,DEM,0,0,0,
Mariposa,El Portal 1001 ,John Chiang,Governor ,,DEM,6,8,14,
Mariposa,El Portal 1001 ,John H Cox,Governor ,,REP,2,8,10,
Mariposa,El Portal 1001 ,Amanda Renteria ,Governor ,,DEM,0,9,9,
Mariposa,El Portal 1001 ,Delaine Eastin,Governor ,,DEM,3,10,13,
Mariposa,El Portal 1001 ,Jeffrey Edward Taylor,Governor ,,NON,0,0,0,
Mariposa,El Portal 1001 ,Klement Tinaj,Governor ,,DEM,0,1,1,
Mariposa,El Portal 1001 ,"Hakan ""Hawk"" Mikado",Governor ,,NON,0,0,0,
Mariposa,El Portal 1001 ,Albert Caesar Mezzetti,Governor ,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Gavin Newsom,Governor ,,DEM,25,62,87,
Mariposa,El Portal 1001 ,"Robert C. Newman, II",Governor ,,REP,0,0,0,
Mariposa,El Portal 1001 ,Jeff Bleich,Lieutenant Governor,,DEM,9,21,30,
Mariposa,El Portal 1001 ,Eleni Kounalakis,Lieutenant Governor,,DEM,15,54,69,
Mariposa,El Portal 1001 ,Cameron Gharabiklou,Lieutenant Governor,,DEM,1,0,1,
Mariposa,El Portal 1001 ,Tim Ferreira,Lieutenant Governor,,LIB,0,0,0,
Mariposa,El Portal 1001 ,David Fennell,Lieutenant Governor,,REP,1,1,2,
Mariposa,El Portal 1001 ,Danny Thomas,Lieutenant Governor,,NON,1,2,3,
Mariposa,El Portal 1001 ,Cole Harris,Lieutenant Governor,,REP,1,6,7,
Mariposa,El Portal 1001 ,Ed Hernandez,Lieutenant Governor,,DEM,16,20,36,
Mariposa,El Portal 1001 ,David R Hernandez,Lieutenant Governor,,REP,0,1,1,
Mariposa,El Portal 1001 ,Lydia Ortega,Lieutenant Governor,,REP,0,4,4,
Mariposa,El Portal 1001 ,Gayle McLaughlin,Lieutenant Governor,,NON,3,7,10,
Mariposa,El Portal 1001 ,Steve Poizner,Insurance Commissioner,,NON,4,25,29,
Mariposa,El Portal 1001 ,Ricardo Lara,Insurance Commissioner,,DEM,25,58,83,
Mariposa,El Portal 1001 ,Nathalie Hrizi,Insurance Commissioner,,PF,1,7,8,
Mariposa,El Portal 1001 ,Asif Mahmood,Insurance Commissioner,,DEM,13,24,37,
Mariposa,El Portal 1001 ,Gerald Plummer,U S Senate,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Tom Palzer,U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,John Thompson Parker,U S Senate,,PF,0,0,0,
Mariposa,El Portal 1001 ,Douglas Howard Pierce,U S Senate,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Herbert G Peters,U S Senate,,DEM,3,0,3,
Mariposa,El Portal 1001 ,James P Bradley,U S Senate,,REP,0,5,5,
Mariposa,El Portal 1001 ,Arun K Bhumitra ,U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,Jerry Joseph Laws,U S Senate,,REP,0,1,1,
Mariposa,El Portal 1001 ,Patrick Little,U S Senate,,REP,0,1,1,
Mariposa,El Portal 1001 ,Tim Gildersleeve,U S Senate,,NON,0,0,0,
Mariposa,El Portal 1001 ,Michael Fahmy Girgis,U S Senate,,NON,0,0,0,
Mariposa,El Portal 1001 ,Don J Grundmann,U S Senate,,NON,0,0,0,
Mariposa,El Portal 1001 ,Rash Bihari Ghosh,U S Senate,,NON,0,0,0,
Mariposa,El Portal 1001 ,Ling Ling Shi,U S Senate,,NON,1,0,1,
Mariposa,El Portal 1001 ,"John ""Jack"" Crew",U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,Erin Cruz,U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,Derrick Michael Reid,U S Senate,,LIB,0,0,0,
Mariposa,El Portal 1001 ,Dianne Feinstein,U S Senate,,DEM,27,80,107,
Mariposa,El Portal 1001 ,Colleen Shea Fernald,U S Senate,,NON,0,1,1,
Mariposa,El Portal 1001 ,Adrienne Nicole Edward,U S Senate,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Paul A Taylor,U S Senate,,REP,0,0,0,
Mariposa,El Portal 1001 ,Donnie O Turner,U S Senate,,DEM,0,0,0,
Mariposa,El Portal 1001 ,Pat Harris,U S Senate,,DEM,5,5,10,
Mariposa,El Portal 1001 ,Alison Hartson,U S Senate,,DEM,2,7,9,
