county,precinct,office,district,party,candidate,votes,election_day,absentee,mail
Tulare,102001   EXETER MEM. #1,Governor,,,Registered,1578,,,
Tulare,102004   EXETER MEM. #2,Governor,,,Registered,2093,,,
Tulare,102009   EXETER MEM. #3,Governor,,,Registered,843,,,
Tulare,103001   LINDSAY MEM. #1,Governor,,,Registered,2403,,,
Tulare,103801   MB LINDSAY,Governor,,,Registered,681,,,
Tulare,106002   SIERRA BAPTIST #1,Governor,,,Registered,2438,,,
Tulare,106003   CAL FIRE #1,Governor,,,Registered,2102,,,
Tulare,106005   CAL FIRE #2,Governor,,,Registered,2745,,,
Tulare,106010   SIERRA BAPTIST #2,Governor,,,Registered,2326,,,
Tulare,106801   MB VISALIA,Governor,,,Registered,282,,,
Tulare,106802   MB VISALIA,Governor,,,Registered,184,,,
Tulare,106803   MB VISALIA,Governor,,,Registered,19,,,
Tulare,106901   GRACE COMM. #1,Governor,,,Registered,448,,,
Tulare,106902   GRACE COMM. #2,Governor,,,Registered,2441,,,
Tulare,106910   GRACE COMM. #3,Governor,,,Registered,1073,,,
Tulare,108005   FARMERSVILLE CITY H,Governor,,,Registered,2235,,,
Tulare,108801   MB FARMERSVILLE,Governor,,,Registered,727,,,
Tulare,199306   THREE RIVERS MEM.,Governor,,,Registered,1463,,,
Tulare,199537   LINDSAY MEM. #2,Governor,,,Registered,278,,,
Tulare,199801   MB EXETER,Governor,,,Registered,1354,,,
Tulare,199802   MB VISALIA,Governor,,,Registered,456,,,
Tulare,199803   MB VISALIA,Governor,,,Registered,53,,,
Tulare,199804   MB VISALIA,Governor,,,Registered,55,,,
Tulare,199805   MB FARMERSVILLE,Governor,,,Registered,129,,,
Tulare,199806   MB FARMERSVILLE,Governor,,,Registered,110,,,
Tulare,199807   MB FARMERSVILLE,Governor,,,Registered,288,,,
Tulare,199808   MB VISALIA,Governor,,,Registered,12,,,
Tulare,199809   MB SUNDALE,Governor,,,Registered,5,,,
Tulare,199810   MB TULARE,Governor,,,Registered,86,,,
Tulare,199811   MB TULARE,Governor,,,Registered,20,,,
Tulare,199813   MB STRATHMORE,Governor,,,Registered,80,,,
Tulare,199814   MB STRATHMORE,Governor,,,Registered,76,,,
Tulare,199815   MB WOODVILLE,Governor,,,Registered,187,,,
Tulare,199817   MB LINDSAY,Governor,,,Registered,737,,,
Tulare,199818   MB WOODVILLE,Governor,,,Registered,116,,,
Tulare,199819   MB FARMERSVILLE,Governor,,,Registered,37,,,
Tulare,199821   MB EXETER,Governor,,,Registered,55,,,
Tulare,199822   MB FARMERSVILLE,Governor,,,Registered,7,,,
Tulare,199823   MB VISALIA,Governor,,,Registered,53,,,
Tulare,199824   MB FARMERSVILLE,Governor,,,Registered,2,,,
Tulare,199825   MB FARMERSVILLE,Governor,,,Registered,113,,,
Tulare,199826   MB WOODLAKE,Governor,,,Registered,8,,,
Tulare,199827   MB YOKOHL VALLEY,Governor,,,Registered,475,,,
Tulare,199828   MB EXETER,Governor,,,Registered,904,,,
Tulare,199830   MB LEMON COVE,Governor,,,Registered,62,,,
Tulare,199831   MB THREE RIVERS,Governor,,,Registered,43,,,
Tulare,199835   MB STRATHMORE,Governor,,,Registered,638,,,
Tulare,199836   MB STRATHMORE,Governor,,,Registered,745,,,
Tulare,199838   MB WOODLAKE,Governor,,,Registered,1,,,
Tulare,199839   MB LINDSAY,Governor,,,Registered,72,,,
Tulare,199840   MB STRATHMORE,Governor,,,Registered,437,,,
Tulare,199841   MB STRATHMORE,Governor,,,Registered,277,,,
Tulare,199842   MB PORTERVILLE,Governor,,,Registered,8,,,
Tulare,199843   MB WOODVILLE,Governor,,,Registered,76,,,
Tulare,199844   MB PORTERVILLE,Governor,,,Registered,5,,,
Tulare,199845   MB PORTERVILLE,Governor,,,Registered,107,,,
Tulare,199846   MB WOODVILLE,Governor,,,Registered,4,,,
Tulare,199847   MB STRATHMORE,Governor,,,Registered,90,,,
Tulare,199848   MB STRATHMORE,Governor,,,Registered,73,,,
Tulare,199849   MB STRATHMORE,Governor,,,Registered,27,,,
Tulare,199850   MB STRATHMORE,Governor,,,Registered,32,,,
Tulare,199851   MB STRATHMORE,Governor,,,Registered,135,,,
Tulare,199853   MB STRATHMORE,Governor,,,Registered,3,,,
Tulare,205105   MISSIONARY BAPTIST,Governor,,,Registered,2345,,,
Tulare,205106   CHURCH OF GOD #1,Governor,,,Registered,1223,,,
Tulare,205201   CHURCH OF GOD #2,Governor,,,Registered,2345,,,
Tulare,205302   WAYSIDE,Governor,,,Registered,2204,,,
Tulare,205305   TULARE CO. AG. #2,Governor,,,Registered,1395,,,
Tulare,205401   GARDEN SCHOOL,Governor,,,Registered,2206,,,
Tulare,205405   TULARE COMM. CHUR,Governor,,,Registered,2538,,,
Tulare,205501   PROSPERITY BAPTIST,Governor,,,Registered,2329,,,
Tulare,205502   PROSPERITY BAPTIST,Governor,,,Registered,2444,,,
Tulare,205504   TULARE MEM.,Governor,,,Registered,2288,,,
Tulare,205801   MB TULARE,Governor,,,Registered,156,,,
Tulare,205802   MB TULARE,Governor,,,Registered,944,,,
Tulare,205803   MB TULARE,Governor,,,Registered,937,,,
Tulare,205864   MB TULARE,Governor,,,Registered,589,,,
Tulare,299017   TULARE CO. AG. #1,Governor,,,Registered,385,,,
Tulare,299701   TIPTON MEM.,Governor,,,Registered,504,,,
Tulare,299748   EARLIMART MEM.,Governor,,,Registered,1286,,,
Tulare,299801   MB TULARE,Governor,,,Registered,28,,,
Tulare,299802   MB TULARE,Governor,,,Registered,1766,,,
Tulare,299803   MB TULARE,Governor,,,Registered,911,,,
Tulare,299804   MB CORCORAN,Governor,,,Registered,3,,,
Tulare,299805   MB TIPTON,Governor,,,Registered,58,,,
Tulare,299806   MB WOODVILLE,Governor,,,Registered,18,,,
Tulare,299807   MB TULARE,Governor,,,Registered,20,,,
Tulare,299809   MB RICHGROVE,Governor,,,Registered,39,,,
Tulare,299810   MB DUCOR,Governor,,,Registered,13,,,
Tulare,299811   MB POPLAR,Governor,,,Registered,52,,,
Tulare,299812   MB TERRA BELLA,Governor,,,Registered,60,,,
Tulare,299813   MB TERRA BELLA,Governor,,,Registered,28,,,
Tulare,299815   MB ALLENSWORTH,Governor,,,Registered,151,,,
Tulare,299816   MB EARLIMART,Governor,,,Registered,401,,,
Tulare,299817   MB RICHGROVE,Governor,,,Registered,2,,,
Tulare,299818   MB POPLAR,Governor,,,Registered,3,,,
Tulare,299819   MB PIXLEY,Governor,,,Registered,1098,,,
Tulare,299820   MB PIXLEY,Governor,,,Registered,178,,,
Tulare,299821   MB ALPAUGH,Governor,,,Registered,112,,,
Tulare,299822   MB ALPAUGH,Governor,,,Registered,98,,,
Tulare,299823   MB TIPTON,Governor,,,Registered,76,,,
Tulare,299825   MB EARLIMART,Governor,,,Registered,1,,,
Tulare,306001   VISALIA NAZ #1,Governor,,,Registered,481,,,
Tulare,306002   VISALIA COMM. CHUR,Governor,,,Registered,1879,,,
Tulare,306003   VISALIA,Governor,,,Registered,1326,,,
Tulare,306008   GATEWAY #1,Governor,,,Registered,2601,,,
Tulare,306009   VISALIA,Governor,,,Registered,2396,,,
Tulare,306017   CHRIST LUTHERAN #1,Governor,,,Registered,1618,,,
Tulare,306019   CHRIST LUTHERAN #2,Governor,,,Registered,2208,,,
Tulare,306021,Governor,,,Registered,1764,,,
Tulare,306026   GATEWAY #2,Governor,,,Registered,2330,,,
Tulare,306027   VISALIA NAZ #2,Governor,,,Registered,1494,,,
Tulare,306030   VISALIA COMM. CHUR,Governor,,,Registered,2548,,,
Tulare,306037   VISALIA,Governor,,,Registered,1440,,,
Tulare,306039   VISALIA,Governor,,,Registered,2479,,,
Tulare,306801   MB VISALIA,Governor,,,Registered,304,,,
Tulare,306803   MB VISALIA,Governor,,,Registered,11,,,
Tulare,306804   MB VISALIA,Governor,,,Registered,4,,,
Tulare,306805   MB VISALIA,Governor,,,Registered,208,,,
Tulare,306806   MB VISALIA,Governor,,,Registered,20,,,
Tulare,306910   P.P.A.V. HALL,Governor,,,Registered,1300,,,
Tulare,306912   VISALIA 1ST CHRISTIA,Governor,,,Registered,2240,,,
Tulare,306914   VISALIA 1ST CHRISTIA,Governor,,,Registered,1943,,,
Tulare,306915   ANTHONY COMM. CTR,Governor,,,Registered,2165,,,
Tulare,306918   MANUEL HERNANDEZ,Governor,,,Registered,1328,,,
Tulare,306923   SONS OF ITALY #1,Governor,,,Registered,2227,,,
Tulare,306927   SONS OF ITALY #4,Governor,,,Registered,2545,,,
Tulare,306931   SONS OF ITALY #3,Governor,,,Registered,1972,,,
Tulare,306951   SONS OF ITALY #2,Governor,,,Registered,1463,,,
Tulare,399801   MB VISALIA,Governor,,,Registered,112,,,
Tulare,399802   MB VISALIA,Governor,,,Registered,252,,,
Tulare,399803   MB VISALIA,Governor,,,Registered,20,,,
Tulare,399804   MB VISALIA,Governor,,,Registered,89,,,
Tulare,399805   MB VISALIA,Governor,,,Registered,133,,,
Tulare,399806   MB VISALIA,Governor,,,Registered,26,,,
Tulare,399807   MB VISALIA,Governor,,,Registered,4,,,
Tulare,399808   MB GOSHEN,Governor,,,Registered,10,,,
Tulare,399809   MB GOSHEN,Governor,,,Registered,33,,,
Tulare,399810   MB VISALIA,Governor,,,Registered,6,,,
Tulare,399812   MB GOSHEN,Governor,,,Registered,2,,,
Tulare,401101   DINUBA COMM. CTR. #,Governor,,,Registered,1105,,,
Tulare,401201   DINUBA MEM.,Governor,,,Registered,1097,,,
Tulare,401301   DINUBA COMM. CTR. #,Governor,,,Registered,828,,,
Tulare,401303   DINUBA COMM. CTR. #,Governor,,,Registered,492,,,
Tulare,401401   DINUBA CHRISTIAN,Governor,,,Registered,1882,,,
Tulare,401505   DINUBA COMM. CTR. #,Governor,,,Registered,594,,,
Tulare,401801   MB DINUBA,Governor,,,Registered,296,,,
Tulare,401802   MB DINUBA,Governor,,,Registered,981,,,
Tulare,406905   MANUEL HERNANDEZ,Governor,,,Registered,2189,,,
Tulare,406917   MANUEL HERNANDEZ,Governor,,,Registered,1641,,,
Tulare,407001   WOODLAKE MEM. #1,Governor,,,Registered,1647,,,
Tulare,407004   WOODLAKE MEM. #2,Governor,,,Registered,541,,,
Tulare,499006   GOSHEN CSD,Governor,,,Registered,1350,,,
Tulare,499044   KINGSBURG FIRE STA,Governor,,,Registered,313,,,
Tulare,499048   ELBOW CREEK,Governor,,,Registered,671,,,
Tulare,499102   GRACE COMM. #4,Governor,,,Registered,820,,,
Tulare,499116   CUTLER SCHOOL,Governor,,,Registered,660,,,
Tulare,499117   OROSI MEM. #1,Governor,,,Registered,1084,,,
Tulare,499118   OROSI MEM. #2,Governor,,,Registered,679,,,
Tulare,499232   IVANHOE MEM.,Governor,,,Registered,1132,,,
Tulare,499313   WOODLAKE MEM. #3,Governor,,,Registered,479,,,
Tulare,499801   MB DINUBA,Governor,,,Registered,2200,,,
Tulare,499802   MB MONSON-SULTANA,Governor,,,Registered,372,,,
Tulare,499803   MB VISALIA,Governor,,,Registered,31,,,
Tulare,499805   MB IVANHOE,Governor,,,Registered,14,,,
Tulare,499806   MB VISALIA,Governor,,,Registered,56,,,
Tulare,499807   MB VISALIA,Governor,,,Registered,306,,,
Tulare,499808   MB VISALIA,Governor,,,Registered,33,,,
Tulare,499809   MB GOSHEN,Governor,,,Registered,53,,,
Tulare,499811   MB CUTLER-OROSI,Governor,,,Registered,389,,,
Tulare,499812   MB TRAVER,Governor,,,Registered,662,,,
Tulare,499813   MB KINGSBURG,Governor,,,Registered,7,,,
Tulare,499814   MB VISALIA,Governor,,,Registered,8,,,
Tulare,499815   MB IVANHOE,Governor,,,Registered,1218,,,
Tulare,499816   MB CULTER-OROSI,Governor,,,Registered,87,,,
Tulare,499817   MB CUTLER-OROSI,Governor,,,Registered,618,,,
Tulare,499818   MB CULTER-OROSI,Governor,,,Registered,394,,,
Tulare,499819   MB CUTLER-OROSI,Governor,,,Registered,101,,,
Tulare,499820   MB YETTEM,Governor,,,Registered,32,,,
Tulare,499821   MB EXETER,Governor,,,Registered,138,,,
Tulare,499822   MB YETTEM,Governor,,,Registered,29,,,
Tulare,499823   MB WOODLAKE,Governor,,,Registered,104,,,
Tulare,499824   MB WOODLAKE,Governor,,,Registered,308,,,
Tulare,499825   MB WOODLAKE,Governor,,,Registered,137,,,
Tulare,499826   MB YETTEM,Governor,,,Registered,5,,,
Tulare,499827   MB YETTEM,Governor,,,Registered,5,,,
Tulare,499828   MB WOODLAKE,Governor,,,Registered,51,,,
Tulare,499829   MB WOODLKAE,Governor,,,Registered,112,,,
Tulare,499830   MB BADGER,Governor,,,Registered,15,,,
Tulare,499832   MB ORANGE COVE,Governor,,,Registered,120,,,
Tulare,499834   MB WOODLAKE,Governor,,,Registered,20,,,
Tulare,499836   MB CUTLER-OROSI,Governor,,,Registered,33,,,
Tulare,499837   MB YETTEM,Governor,,,Registered,1,,,
Tulare,504001   PORTERVILLE,Governor,,,Registered,1954,,,
Tulare,504002   PORTERVILLE,Governor,,,Registered,1206,,,
Tulare,504005   PORTERVILLE MEM. #1,Governor,,,Registered,430,,,
Tulare,504011   PORTERVILLE MEM. #2,Governor,,,Registered,709,,,
Tulare,504012   PORTERVILLE,Governor,,,Registered,1398,,,
Tulare,504801   MB PORTERVILLE,Governor,,,Registered,849,,,
Tulare,504802   MB PORTERVILLE,Governor,,,Registered,648,,,
Tulare,504803   MB PORTERVILLE,Governor,,,Registered,2,,,
Tulare,504804   MB PORTERVILLE,Governor,,,Registered,208,,,
Tulare,504805   MB PORTERVILLE,Governor,,,Registered,114,,,
Tulare,504807   MB PORTERVILLE,Governor,,,Registered,206,,,
Tulare,504901   PORTERVILLE MEM. #3,Governor,,,Registered,1336,,,
Tulare,504903   PORTERVILLE,Governor,,,Registered,1881,,,
Tulare,504905   PORTERVILLE,Governor,,,Registered,2482,,,
Tulare,504907   PORTERVILLE MEM. #4,Governor,,,Registered,1010,,,
Tulare,504909   HENDERSON BAPTIST,Governor,,,Registered,279,,,
Tulare,504915   HENDERSON BAPTIST,Governor,,,Registered,1520,,,
Tulare,504919   PORTERVILLE,Governor,,,Registered,1123,,,
Tulare,504936   GRAND AVE. METHOD,Governor,,,Registered,1987,,,
Tulare,599108   RICHGROVE MEM.,Governor,,,Registered,447,,,
Tulare,599306   SPRINGVILLE MEM.,Governor,,,Registered,2490,,,
Tulare,599315   TULE RIVER,Governor,,,Registered,340,,,
Tulare,599350   TERRA BELLA MEM.,Governor,,,Registered,1130,,,
Tulare,599555   PORTERVILLE,Governor,,,Registered,1095,,,
Tulare,599801   MB WOODVILLE,Governor,,,Registered,0,,,
Tulare,599802   MB YOKOHL VALLEY,Governor,,,Registered,89,,,
Tulare,599803   MB SPRINGVILLE,Governor,,,Registered,853,,,
Tulare,599804   MB SPRINGVILLE,Governor,,,Registered,8,,,
Tulare,599806   MB PORTERVILLE,Governor,,,Registered,1052,,,
Tulare,599807   MB PORTERVILLE,Governor,,,Registered,20,,,
Tulare,599808   MB PORTERVILLE,Governor,,,Registered,96,,,
Tulare,599809   MB PORTERVILLE,Governor,,,Registered,312,,,
Tulare,599810   MB PORTERVILLE,Governor,,,Registered,46,,,
Tulare,599811   MB INYOKERN,Governor,,,Registered,44,,,
Tulare,599812   MB POSEY,Governor,,,Registered,48,,,
Tulare,599813   MB TERRA BELLA,Governor,,,Registered,15,,,
Tulare,599814   MB TERRA BELLA,Governor,,,Registered,16,,,
Tulare,599815   MB TERRA BELLA,Governor,,,Registered,47,,,
Tulare,599816   MB TERRA BELLA,Governor,,,Registered,242,,,
Tulare,599817   MB TERRA BELLA,Governor,,,Registered,99,,,
