county,precinct,office,district,party,candidate,votes,mail,election_day
Sutter,LO Comm 01 ,Governor,,Rep,John Cox,414,279,135
Sutter,LO Comm 02 ,Governor,,Rep,John Cox,552,362,190
Sutter,Dell Wayne 03,Governor,,Rep,John Cox,366,262,104
Sutter,United Pent 04,Governor,,Rep,John Cox,941,707,234
Sutter,United Pent 05,Governor,,Rep,John Cox,562,380,182
Sutter,7th Day 06,Governor,,Rep,John Cox,133,111,22
Sutter,Sutter Estates 07,Governor,,Rep,John Cox,148,107,41
Sutter,YS Fair 08,Governor,,Rep,John Cox,155,106,49
Sutter,YS Fair 09,Governor,,Rep,John Cox,294,199,95
Sutter,St Isidore 10,Governor,,Rep,John Cox,299,203,96
Sutter,Sutter HS 11,Governor,,Rep,John Cox,708,520,188
Sutter,Sutter HS 12,Governor,,Rep,John Cox,621,429,192
Sutter,Franklin 13,Governor,,Rep,John Cox,255,195,60
Sutter,Meridian 14,Governor,,Rep,John Cox,202,152,50
Sutter,1st United 15,Governor,,Rep,John Cox,550,393,157
Sutter,1st United 16,Governor,,Rep,John Cox,698,507,191
Sutter,Veterans 17,Governor,,Rep,John Cox,334,240,94
Sutter,Veterans 18,Governor,,Rep,John Cox,478,357,121
Sutter,Veterans 19,Governor,,Rep,John Cox,574,436,138
Sutter,Veterans 20,Governor,,Rep,John Cox,555,423,132
Sutter,St Andrew 21,Governor,,Rep,John Cox,411,238,143
Sutter,St Andrew 22,Governor,,Rep,John Cox,526,276,77
Sutter,AK School 23,Governor,,Rep,John Cox,591,250,109
Sutter,AK School 24,Governor,,Rep,John Cox,607,343,108
Sutter,St James 25,Governor,,Rep,John Cox,246,114,28
Sutter,Walnut 26,Governor,,Rep,John Cox,523,179,64
Sutter,Walnut 27,Governor,,Rep,John Cox,507,134,48
Sutter,NV Calvary 28,Governor,,Rep,John Cox,648,272,91
Sutter,NV Calvary 29,Governor,,Rep,John Cox,485,179,111
Sutter,Riverbend 30,Governor,,Rep,John Cox,442,190,94
Sutter,1st Reform 31,Governor,,Rep,John Cox,151,31,18
Sutter,P Grove 32,Governor,,Rep,John Cox,319,68,39
Sutter,E Nicolaus 33,Governor,,Rep,John Cox,525,134,95
Sutter,34,Governor,,Rep,John Cox,454,171,1
Sutter,35,Governor,,Rep,John Cox,317,123,2
Sutter,36,Governor,,Rep,John Cox,91,44,0
Sutter,37,Governor,,Rep,John Cox,472,194,0
Sutter,38,Governor,,Rep,John Cox,261,90,0
Sutter,39,Governor,,Rep,John Cox,128,41,0
Sutter,40,Governor,,Rep,John Cox,272,152,0
Sutter,41,Governor,,Rep,John Cox,339,171,0
Sutter,42,Governor,,Rep,John Cox,309,133,0
Sutter,43,Governor,,Rep,John Cox,225,115,0
Sutter,44,Governor,,Rep,John Cox,400,278,0
Sutter,45,Governor,,Rep,John Cox,230,105,0
Sutter,46,Governor,,Rep,John Cox,60,27,0
Sutter,47,Governor,,Rep,John Cox,45,16,0
Sutter,48,Governor,,Rep,John Cox,183,92,0
Sutter,49,Governor,,Rep,John Cox,302,99,0
Sutter,50,Governor,,Rep,John Cox,45,33,0
Sutter,LO Comm 01 ,Governor,,Dem,Gavin Newsom,469,316,153
Sutter,LO Comm 02 ,Governor,,Dem,Gavin Newsom,531,376,155
Sutter,Dell Wayne 03,Governor,,Dem,Gavin Newsom,232,176,56
Sutter,United Pent 04,Governor,,Dem,Gavin Newsom,534,389,145
Sutter,United Pent 05,Governor,,Dem,Gavin Newsom,311,209,102
Sutter,7th Day 06,Governor,,Dem,Gavin Newsom,79,58,21
Sutter,Sutter Estates 07,Governor,,Dem,Gavin Newsom,140,95,45
Sutter,YS Fair 08,Governor,,Dem,Gavin Newsom,183,114,69
Sutter,YS Fair 09,Governor,,Dem,Gavin Newsom,183,121,62
Sutter,St Isidore 10,Governor,,Dem,Gavin Newsom,163,119,44
Sutter,Sutter HS 11,Governor,,Dem,Gavin Newsom,151,107,44
Sutter,Sutter HS 12,Governor,,Dem,Gavin Newsom,136,85,51
Sutter,Franklin 13,Governor,,Dem,Gavin Newsom,64,43,21
Sutter,Meridian 14,Governor,,Dem,Gavin Newsom,39,33,6
Sutter,1st United 15,Governor,,Dem,Gavin Newsom,392,311,81
Sutter,1st United 16,Governor,,Dem,Gavin Newsom,265,182,83
Sutter,Veterans 17,Governor,,Dem,Gavin Newsom,155,107,48
Sutter,Veterans 18,Governor,,Dem,Gavin Newsom,204,154,50
