country,precinct,office,district,party,candidate,votes
San Joaquin,0011101 Stockton,Governor,,Rep,John Cox,17
San Joaquin,0011102 Stockton,Governor,,Rep,John Cox,68
San Joaquin,0011103 Stockton,Governor,,Rep,John Cox,34
San Joaquin,0011104 Stockton,Governor,,Rep,John Cox,46
San Joaquin,0011105 Stockton,Governor,,Rep,John Cox,80
San Joaquin,0011106 Stockton,Governor,,Rep,John Cox,67
San Joaquin,0011107 Stockton,Governor,,Rep,John Cox,31
San Joaquin,0011108 Stockton,Governor,,Rep,John Cox,88
San Joaquin,0011109 Stockton,Governor,,Rep,John Cox,85
San Joaquin,0011111 Stockton,Governor,,Rep,John Cox,175
San Joaquin,0011112 Stockton,Governor,,Rep,John Cox,50
San Joaquin,0011113 Stockton,Governor,,Rep,John Cox,60
San Joaquin,0011114 Stockton,Governor,,Rep,John Cox,264
San Joaquin,0011115 Stockton,Governor,,Rep,John Cox,109
San Joaquin,0011116 Stockton,Governor,,Rep,John Cox,103
San Joaquin,0011117 Stockton,Governor,,Rep,John Cox,123
San Joaquin,0011118 Stockton,Governor,,Rep,John Cox,225
San Joaquin,0011119 Stockton,Governor,,Rep,John Cox,47
San Joaquin,0011120 Stockton,Governor,,Rep,John Cox,124
San Joaquin,0011122 Stockton,Governor,,Rep,John Cox,124
San Joaquin,0011124 Stockton,Governor,,Rep,John Cox,76
San Joaquin,0011125 Stockton,Governor,,Rep,John Cox,262
San Joaquin,0011127 Stockton,Governor,,Rep,John Cox,153
San Joaquin,0011130 Stockton,Governor,,Rep,John Cox,289
San Joaquin,0011137 Stockton,Governor,,Rep,John Cox,240
San Joaquin,0011139 Stockton,Governor,,Rep,John Cox,52
San Joaquin,0011140 Stockton,Governor,,Rep,John Cox,61
San Joaquin,0011142 Stockton,Governor,,Rep,John Cox,272
San Joaquin,0011147 Stockton,Governor,,Rep,John Cox,147
San Joaquin,0011149 Stockton,Governor,,Rep,John Cox,323
San Joaquin,0011151 Stockton,Governor,,Rep,John Cox,158
San Joaquin,0011152 Stockton,Governor,,Rep,John Cox,231
San Joaquin,0011155 Stockton,Governor,,Rep,John Cox,83
San Joaquin,0011158 Stockton,Governor,,Rep,John Cox,116
San Joaquin,0011166 Stockton,Governor,,Rep,John Cox,206
San Joaquin,0011201 Stockton,Governor,,Rep,John Cox,376
San Joaquin,0011203 Stockton,Governor,,Rep,John Cox,249
San Joaquin,0011204 Stockton,Governor,,Rep,John Cox,535
San Joaquin,0011205 Stockton,Governor,,Rep,John Cox,197
San Joaquin,0011206 Stockton,Governor,,Rep,John Cox,459
San Joaquin,0011208 Stockton,Governor,,Rep,John Cox,90
San Joaquin,0011209 Stockton,Governor,,Rep,John Cox,424
San Joaquin,0011210 Stockton,Governor,,Rep,John Cox,196
San Joaquin,0011211 Stockton,Governor,,Rep,John Cox,207
San Joaquin,0011212 Stockton,Governor,,Rep,John Cox,232
San Joaquin,0011213 Stockton,Governor,,Rep,John Cox,192
San Joaquin,0011214 Stockton,Governor,,Rep,John Cox,35
San Joaquin,0011215 Stockton,Governor,,Rep,John Cox,244
San Joaquin,0011216 Stockton,Governor,,Rep,John Cox,179
San Joaquin,0011217 Stockton,Governor,,Rep,John Cox,737
San Joaquin,0011218 Stockton,Governor,,Rep,John Cox,366
