county,precinct,race,party,candidate,votes
Napa,111131,President,DEM,Hillary Clinton,186
Napa,111131,President,REP/AI,Donald J. Trump,71
Napa,111131,President,LIB,Gary Johnson,16
Napa,111131,President,GRN,Jill Stein,7
Napa,111131,President,PF,Gloria Estela La Riva,1
Napa,111131,President,WI,Write-In,3
Napa,111151,President,DEM,Hillary Clinton,28
Napa,111151,President,REP/AI,Donald J. Trump,9
Napa,111151,President,LIB,Gary Johnson,3
Napa,111151,President,GRN,Jill Stein,0
Napa,111151,President,PF,Gloria Estela La Riva,0
Napa,111151,President,WI,Write-In,0
Napa,111152,President,DEM,Hillary Clinton,185
Napa,111152,President,REP/AI,Donald J. Trump,116
Napa,111152,President,LIB,Gary Johnson,24
Napa,111152,President,GRN,Jill Stein,8
Napa,111152,President,PF,Gloria Estela La Riva,2
Napa,111152,President,WI,Write-In,3
Napa,111431,President,DEM,Hillary Clinton,12
Napa,111431,President,REP/AI,Donald J. Trump,3
Napa,111431,President,LIB,Gary Johnson,4
Napa,111431,President,GRN,Jill Stein,0
Napa,111431,President,PF,Gloria Estela La Riva,0
Napa,111431,President,WI,Write-In,0
Napa,111751,President,DEM,Hillary Clinton,63
Napa,111751,President,REP/AI,Donald J. Trump,15
Napa,111751,President,LIB,Gary Johnson,2
Napa,111751,President,GRN,Jill Stein,0
Napa,111751,President,PF,Gloria Estela La Riva,0
Napa,111751,President,WI,Write-In,0
Napa,111752,President,DEM,Hillary Clinton,104
Napa,111752,President,REP/AI,Donald J. Trump,90
Napa,111752,President,LIB,Gary Johnson,10
Napa,111752,President,GRN,Jill Stein,6
Napa,111752,President,PF,Gloria Estela La Riva,1
Napa,111752,President,WI,Write-In,4
Napa,121131,President,DEM,Hillary Clinton,107
Napa,121131,President,REP/AI,Donald J. Trump,25
Napa,121131,President,LIB,Gary Johnson,3
Napa,121131,President,GRN,Jill Stein,4
Napa,121131,President,PF,Gloria Estela La Riva,0
Napa,121131,President,WI,Write-In,3
Napa,121132,President,DEM,Hillary Clinton,219
Napa,121132,President,REP/AI,Donald J. Trump,103
Napa,121132,President,LIB,Gary Johnson,11
Napa,121132,President,GRN,Jill Stein,17
Napa,121132,President,PF,Gloria Estela La Riva,3
Napa,121132,President,WI,Write-In,3
Napa,121133,President,DEM,Hillary Clinton,271
Napa,121133,President,REP/AI,Donald J. Trump,81
Napa,121133,President,LIB,Gary Johnson,16
Napa,121133,President,GRN,Jill Stein,10
Napa,121133,President,PF,Gloria Estela La Riva,2
Napa,121133,President,WI,Write-In,10
Napa,121134,President,DEM,Hillary Clinton,114
Napa,121134,President,REP/AI,Donald J. Trump,49
Napa,121134,President,LIB,Gary Johnson,10
Napa,121134,President,GRN,Jill Stein,3
Napa,121134,President,PF,Gloria Estela La Riva,3
Napa,121134,President,WI,Write-In,2
Napa,121135,President,DEM,Hillary Clinton,316
Napa,121135,President,REP/AI,Donald J. Trump,130
Napa,121135,President,LIB,Gary Johnson,8
Napa,121135,President,GRN,Jill Stein,11
Napa,121135,President,PF,Gloria Estela La Riva,2
Napa,121135,President,WI,Write-In,10
Napa,121136,President,DEM,Hillary Clinton,373
Napa,121136,President,REP/AI,Donald J. Trump,170
Napa,121136,President,LIB,Gary Johnson,19
Napa,121136,President,GRN,Jill Stein,11
Napa,121136,President,PF,Gloria Estela La Riva,2
Napa,121136,President,WI,Write-In,5
Napa,121151,President,DEM,Hillary Clinton,152
Napa,121151,President,REP/AI,Donald J. Trump,51
Napa,121151,President,LIB,Gary Johnson,5
Napa,121151,President,GRN,Jill Stein,5
Napa,121151,President,PF,Gloria Estela La Riva,0
Napa,121151,President,WI,Write-In,4
Napa,121152,President,DEM,Hillary Clinton,498
Napa,121152,President,REP/AI,Donald J. Trump,251
Napa,121152,President,LIB,Gary Johnson,38
Napa,121152,President,GRN,Jill Stein,8
Napa,121152,President,PF,Gloria Estela La Riva,1
Napa,121152,President,WI,Write-In,6
Napa,121153,President,DEM,Hillary Clinton,81
Napa,121153,President,REP/AI,Donald J. Trump,39
Napa,121153,President,LIB,Gary Johnson,6
Napa,121153,President,GRN,Jill Stein,3
