county,office,district,party,candidate,votes
Alameda,President,,PF,Gloria Estela La Riva,3162
Alameda,President,,REP,Donald J. Trump,95922
Alameda,President,,LIB,Gary Johnson,16906
Alameda,President,,DEM,Hillary Clinton,514842
Alameda,President,,GRN,Jill Stein,17830
Alameda,President,,NPP,Laurence Kotlikoff,27
Alameda,President,,NPP,Mike Maturen,71
Alameda,President,,NPP,"Bernard ""Bernie"" Sanders",4206
Alameda,President,,NPP,Jerry White,9
Alameda,President,,NPP,Evan McMullin,1291
Alpine,President,,PF,Gloria Estela La Riva,3
Alpine,President,,REP,Donald J. Trump,217
Alpine,President,,LIB,Gary Johnson,25
Alpine,President,,DEM,Hillary Clinton,334
Alpine,President,,GRN,Jill Stein,21
Alpine,President,,NPP,Laurence Kotlikoff,0
Alpine,President,,NPP,Mike Maturen,0
Alpine,President,,NPP,"Bernard ""Bernie"" Sanders",1
Alpine,President,,NPP,Jerry White,0
Alpine,President,,NPP,Evan McMullin,1
Amador,President,,PF,Gloria Estela La Riva,55
Amador,President,,REP,Donald J. Trump,10485
Amador,President,,LIB,Gary Johnson,804
Amador,President,,DEM,Hillary Clinton,6004
Amador,President,,GRN,Jill Stein,227
Amador,President,,NPP,Laurence Kotlikoff,0
Amador,President,,NPP,Mike Maturen,0
Amador,President,,NPP,"Bernard ""Bernie"" Sanders",100
Amador,President,,NPP,Jerry White,0
Amador,President,,NPP,Evan McMullin,59
Butte,President,,PF,Gloria Estela La Riva,501
Butte,President,,REP,Donald J. Trump,45144
Butte,President,,LIB,Gary Johnson,4625
Butte,President,,DEM,Hillary Clinton,41567
Butte,President,,GRN,Jill Stein,2594
Butte,President,,NPP,Laurence Kotlikoff,0
Butte,President,,NPP,Mike Maturen,10
Butte,President,,NPP,"Bernard ""Bernie"" Sanders",782
Butte,President,,NPP,Jerry White,1
Butte,President,,NPP,Evan McMullin,340
Calaveras,President,,PF,Gloria Estela La Riva,56
Calaveras,President,,REP,Donald J. Trump,13511
Calaveras,President,,LIB,Gary Johnson,1104
Calaveras,President,,DEM,Hillary Clinton,7944
Calaveras,President,,GRN,Jill Stein,424
Calaveras,President,,NPP,Laurence Kotlikoff,0
Calaveras,President,,NPP,Mike Maturen,0
Calaveras,President,,NPP,"Bernard ""Bernie"" Sanders",75
Calaveras,President,,NPP,Jerry White,0
Calaveras,President,,NPP,Evan McMullin,22
Colusa,President,,PF,Gloria Estela La Riva,39
Colusa,President,,REP,Donald J. Trump,3551
Colusa,President,,LIB,Gary Johnson,260
Colusa,President,,DEM,Hillary Clinton,2661
Colusa,President,,GRN,Jill Stein,85
Colusa,President,,NPP,Laurence Kotlikoff,0
Colusa,President,,NPP,Mike Maturen,0
Colusa,President,,NPP,"Bernard ""Bernie"" Sanders",24
Colusa,President,,NPP,Jerry White,0
Colusa,President,,NPP,Evan McMullin,12
Contra Costa,President,,PF,Gloria Estela La Riva,1566
Contra Costa,President,,REP,Donald J. Trump,115956
Contra Costa,President,,LIB,Gary Johnson,16123
Contra Costa,President,,DEM,Hillary Clinton,319287
Contra Costa,President,,GRN,Jill Stein,8637
Contra Costa,President,,NPP,Laurence Kotlikoff,11
Contra Costa,President,,NPP,Mike Maturen,36
Contra Costa,President,,NPP,"Bernard ""Bernie"" Sanders",3204
Contra Costa,President,,NPP,Jerry White,0
Contra Costa,President,,NPP,Evan McMullin,1355
Del Norte,President,,PF,Gloria Estela La Riva,81
Del Norte,President,,REP,Donald J. Trump,5134
Del Norte,President,,LIB,Gary Johnson,416
Del Norte,President,,DEM,Hillary Clinton,3485
Del Norte,President,,GRN,Jill Stein,245
Del Norte,President,,NPP,Laurence Kotlikoff,0
Del Norte,President,,NPP,Mike Maturen,0
Del Norte,President,,NPP,"Bernard ""Bernie"" Sanders",139
Del Norte,President,,NPP,Jerry White,0
Del Norte,President,,NPP,Evan McMullin,58
El Dorado,President,,PF,Gloria Estela La Riva,190
El Dorado,President,,REP,Donald J. Trump,49247
El Dorado,President,,LIB,Gary Johnson,5027
El Dorado,President,,DEM,Hillary Clinton,36404
El Dorado,President,,GRN,Jill Stein,1425
El Dorado,President,,NPP,Laurence Kotlikoff,3
El Dorado,President,,NPP,Mike Maturen,4
El Dorado,President,,NPP,"Bernard ""Bernie"" Sanders",713
El Dorado,President,,NPP,Jerry White,0
El Dorado,President,,NPP,Evan McMullin,578
Fresno,President,,PF,Gloria Estela La Riva,875
Fresno,President,,REP,Donald J. Trump,124049
Fresno,President,,LIB,Gary Johnson,9246
Fresno,President,,DEM,Hillary Clinton,141341
Fresno,President,,GRN,Jill Stein,4300
Fresno,President,,NPP,Laurence Kotlikoff,3
Fresno,President,,NPP,Mike Maturen,17
Fresno,President,,NPP,"Bernard ""Bernie"" Sanders",1417
Fresno,President,,NPP,Jerry White,1
Fresno,President,,NPP,Evan McMullin,1070
Glenn,President,,PF,Gloria Estela La Riva,54
Glenn,President,,REP,Donald J. Trump,5788
Glenn,President,,LIB,Gary Johnson,375
Glenn,President,,DEM,Hillary Clinton,3065
Glenn,President,,GRN,Jill Stein,97
Glenn,President,,NPP,Laurence Kotlikoff,0
Glenn,President,,NPP,Mike Maturen,2
Glenn,President,,NPP,"Bernard ""Bernie"" Sanders",58
Glenn,President,,NPP,Jerry White,0
Glenn,President,,NPP,Evan McMullin,31
Humboldt,President,,PF,Gloria Estela La Riva,379
Humboldt,President,,REP,Donald J. Trump,18373
Humboldt,President,,LIB,Gary Johnson,2163
Humboldt,President,,DEM,Hillary Clinton,33200
Humboldt,President,,GRN,Jill Stein,3681
Humboldt,President,,NPP,Laurence Kotlikoff,0
Humboldt,President,,NPP,Mike Maturen,5
Humboldt,President,,NPP,"Bernard ""Bernie"" Sanders",1264
Humboldt,President,,NPP,Jerry White,0
Humboldt,President,,NPP,Evan McMullin,181
Imperial,President,,PF,Gloria Estela La Riva,339
Imperial,President,,REP,Donald J. Trump,12704
Imperial,President,,LIB,Gary Johnson,1221
Imperial,President,,DEM,Hillary Clinton,32667
Imperial,President,,GRN,Jill Stein,745
Imperial,President,,NPP,Laurence Kotlikoff,0
Imperial,President,,NPP,Mike Maturen,43
Imperial,President,,NPP,"Bernard ""Bernie"" Sanders",291
Imperial,President,,NPP,Jerry White,0
Imperial,President,,NPP,Evan McMullin,81
Inyo,President,,PF,Gloria Estela La Riva,51
Inyo,President,,REP,Donald J. Trump,4248
Inyo,President,,LIB,Gary Johnson,328
Inyo,President,,DEM,Hillary Clinton,3155
Inyo,President,,GRN,Jill Stein,214
Inyo,President,,NPP,Laurence Kotlikoff,0
Inyo,President,,NPP,Mike Maturen,0
Inyo,President,,NPP,"Bernard ""Bernie"" Sanders",66
Inyo,President,,NPP,Jerry White,0
Inyo,President,,NPP,Evan McMullin,24
Kern,President,,PF,Gloria Estela La Riva,1522
Kern,President,,REP,Donald J. Trump,129584
Kern,President,,LIB,Gary Johnson,9359
Kern,President,,DEM,Hillary Clinton,98689
Kern,President,,GRN,Jill Stein,2887
Kern,President,,NPP,Laurence Kotlikoff,3
Kern,President,,NPP,Mike Maturen,27
Kern,President,,NPP,"Bernard ""Bernie"" Sanders",1199
Kern,President,,NPP,Jerry White,2
Kern,President,,NPP,Evan McMullin,891
Kings,President,,PF,Gloria Estela La Riva,251
Kings,President,,REP,Donald J. Trump,18093
Kings,President,,LIB,Gary Johnson,1338
Kings,President,,DEM,Hillary Clinton,13617
Kings,President,,GRN,Jill Stein,411
Kings,President,,NPP,Laurence Kotlikoff,0
Kings,President,,NPP,Mike Maturen,0
Kings,President,,NPP,"Bernard ""Bernie"" Sanders",115
Kings,President,,NPP,Jerry White,0
Kings,President,,NPP,Evan McMullin,90
Lake,President,,PF,Gloria Estela La Riva,103
Lake,President,,REP,Donald J. Trump,10599
Lake,President,,LIB,Gary Johnson,1095
Lake,President,,DEM,Hillary Clinton,11496
Lake,President,,GRN,Jill Stein,930
Lake,President,,NPP,Laurence Kotlikoff,0
Lake,President,,NPP,Mike Maturen,1
Lake,President,,NPP,"Bernard ""Bernie"" Sanders",219
Lake,President,,NPP,Jerry White,0
Lake,President,,NPP,Evan McMullin,53
Lassen,President,,PF,Gloria Estela La Riva,46
Lassen,President,,REP,Donald J. Trump,7574
Lassen,President,,LIB,Gary Johnson,473
Lassen,President,,DEM,Hillary Clinton,2224
Lassen,President,,GRN,Jill Stein,105
Lassen,President,,NPP,Laurence Kotlikoff,2
Lassen,President,,NPP,Mike Maturen,1
Lassen,President,,NPP,"Bernard ""Bernie"" Sanders",52
Lassen,President,,NPP,Jerry White,0
Lassen,President,,NPP,Evan McMullin,47
Los Angeles,President,,PF,Gloria Estela La Riva,21993
Los Angeles,President,,REP,Donald J. Trump,769743
Los Angeles,President,,LIB,Gary Johnson,88968
Los Angeles,President,,DEM,Hillary Clinton,2464364
Los Angeles,President,,GRN,Jill Stein,76465
Los Angeles,President,,NPP,Laurence Kotlikoff,155
Los Angeles,President,,NPP,Mike Maturen,274
Los Angeles,President,,NPP,"Bernard ""Bernie"" Sanders",7724
Los Angeles,President,,NPP,Jerry White,15
Los Angeles,President,,NPP,Evan McMullin,4607
Madera,President,,PF,Gloria Estela La Riva,187
Madera,President,,REP,Donald J. Trump,23357
Madera,President,,LIB,Gary Johnson,1558
