county,precinct,race,party,candidate,votes
Tulare,102004,President,DEM,Hillary Clinton,218
Tulare,102004,President,REP/AI,Donald J. Trump,389
Tulare,102004,President,LIB,Gary Johnson,21
Tulare,102004,President,GRN,Jill Stein,14
Tulare,102004,President,PF,Gloria Estela La Riva,5
Tulare,102004,President,WI,Write-In,0
Tulare,102022,President,DEM,Hillary Clinton,83
Tulare,102022,President,REP/AI,Donald J. Trump,123
Tulare,102022,President,LIB,Gary Johnson,7
Tulare,102022,President,GRN,Jill Stein,6
Tulare,102022,President,PF,Gloria Estela La Riva,1
Tulare,102022,President,WI,Write-In,0
Tulare,102801,President,DEM,Hillary Clinton,646
Tulare,102801,President,REP/AI,Donald J. Trump,1344
Tulare,102801,President,LIB,Gary Johnson,79
Tulare,102801,President,GRN,Jill Stein,27
Tulare,102801,President,PF,Gloria Estela La Riva,20
Tulare,102801,President,WI,Write-In,0
Tulare,102802,President,DEM,Hillary Clinton,56
Tulare,102802,President,REP/AI,Donald J. Trump,159
Tulare,102802,President,LIB,Gary Johnson,18
Tulare,102802,President,GRN,Jill Stein,1
Tulare,102802,President,PF,Gloria Estela La Riva,0
Tulare,102802,President,WI,Write-In,0
Tulare,102803,President,DEM,Hillary Clinton,0
Tulare,102803,President,REP/AI,Donald J. Trump,0
Tulare,102803,President,LIB,Gary Johnson,0
Tulare,102803,President,GRN,Jill Stein,0
Tulare,102803,President,PF,Gloria Estela La Riva,0
Tulare,102803,President,WI,Write-In,0
Tulare,103003,President,DEM,Hillary Clinton,464
Tulare,103003,President,REP/AI,Donald J. Trump,169
Tulare,103003,President,LIB,Gary Johnson,23
Tulare,103003,President,GRN,Jill Stein,6
Tulare,103003,President,PF,Gloria Estela La Riva,4
Tulare,103003,President,WI,Write-In,0
Tulare,103801,President,DEM,Hillary Clinton,841
Tulare,103801,President,REP/AI,Donald J. Trump,282
Tulare,103801,President,LIB,Gary Johnson,45
Tulare,103801,President,GRN,Jill Stein,17
Tulare,103801,President,PF,Gloria Estela La Riva,15
Tulare,103801,President,WI,Write-In,0
Tulare,106002,President,DEM,Hillary Clinton,534
Tulare,106002,President,REP/AI,Donald J. Trump,860
Tulare,106002,President,LIB,Gary Johnson,63
Tulare,106002,President,GRN,Jill Stein,31
Tulare,106002,President,PF,Gloria Estela La Riva,7
Tulare,106002,President,WI,Write-In,0
Tulare,106003,President,DEM,Hillary Clinton,465
Tulare,106003,President,REP/AI,Donald J. Trump,723
Tulare,106003,President,LIB,Gary Johnson,47
Tulare,106003,President,GRN,Jill Stein,21
Tulare,106003,President,PF,Gloria Estela La Riva,2
Tulare,106003,President,WI,Write-In,0
Tulare,106004,President,DEM,Hillary Clinton,676
Tulare,106004,President,REP/AI,Donald J. Trump,1044
Tulare,106004,President,LIB,Gary Johnson,66
Tulare,106004,President,GRN,Jill Stein,18
Tulare,106004,President,PF,Gloria Estela La Riva,8
Tulare,106004,President,WI,Write-In,0
Tulare,106007,President,DEM,Hillary Clinton,361
Tulare,106007,President,REP/AI,Donald J. Trump,687
Tulare,106007,President,LIB,Gary Johnson,58
Tulare,106007,President,GRN,Jill Stein,10
Tulare,106007,President,PF,Gloria Estela La Riva,0
Tulare,106007,President,WI,Write-In,0
Tulare,106801,President,DEM,Hillary Clinton,48
Tulare,106801,President,REP/AI,Donald J. Trump,110
Tulare,106801,President,LIB,Gary Johnson,4
Tulare,106801,President,GRN,Jill Stein,2
Tulare,106801,President,PF,Gloria Estela La Riva,1
Tulare,106801,President,WI,Write-In,0
Tulare,106802,President,DEM,Hillary Clinton,117
Tulare,106802,President,REP/AI,Donald J. Trump,165
Tulare,106802,President,LIB,Gary Johnson,19
Tulare,106802,President,GRN,Jill Stein,9
Tulare,106802,President,PF,Gloria Estela La Riva,2
Tulare,106802,President,WI,Write-In,0
Tulare,106803,President,DEM,Hillary Clinton,119
Tulare,106803,President,REP/AI,Donald J. Trump,139
Tulare,106803,President,LIB,Gary Johnson,16
Tulare,106803,President,GRN,Jill Stein,13
Tulare,106803,President,PF,Gloria Estela La Riva,1
Tulare,106803,President,WI,Write-In,0
Tulare,106804,President,DEM,Hillary Clinton,48
Tulare,106804,President,REP/AI,Donald J. Trump,22
Tulare,106804,President,LIB,Gary Johnson,2
Tulare,106804,President,GRN,Jill Stein,1
Tulare,106804,President,PF,Gloria Estela La Riva,2
Tulare,106804,President,WI,Write-In,0
Tulare,106901,President,DEM,Hillary Clinton,690
Tulare,106901,President,REP/AI,Donald J. Trump,747
Tulare,106901,President,LIB,Gary Johnson,56
Tulare,106901,President,GRN,Jill Stein,38
Tulare,106901,President,PF,Gloria Estela La Riva,4
Tulare,106901,President,WI,Write-In,0
Tulare,106907,President,DEM,Hillary Clinton,615
Tulare,106907,President,REP/AI,Donald J. Trump,702
Tulare,106907,President,LIB,Gary Johnson,47
Tulare,106907,President,GRN,Jill Stein,29
Tulare,106907,President,PF,Gloria Estela La Riva,7
Tulare,106907,President,WI,Write-In,0
Tulare,108005,President,DEM,Hillary Clinton,830
Tulare,108005,President,REP/AI,Donald J. Trump,359
Tulare,108005,President,LIB,Gary Johnson,48
Tulare,108005,President,GRN,Jill Stein,29
Tulare,108005,President,PF,Gloria Estela La Riva,12
Tulare,108005,President,WI,Write-In,0
Tulare,108801,President,DEM,Hillary Clinton,262
Tulare,108801,President,REP/AI,Donald J. Trump,107
Tulare,108801,President,LIB,Gary Johnson,11
Tulare,108801,President,GRN,Jill Stein,5
Tulare,108801,President,PF,Gloria Estela La Riva,1
Tulare,108801,President,WI,Write-In,0
Tulare,108802,President,DEM,Hillary Clinton,0
Tulare,108802,President,REP/AI,Donald J. Trump,0
Tulare,108802,President,LIB,Gary Johnson,0
Tulare,108802,President,GRN,Jill Stein,0
Tulare,108802,President,PF,Gloria Estela La Riva,0
Tulare,108802,President,WI,Write-In,0
Tulare,199307,President,DEM,Hillary Clinton,123
Tulare,199307,President,REP/AI,Donald J. Trump,136
Tulare,199307,President,LIB,Gary Johnson,9
Tulare,199307,President,GRN,Jill Stein,11
Tulare,199307,President,PF,Gloria Estela La Riva,3
Tulare,199307,President,WI,Write-In,0
Tulare,199320,President,DEM,Hillary Clinton,368
Tulare,199320,President,REP/AI,Donald J. Trump,380
Tulare,199320,President,LIB,Gary Johnson,26
Tulare,199320,President,GRN,Jill Stein,22
Tulare,199320,President,PF,Gloria Estela La Riva,1
Tulare,199320,President,WI,Write-In,0
Tulare,199801,President,DEM,Hillary Clinton,11
Tulare,199801,President,REP/AI,Donald J. Trump,47
Tulare,199801,President,LIB,Gary Johnson,1
Tulare,199801,President,GRN,Jill Stein,2
Tulare,199801,President,PF,Gloria Estela La Riva,0
Tulare,199801,President,WI,Write-In,0
Tulare,199802,President,DEM,Hillary Clinton,168
Tulare,199802,President,REP/AI,Donald J. Trump,587
Tulare,199802,President,LIB,Gary Johnson,24
Tulare,199802,President,GRN,Jill Stein,3
Tulare,199802,President,PF,Gloria Estela La Riva,2
Tulare,199802,President,WI,Write-In,0
Tulare,199803,President,DEM,Hillary Clinton,18
Tulare,199803,President,REP/AI,Donald J. Trump,55
Tulare,199803,President,LIB,Gary Johnson,2
Tulare,199803,President,GRN,Jill Stein,0
Tulare,199803,President,PF,Gloria Estela La Riva,0
Tulare,199803,President,WI,Write-In,0
Tulare,199804,President,DEM,Hillary Clinton,30
Tulare,199804,President,REP/AI,Donald J. Trump,118
Tulare,199804,President,LIB,Gary Johnson,4
Tulare,199804,President,GRN,Jill Stein,2
Tulare,199804,President,PF,Gloria Estela La Riva,0
Tulare,199804,President,WI,Write-In,0
Tulare,199805,President,DEM,Hillary Clinton,100
Tulare,199805,President,REP/AI,Donald J. Trump,424
Tulare,199805,President,LIB,Gary Johnson,11
Tulare,199805,President,GRN,Jill Stein,9
Tulare,199805,President,PF,Gloria Estela La Riva,2
Tulare,199805,President,WI,Write-In,0
Tulare,199806,President,DEM,Hillary Clinton,358
Tulare,199806,President,REP/AI,Donald J. Trump,287
Tulare,199806,President,LIB,Gary Johnson,13
Tulare,199806,President,GRN,Jill Stein,7
Tulare,199806,President,PF,Gloria Estela La Riva,6
Tulare,199806,President,WI,Write-In,0
Tulare,199807,President,DEM,Hillary Clinton,1
Tulare,199807,President,REP/AI,Donald J. Trump,25
Tulare,199807,President,LIB,Gary Johnson,0
Tulare,199807,President,GRN,Jill Stein,0
Tulare,199807,President,PF,Gloria Estela La Riva,0
Tulare,199807,President,WI,Write-In,0
Tulare,199808,President,DEM,Hillary Clinton,1
Tulare,199808,President,REP/AI,Donald J. Trump,21
Tulare,199808,President,LIB,Gary Johnson,0
Tulare,199808,President,GRN,Jill Stein,0
Tulare,199808,President,PF,Gloria Estela La Riva,0
Tulare,199808,President,WI,Write-In,0
Tulare,199809,President,DEM,Hillary Clinton,74
Tulare,199809,President,REP/AI,Donald J. Trump,71
Tulare,199809,President,LIB,Gary Johnson,4
Tulare,199809,President,GRN,Jill Stein,3
Tulare,199809,President,PF,Gloria Estela La Riva,0
Tulare,199809,President,WI,Write-In,0
Tulare,199810,President,DEM,Hillary Clinton,0
Tulare,199810,President,REP/AI,Donald J. Trump,1
Tulare,199810,President,LIB,Gary Johnson,0
Tulare,199810,President,GRN,Jill Stein,0
Tulare,199810,President,PF,Gloria Estela La Riva,0
Tulare,199810,President,WI,Write-In,0
Tulare,199811,President,DEM,Hillary Clinton,19
Tulare,199811,President,REP/AI,Donald J. Trump,61
Tulare,199811,President,LIB,Gary Johnson,5
