county,precinct,race,party,candidate,votes
Calaveras,110,President,DEM,Hillary Clinton,238
Calaveras,110,President,REP/AI,Donald J. Trump,412
Calaveras,110,President,LIB,Gary Johnson,38
Calaveras,110,President,GRN,Jill Stein,15
Calaveras,110,President,PF,Gloria Estela La Riva,2
Calaveras,110,President,WI,Write-In,14
Calaveras,120,President,DEM,Hillary Clinton,264
Calaveras,120,President,REP/AI,Donald J. Trump,576
Calaveras,120,President,LIB,Gary Johnson,45
Calaveras,120,President,GRN,Jill Stein,19
Calaveras,120,President,PF,Gloria Estela La Riva,3
Calaveras,120,President,WI,Write-In,20
Calaveras,140,President,DEM,Hillary Clinton,217
Calaveras,140,President,REP/AI,Donald J. Trump,516
Calaveras,140,President,LIB,Gary Johnson,37
Calaveras,140,President,GRN,Jill Stein,8
Calaveras,140,President,PF,Gloria Estela La Riva,2
Calaveras,140,President,WI,Write-In,12
Calaveras,150,President,DEM,Hillary Clinton,176
Calaveras,150,President,REP/AI,Donald J. Trump,362
Calaveras,150,President,LIB,Gary Johnson,23
Calaveras,150,President,GRN,Jill Stein,5
Calaveras,150,President,PF,Gloria Estela La Riva,1
Calaveras,150,President,WI,Write-In,16
Calaveras,160,President,DEM,Hillary Clinton,153
Calaveras,160,President,REP/AI,Donald J. Trump,473
Calaveras,160,President,LIB,Gary Johnson,24
Calaveras,160,President,GRN,Jill Stein,4
Calaveras,160,President,PF,Gloria Estela La Riva,2
Calaveras,160,President,WI,Write-In,11
Calaveras,170,President,DEM,Hillary Clinton,205
Calaveras,170,President,REP/AI,Donald J. Trump,576
Calaveras,170,President,LIB,Gary Johnson,40
Calaveras,170,President,GRN,Jill Stein,14
Calaveras,170,President,PF,Gloria Estela La Riva,1
Calaveras,170,President,WI,Write-In,14
Calaveras,210,President,DEM,Hillary Clinton,219
Calaveras,210,President,REP/AI,Donald J. Trump,213
Calaveras,210,President,LIB,Gary Johnson,34
Calaveras,210,President,GRN,Jill Stein,18
Calaveras,210,President,PF,Gloria Estela La Riva,0
Calaveras,210,President,WI,Write-In,13
Calaveras,215,President,DEM,Hillary Clinton,284
Calaveras,215,President,REP/AI,Donald J. Trump,376
Calaveras,215,President,LIB,Gary Johnson,44
Calaveras,215,President,GRN,Jill Stein,26
Calaveras,215,President,PF,Gloria Estela La Riva,0
Calaveras,215,President,WI,Write-In,24
Calaveras,220,President,DEM,Hillary Clinton,238
Calaveras,220,President,REP/AI,Donald J. Trump,397
Calaveras,220,President,LIB,Gary Johnson,36
Calaveras,220,President,GRN,Jill Stein,21
Calaveras,220,President,PF,Gloria Estela La Riva,5
Calaveras,220,President,WI,Write-In,15
Calaveras,230,President,DEM,Hillary Clinton,120
Calaveras,230,President,REP/AI,Donald J. Trump,245
Calaveras,230,President,LIB,Gary Johnson,25
Calaveras,230,President,GRN,Jill Stein,15
Calaveras,230,President,PF,Gloria Estela La Riva,2
Calaveras,230,President,WI,Write-In,9
Calaveras,240,President,DEM,Hillary Clinton,260
