county,precinct,race,party,candidate,votes
San Benito,0130001,President,DEM,Hillary Clinton,430
San Benito,0130001,President,REP/AI,Donald J. Trump,301
San Benito,0130001,President,LIB,Gary Johnson,30
San Benito,0130001,President,GRN,Jill Stein,13
San Benito,0130001,President,PF,Gloria Estela La Riva,7
San Benito,0130001,President,WI,Write-In,0
San Benito,0130002,President,DEM,Hillary Clinton,499
San Benito,0130002,President,REP/AI,Donald J. Trump,604
San Benito,0130002,President,LIB,Gary Johnson,66
San Benito,0130002,President,GRN,Jill Stein,15
San Benito,0130002,President,PF,Gloria Estela La Riva,5
San Benito,0130002,President,WI,Write-In,0
San Benito,0135109,President,DEM,Hillary Clinton,524
San Benito,0135109,President,REP/AI,Donald J. Trump,196
San Benito,0135109,President,LIB,Gary Johnson,25
San Benito,0135109,President,GRN,Jill Stein,13
San Benito,0135109,President,PF,Gloria Estela La Riva,3
San Benito,0135109,President,WI,Write-In,0
San Benito,0135423,President,DEM,Hillary Clinton,266
San Benito,0135423,President,REP/AI,Donald J. Trump,182
San Benito,0135423,President,LIB,Gary Johnson,16
San Benito,0135423,President,GRN,Jill Stein,10
San Benito,0135423,President,PF,Gloria Estela La Riva,3
San Benito,0135423,President,WI,Write-In,0
San Benito,0135425,President,DEM,Hillary Clinton,351
San Benito,0135425,President,REP/AI,Donald J. Trump,294
San Benito,0135425,President,LIB,Gary Johnson,34
San Benito,0135425,President,GRN,Jill Stein,3
San Benito,0135425,President,PF,Gloria Estela La Riva,2
San Benito,0135425,President,WI,Write-In,0
San Benito,0201001,President,DEM,Hillary Clinton,211
San Benito,0201001,President,REP/AI,Donald J. Trump,176
San Benito,0201001,President,LIB,Gary Johnson,13
San Benito,0201001,President,GRN,Jill Stein,11
San Benito,0201001,President,PF,Gloria Estela La Riva,3
San Benito,0201001,President,WI,Write-In,0
San Benito,0205001,President,DEM,Hillary Clinton,403
San Benito,0205001,President,REP/AI,Donald J. Trump,153
San Benito,0205001,President,LIB,Gary Johnson,30
San Benito,0205001,President,GRN,Jill Stein,22
