county,precinct,race,party,candidate,votes
Inyo,101,President,DEM,Hillary Clinton,254
Inyo,101,President,REP/AI,Donald J. Trump,312
Inyo,101,President,LIB,Gary Johnson,18
Inyo,101,President,GRN,Jill Stein,13
Inyo,101,President,PF,Gloria Estela La Riva,2
Inyo,101,President,WI,Write-In,10
Inyo,102,President,DEM,Hillary Clinton,252
Inyo,102,President,REP/AI,Donald J. Trump,411
Inyo,102,President,LIB,Gary Johnson,26
Inyo,102,President,GRN,Jill Stein,13
Inyo,102,President,PF,Gloria Estela La Riva,1
Inyo,102,President,WI,Write-In,19
Inyo,103,President,DEM,Hillary Clinton,182
Inyo,103,President,REP/AI,Donald J. Trump,322
Inyo,103,President,LIB,Gary Johnson,21
Inyo,103,President,GRN,Jill Stein,12
Inyo,103,President,PF,Gloria Estela La Riva,2
Inyo,103,President,WI,Write-In,9
Inyo,104,President,DEM,Hillary Clinton,25
Inyo,104,President,REP/AI,Donald J. Trump,34
Inyo,104,President,LIB,Gary Johnson,2
Inyo,104,President,GRN,Jill Stein,1
Inyo,104,President,PF,Gloria Estela La Riva,1
Inyo,104,President,WI,Write-In,0
Inyo,105,President,DEM,Hillary Clinton,13
Inyo,105,President,REP/AI,Donald J. Trump,33
Inyo,105,President,LIB,Gary Johnson,2
Inyo,105,President,GRN,Jill Stein,2
Inyo,105,President,PF,Gloria Estela La Riva,0
Inyo,105,President,WI,Write-In,0
Inyo,106,President,DEM,Hillary Clinton,294
Inyo,106,President,REP/AI,Donald J. Trump,338
Inyo,106,President,LIB,Gary Johnson,25
Inyo,106,President,GRN,Jill Stein,17
Inyo,106,President,PF,Gloria Estela La Riva,3
Inyo,106,President,WI,Write-In,15
Inyo,107,President,DEM,Hillary Clinton,185
Inyo,107,President,REP/AI,Donald J. Trump,160
Inyo,107,President,LIB,Gary Johnson,10
Inyo,107,President,GRN,Jill Stein,9
Inyo,107,President,PF,Gloria Estela La Riva,2
Inyo,107,President,WI,Write-In,10
Inyo,108,President,DEM,Hillary Clinton,158
Inyo,108,President,REP/AI,Donald J. Trump,121
Inyo,108,President,LIB,Gary Johnson,16
Inyo,108,President,GRN,Jill Stein,14
Inyo,108,President,PF,Gloria Estela La Riva,2
Inyo,108,President,WI,Write-In,6
Inyo,109,President,DEM,Hillary Clinton,278
Inyo,109,President,REP/AI,Donald J. Trump,415
Inyo,109,President,LIB,Gary Johnson,39
Inyo,109,President,GRN,Jill Stein,14
Inyo,109,President,PF,Gloria Estela La Riva,1
Inyo,109,President,WI,Write-In,19
Inyo,110,President,DEM,Hillary Clinton,229
Inyo,110,President,REP/AI,Donald J. Trump,539
Inyo,110,President,LIB,Gary Johnson,38
Inyo,110,President,GRN,Jill Stein,12
Inyo,110,President,PF,Gloria Estela La Riva,2
Inyo,110,President,WI,Write-In,11
Inyo,111,President,DEM,Hillary Clinton,161
Inyo,111,President,REP/AI,Donald J. Trump,76
Inyo,111,President,LIB,Gary Johnson,10
Inyo,111,President,GRN,Jill Stein,22
Inyo,111,President,PF,Gloria Estela La Riva,10
Inyo,111,President,WI,Write-In,5
