county,precinct,race,party,candidate,votes
Glenn,1,President,DEM,Hillary Clinton,185
Glenn,1,President,REP/AI,Donald J. Trump,482
Glenn,1,President,LIB,Gary Johnson,25
Glenn,1,President,GRN,Jill Stein,9
Glenn,1,President,PF,Gloria Estela La Riva,2
Glenn,1,President,WI,Write-In,7
Glenn,10,President,DEM,Hillary Clinton,381
Glenn,10,President,REP/AI,Donald J. Trump,118
Glenn,10,President,LIB,Gary Johnson,19
Glenn,10,President,GRN,Jill Stein,2
Glenn,10,President,PF,Gloria Estela La Riva,3
Glenn,10,President,WI,Write-In,5
Glenn,10031,President,DEM,Hillary Clinton,56
Glenn,10031,President,REP/AI,Donald J. Trump,30
Glenn,10031,President,LIB,Gary Johnson,2
Glenn,10031,President,GRN,Jill Stein,0
Glenn,10031,President,PF,Gloria Estela La Riva,2
Glenn,10031,President,WI,Write-In,2
Glenn,10050,President,DEM,Hillary Clinton,28
Glenn,10050,President,REP/AI,Donald J. Trump,16
Glenn,10050,President,LIB,Gary Johnson,4
Glenn,10050,President,GRN,Jill Stein,1
Glenn,10050,President,PF,Gloria Estela La Riva,0
Glenn,10050,President,WI,Write-In,0
Glenn,10060,President,DEM,Hillary Clinton,42
Glenn,10060,President,REP/AI,Donald J. Trump,45
Glenn,10060,President,LIB,Gary Johnson,2
Glenn,10060,President,GRN,Jill Stein,2
Glenn,10060,President,PF,Gloria Estela La Riva,1
Glenn,10060,President,WI,Write-In,3
Glenn,12150,President,DEM,Hillary Clinton,135
Glenn,12150,President,REP/AI,Donald J. Trump,77
Glenn,12150,President,LIB,Gary Johnson,15
Glenn,12150,President,GRN,Jill Stein,5
Glenn,12150,President,PF,Gloria Estela La Riva,3
Glenn,12150,President,WI,Write-In,3
Glenn,2,President,DEM,Hillary Clinton,206
Glenn,2,President,REP/AI,Donald J. Trump,495
Glenn,2,President,LIB,Gary Johnson,38
Glenn,2,President,GRN,Jill Stein,8
Glenn,2,President,PF,Gloria Estela La Riva,7
Glenn,2,President,WI,Write-In,4
Glenn,3,President,DEM,Hillary Clinton,221
Glenn,3,President,REP/AI,Donald J. Trump,334
Glenn,3,President,LIB,Gary Johnson,25
Glenn,3,President,GRN,Jill Stein,12
Glenn,3,President,PF,Gloria Estela La Riva,6
Glenn,3,President,WI,Write-In,7
Glenn,30011,President,DEM,Hillary Clinton,26
Glenn,30011,President,REP/AI,Donald J. Trump,103
Glenn,30011,President,LIB,Gary Johnson,9
Glenn,30011,President,GRN,Jill Stein,0
Glenn,30011,President,PF,Gloria Estela La Riva,1
Glenn,30011,President,WI,Write-In,0
Glenn,30014,President,DEM,Hillary Clinton,10
Glenn,30014,President,REP/AI,Donald J. Trump,65
Glenn,30014,President,LIB,Gary Johnson,0
Glenn,30014,President,GRN,Jill Stein,1
Glenn,30014,President,PF,Gloria Estela La Riva,0
Glenn,30014,President,WI,Write-In,0
Glenn,30020,President,DEM,Hillary Clinton,52
Glenn,30020,President,REP/AI,Donald J. Trump,191
Glenn,30020,President,LIB,Gary Johnson,5
Glenn,30020,President,GRN,Jill Stein,1
Glenn,30020,President,PF,Gloria Estela La Riva,2
Glenn,30020,President,WI,Write-In,2
Glenn,30042,President,DEM,Hillary Clinton,48
