county,precinct,race,party,candidate,votes
Santa Cruz,10020,President,DEM,Hillary Clinton,773
Santa Cruz,10020,President,REP/AI,Donald J. Trump,179
Santa Cruz,10020,President,LIB,Gary Johnson,31
Santa Cruz,10020,President,GRN,Jill Stein,38
Santa Cruz,10020,President,PF,Gloria Estela La Riva,2
Santa Cruz,10020,President,WI,Write-In,0
Santa Cruz,10060,President,DEM,Hillary Clinton,721
Santa Cruz,10060,President,REP/AI,Donald J. Trump,165
Santa Cruz,10060,President,LIB,Gary Johnson,24
Santa Cruz,10060,President,GRN,Jill Stein,35
Santa Cruz,10060,President,PF,Gloria Estela La Riva,6
Santa Cruz,10060,President,WI,Write-In,0
Santa Cruz,10080,President,DEM,Hillary Clinton,712
Santa Cruz,10080,President,REP/AI,Donald J. Trump,160
Santa Cruz,10080,President,LIB,Gary Johnson,31
Santa Cruz,10080,President,GRN,Jill Stein,44
Santa Cruz,10080,President,PF,Gloria Estela La Riva,4
Santa Cruz,10080,President,WI,Write-In,0
Santa Cruz,10090,President,DEM,Hillary Clinton,733
Santa Cruz,10090,President,REP/AI,Donald J. Trump,131
Santa Cruz,10090,President,LIB,Gary Johnson,26
Santa Cruz,10090,President,GRN,Jill Stein,38
Santa Cruz,10090,President,PF,Gloria Estela La Riva,7
Santa Cruz,10090,President,WI,Write-In,0
Santa Cruz,10100,President,DEM,Hillary Clinton,776
Santa Cruz,10100,President,REP/AI,Donald J. Trump,165
Santa Cruz,10100,President,LIB,Gary Johnson,35
Santa Cruz,10100,President,GRN,Jill Stein,38
Santa Cruz,10100,President,PF,Gloria Estela La Riva,7
Santa Cruz,10100,President,WI,Write-In,0
Santa Cruz,10110,President,DEM,Hillary Clinton,734
Santa Cruz,10110,President,REP/AI,Donald J. Trump,177
Santa Cruz,10110,President,LIB,Gary Johnson,19
Santa Cruz,10110,President,GRN,Jill Stein,40
Santa Cruz,10110,President,PF,Gloria Estela La Riva,6
Santa Cruz,10110,President,WI,Write-In,0
Santa Cruz,10130,President,DEM,Hillary Clinton,879
Santa Cruz,10130,President,REP/AI,Donald J. Trump,193
Santa Cruz,10130,President,LIB,Gary Johnson,43
Santa Cruz,10130,President,GRN,Jill Stein,50
Santa Cruz,10130,President,PF,Gloria Estela La Riva,4
Santa Cruz,10130,President,WI,Write-In,0
Santa Cruz,10141,President,DEM,Hillary Clinton,60
Santa Cruz,10141,President,REP/AI,Donald J. Trump,22
Santa Cruz,10141,President,LIB,Gary Johnson,3
Santa Cruz,10141,President,GRN,Jill Stein,0
Santa Cruz,10141,President,PF,Gloria Estela La Riva,0
Santa Cruz,10141,President,WI,Write-In,0
Santa Cruz,10142,President,DEM,Hillary Clinton,80
Santa Cruz,10142,President,REP/AI,Donald J. Trump,18
Santa Cruz,10142,President,LIB,Gary Johnson,4
Santa Cruz,10142,President,GRN,Jill Stein,4
Santa Cruz,10142,President,PF,Gloria Estela La Riva,0
Santa Cruz,10142,President,WI,Write-In,0
Santa Cruz,10144,President,DEM,Hillary Clinton,677
Santa Cruz,10144,President,REP/AI,Donald J. Trump,173
Santa Cruz,10144,President,LIB,Gary Johnson,33
Santa Cruz,10144,President,GRN,Jill Stein,39
Santa Cruz,10144,President,PF,Gloria Estela La Riva,1
Santa Cruz,10144,President,WI,Write-In,0
Santa Cruz,10145,President,DEM,Hillary Clinton,14
Santa Cruz,10145,President,REP/AI,Donald J. Trump,2
Santa Cruz,10145,President,LIB,Gary Johnson,3
Santa Cruz,10145,President,GRN,Jill Stein,0
Santa Cruz,10145,President,PF,Gloria Estela La Riva,0
Santa Cruz,10145,President,WI,Write-In,0
Santa Cruz,10146,President,DEM,Hillary Clinton,5
Santa Cruz,10146,President,REP/AI,Donald J. Trump,0
Santa Cruz,10146,President,LIB,Gary Johnson,0
Santa Cruz,10146,President,GRN,Jill Stein,0
Santa Cruz,10146,President,PF,Gloria Estela La Riva,0
Santa Cruz,10146,President,WI,Write-In,0
Santa Cruz,10151,President,DEM,Hillary Clinton,25
Santa Cruz,10151,President,REP/AI,Donald J. Trump,6
Santa Cruz,10151,President,LIB,Gary Johnson,2
Santa Cruz,10151,President,GRN,Jill Stein,2
Santa Cruz,10151,President,PF,Gloria Estela La Riva,0
Santa Cruz,10151,President,WI,Write-In,0
Santa Cruz,10152,President,DEM,Hillary Clinton,0
Santa Cruz,10152,President,REP/AI,Donald J. Trump,1
Santa Cruz,10152,President,LIB,Gary Johnson,0
Santa Cruz,10152,President,GRN,Jill Stein,0
Santa Cruz,10152,President,PF,Gloria Estela La Riva,0
Santa Cruz,10152,President,WI,Write-In,0
Santa Cruz,10161,President,DEM,Hillary Clinton,268
Santa Cruz,10161,President,REP/AI,Donald J. Trump,109
Santa Cruz,10161,President,LIB,Gary Johnson,23
Santa Cruz,10161,President,GRN,Jill Stein,15
Santa Cruz,10161,President,PF,Gloria Estela La Riva,2
Santa Cruz,10161,President,WI,Write-In,0
Santa Cruz,10162,President,DEM,Hillary Clinton,68
Santa Cruz,10162,President,REP/AI,Donald J. Trump,19
Santa Cruz,10162,President,LIB,Gary Johnson,4
Santa Cruz,10162,President,GRN,Jill Stein,4
Santa Cruz,10162,President,PF,Gloria Estela La Riva,0
Santa Cruz,10162,President,WI,Write-In,0
Santa Cruz,10163,President,DEM,Hillary Clinton,4
Santa Cruz,10163,President,REP/AI,Donald J. Trump,1
Santa Cruz,10163,President,LIB,Gary Johnson,0
Santa Cruz,10163,President,GRN,Jill Stein,0
Santa Cruz,10163,President,PF,Gloria Estela La Riva,0
Santa Cruz,10163,President,WI,Write-In,0
Santa Cruz,10164,President,DEM,Hillary Clinton,109
Santa Cruz,10164,President,REP/AI,Donald J. Trump,40
Santa Cruz,10164,President,LIB,Gary Johnson,10
Santa Cruz,10164,President,GRN,Jill Stein,5
Santa Cruz,10164,President,PF,Gloria Estela La Riva,1
Santa Cruz,10164,President,WI,Write-In,0
Santa Cruz,10165,President,DEM,Hillary Clinton,0
Santa Cruz,10165,President,REP/AI,Donald J. Trump,0
Santa Cruz,10165,President,LIB,Gary Johnson,0
Santa Cruz,10165,President,GRN,Jill Stein,0
Santa Cruz,10165,President,PF,Gloria Estela La Riva,0
Santa Cruz,10165,President,WI,Write-In,0
Santa Cruz,10170,President,DEM,Hillary Clinton,520
Santa Cruz,10170,President,REP/AI,Donald J. Trump,141
Santa Cruz,10170,President,LIB,Gary Johnson,23
Santa Cruz,10170,President,GRN,Jill Stein,21
Santa Cruz,10170,President,PF,Gloria Estela La Riva,1
Santa Cruz,10170,President,WI,Write-In,0
Santa Cruz,10190,President,DEM,Hillary Clinton,896
Santa Cruz,10190,President,REP/AI,Donald J. Trump,174
Santa Cruz,10190,President,LIB,Gary Johnson,33
Santa Cruz,10190,President,GRN,Jill Stein,43
Santa Cruz,10190,President,PF,Gloria Estela La Riva,7
Santa Cruz,10190,President,WI,Write-In,0
Santa Cruz,10201,President,DEM,Hillary Clinton,285
Santa Cruz,10201,President,REP/AI,Donald J. Trump,107
Santa Cruz,10201,President,LIB,Gary Johnson,31
Santa Cruz,10201,President,GRN,Jill Stein,5
Santa Cruz,10201,President,PF,Gloria Estela La Riva,0
Santa Cruz,10201,President,WI,Write-In,0
Santa Cruz,10220,President,DEM,Hillary Clinton,648
Santa Cruz,10220,President,REP/AI,Donald J. Trump,139
Santa Cruz,10220,President,LIB,Gary Johnson,13
Santa Cruz,10220,President,GRN,Jill Stein,35
Santa Cruz,10220,President,PF,Gloria Estela La Riva,5
Santa Cruz,10220,President,WI,Write-In,0
Santa Cruz,10231,President,DEM,Hillary Clinton,52
Santa Cruz,10231,President,REP/AI,Donald J. Trump,16
Santa Cruz,10231,President,LIB,Gary Johnson,0
Santa Cruz,10231,President,GRN,Jill Stein,0
Santa Cruz,10231,President,PF,Gloria Estela La Riva,0
Santa Cruz,10231,President,WI,Write-In,0
Santa Cruz,10232,President,DEM,Hillary Clinton,6
Santa Cruz,10232,President,REP/AI,Donald J. Trump,0
Santa Cruz,10232,President,LIB,Gary Johnson,1
Santa Cruz,10232,President,GRN,Jill Stein,0
Santa Cruz,10232,President,PF,Gloria Estela La Riva,0
Santa Cruz,10232,President,WI,Write-In,0
Santa Cruz,10234,President,DEM,Hillary Clinton,43
Santa Cruz,10234,President,REP/AI,Donald J. Trump,26
Santa Cruz,10234,President,LIB,Gary Johnson,6
Santa Cruz,10234,President,GRN,Jill Stein,5
Santa Cruz,10234,President,PF,Gloria Estela La Riva,0
Santa Cruz,10234,President,WI,Write-In,0
Santa Cruz,10236,President,DEM,Hillary Clinton,15
Santa Cruz,10236,President,REP/AI,Donald J. Trump,5
Santa Cruz,10236,President,LIB,Gary Johnson,2
Santa Cruz,10236,President,GRN,Jill Stein,2
Santa Cruz,10236,President,PF,Gloria Estela La Riva,0
Santa Cruz,10236,President,WI,Write-In,0
Santa Cruz,10237,President,DEM,Hillary Clinton,4
Santa Cruz,10237,President,REP/AI,Donald J. Trump,0
Santa Cruz,10237,President,LIB,Gary Johnson,0
Santa Cruz,10237,President,GRN,Jill Stein,0
Santa Cruz,10237,President,PF,Gloria Estela La Riva,0
Santa Cruz,10237,President,WI,Write-In,0
Santa Cruz,10240,President,DEM,Hillary Clinton,453
Santa Cruz,10240,President,REP/AI,Donald J. Trump,122
Santa Cruz,10240,President,LIB,Gary Johnson,26
Santa Cruz,10240,President,GRN,Jill Stein,22
Santa Cruz,10240,President,PF,Gloria Estela La Riva,7
Santa Cruz,10240,President,WI,Write-In,0
Santa Cruz,10260,President,DEM,Hillary Clinton,275
Santa Cruz,10260,President,REP/AI,Donald J. Trump,64
Santa Cruz,10260,President,LIB,Gary Johnson,11
Santa Cruz,10260,President,GRN,Jill Stein,14
Santa Cruz,10260,President,PF,Gloria Estela La Riva,3
Santa Cruz,10260,President,WI,Write-In,0
Santa Cruz,10270,President,DEM,Hillary Clinton,524
Santa Cruz,10270,President,REP/AI,Donald J. Trump,158
Santa Cruz,10270,President,LIB,Gary Johnson,34
Santa Cruz,10270,President,GRN,Jill Stein,31
Santa Cruz,10270,President,PF,Gloria Estela La Riva,5
Santa Cruz,10270,President,WI,Write-In,0
Santa Cruz,10281,President,DEM,Hillary Clinton,453
Santa Cruz,10281,President,REP/AI,Donald J. Trump,134
Santa Cruz,10281,President,LIB,Gary Johnson,25
Santa Cruz,10281,President,GRN,Jill Stein,19
Santa Cruz,10281,President,PF,Gloria Estela La Riva,3
Santa Cruz,10281,President,WI,Write-In,0
Santa Cruz,10283,President,DEM,Hillary Clinton,92
Santa Cruz,10283,President,REP/AI,Donald J. Trump,41
Santa Cruz,10283,President,LIB,Gary Johnson,4
Santa Cruz,10283,President,GRN,Jill Stein,10
Santa Cruz,10283,President,PF,Gloria Estela La Riva,1
Santa Cruz,10283,President,WI,Write-In,0
Santa Cruz,10284,President,DEM,Hillary Clinton,4
Santa Cruz,10284,President,REP/AI,Donald J. Trump,2
Santa Cruz,10284,President,LIB,Gary Johnson,0
Santa Cruz,10284,President,GRN,Jill Stein,0
Santa Cruz,10284,President,PF,Gloria Estela La Riva,0
Santa Cruz,10284,President,WI,Write-In,0
Santa Cruz,10286,President,DEM,Hillary Clinton,58
Santa Cruz,10286,President,REP/AI,Donald J. Trump,12
Santa Cruz,10286,President,LIB,Gary Johnson,3
Santa Cruz,10286,President,GRN,Jill Stein,3
Santa Cruz,10286,President,PF,Gloria Estela La Riva,0
Santa Cruz,10286,President,WI,Write-In,0
Santa Cruz,10287,President,DEM,Hillary Clinton,1
Santa Cruz,10287,President,REP/AI,Donald J. Trump,2
Santa Cruz,10287,President,LIB,Gary Johnson,0
Santa Cruz,10287,President,GRN,Jill Stein,0
Santa Cruz,10287,President,PF,Gloria Estela La Riva,0
Santa Cruz,10287,President,WI,Write-In,0
Santa Cruz,10291,President,DEM,Hillary Clinton,90
Santa Cruz,10291,President,REP/AI,Donald J. Trump,38
Santa Cruz,10291,President,LIB,Gary Johnson,3
Santa Cruz,10291,President,GRN,Jill Stein,7
Santa Cruz,10291,President,PF,Gloria Estela La Riva,1
Santa Cruz,10291,President,WI,Write-In,0
Santa Cruz,10292,President,DEM,Hillary Clinton,100
Santa Cruz,10292,President,REP/AI,Donald J. Trump,39
Santa Cruz,10292,President,LIB,Gary Johnson,13
Santa Cruz,10292,President,GRN,Jill Stein,7
Santa Cruz,10292,President,PF,Gloria Estela La Riva,1
Santa Cruz,10292,President,WI,Write-In,0
Santa Cruz,10294,President,DEM,Hillary Clinton,1038
Santa Cruz,10294,President,REP/AI,Donald J. Trump,269
Santa Cruz,10294,President,LIB,Gary Johnson,53
Santa Cruz,10294,President,GRN,Jill Stein,39
Santa Cruz,10294,President,PF,Gloria Estela La Riva,4
Santa Cruz,10294,President,WI,Write-In,0
Santa Cruz,10295,President,DEM,Hillary Clinton,54
Santa Cruz,10295,President,REP/AI,Donald J. Trump,37
Santa Cruz,10295,President,LIB,Gary Johnson,4
Santa Cruz,10295,President,GRN,Jill Stein,1
Santa Cruz,10295,President,PF,Gloria Estela La Riva,1
Santa Cruz,10295,President,WI,Write-In,0
Santa Cruz,10310,President,DEM,Hillary Clinton,860
Santa Cruz,10310,President,REP/AI,Donald J. Trump,156
Santa Cruz,10310,President,LIB,Gary Johnson,21
Santa Cruz,10310,President,GRN,Jill Stein,39
Santa Cruz,10310,President,PF,Gloria Estela La Riva,1
Santa Cruz,10310,President,WI,Write-In,0
Santa Cruz,10351,President,DEM,Hillary Clinton,458
Santa Cruz,10351,President,REP/AI,Donald J. Trump,143
Santa Cruz,10351,President,LIB,Gary Johnson,22
Santa Cruz,10351,President,GRN,Jill Stein,10
Santa Cruz,10351,President,PF,Gloria Estela La Riva,0
Santa Cruz,10351,President,WI,Write-In,0
Santa Cruz,10352,President,DEM,Hillary Clinton,166
Santa Cruz,10352,President,REP/AI,Donald J. Trump,43
Santa Cruz,10352,President,LIB,Gary Johnson,7
Santa Cruz,10352,President,GRN,Jill Stein,1
Santa Cruz,10352,President,PF,Gloria Estela La Riva,0
Santa Cruz,10352,President,WI,Write-In,0
Santa Cruz,10381,President,DEM,Hillary Clinton,801
Santa Cruz,10381,President,REP/AI,Donald J. Trump,243
Santa Cruz,10381,President,LIB,Gary Johnson,60
Santa Cruz,10381,President,GRN,Jill Stein,33
Santa Cruz,10381,President,PF,Gloria Estela La Riva,7
Santa Cruz,10381,President,WI,Write-In,0
Santa Cruz,10382,President,DEM,Hillary Clinton,43
Santa Cruz,10382,President,REP/AI,Donald J. Trump,11
Santa Cruz,10382,President,LIB,Gary Johnson,4
Santa Cruz,10382,President,GRN,Jill Stein,3
Santa Cruz,10382,President,PF,Gloria Estela La Riva,0
Santa Cruz,10382,President,WI,Write-In,0
Santa Cruz,10410,President,DEM,Hillary Clinton,461
Santa Cruz,10410,President,REP/AI,Donald J. Trump,86
Santa Cruz,10410,President,LIB,Gary Johnson,17
Santa Cruz,10410,President,GRN,Jill Stein,21
Santa Cruz,10410,President,PF,Gloria Estela La Riva,3
Santa Cruz,10410,President,WI,Write-In,0
Santa Cruz,10490,President,DEM,Hillary Clinton,338
Santa Cruz,10490,President,REP/AI,Donald J. Trump,74
Santa Cruz,10490,President,LIB,Gary Johnson,17
Santa Cruz,10490,President,GRN,Jill Stein,15
Santa Cruz,10490,President,PF,Gloria Estela La Riva,1
Santa Cruz,10490,President,WI,Write-In,0
Santa Cruz,10521,President,DEM,Hillary Clinton,56
Santa Cruz,10521,President,REP/AI,Donald J. Trump,20
Santa Cruz,10521,President,LIB,Gary Johnson,7
Santa Cruz,10521,President,GRN,Jill Stein,5
Santa Cruz,10521,President,PF,Gloria Estela La Riva,0
Santa Cruz,10521,President,WI,Write-In,0
Santa Cruz,10523,President,DEM,Hillary Clinton,4
Santa Cruz,10523,President,REP/AI,Donald J. Trump,1
Santa Cruz,10523,President,LIB,Gary Johnson,0
Santa Cruz,10523,President,GRN,Jill Stein,0
Santa Cruz,10523,President,PF,Gloria Estela La Riva,0
Santa Cruz,10523,President,WI,Write-In,0
Santa Cruz,10533,President,DEM,Hillary Clinton,6
Santa Cruz,10533,President,REP/AI,Donald J. Trump,2
Santa Cruz,10533,President,LIB,Gary Johnson,0
Santa Cruz,10533,President,GRN,Jill Stein,0
Santa Cruz,10533,President,PF,Gloria Estela La Riva,0
Santa Cruz,10533,President,WI,Write-In,0
Santa Cruz,10551,President,DEM,Hillary Clinton,7
Santa Cruz,10551,President,REP/AI,Donald J. Trump,6
Santa Cruz,10551,President,LIB,Gary Johnson,0
Santa Cruz,10551,President,GRN,Jill Stein,0
Santa Cruz,10551,President,PF,Gloria Estela La Riva,0
Santa Cruz,10551,President,WI,Write-In,0
Santa Cruz,10552,President,DEM,Hillary Clinton,0
Santa Cruz,10552,President,REP/AI,Donald J. Trump,0
Santa Cruz,10552,President,LIB,Gary Johnson,0
Santa Cruz,10552,President,GRN,Jill Stein,0
Santa Cruz,10552,President,PF,Gloria Estela La Riva,0
Santa Cruz,10552,President,WI,Write-In,0
