county,precinct,race,party,candidate,votes
Lake,ADOBE,President,DEM,Hillary Clinton,180
Lake,ADOBE,President,REP/AI,Donald J. Trump,207
Lake,ADOBE,President,LIB,Gary Johnson,10
Lake,ADOBE,President,GRN,Jill Stein,11
Lake,ADOBE,President,PF,Gloria Estela La Riva,1
Lake,ADOBE,President,WI,Write-In,0
Lake,BACHELOR,President,DEM,Hillary Clinton,187
Lake,BACHELOR,President,REP/AI,Donald J. Trump,286
Lake,BACHELOR,President,LIB,Gary Johnson,22
Lake,BACHELOR,President,GRN,Jill Stein,21
Lake,BACHELOR,President,PF,Gloria Estela La Riva,4
Lake,BACHELOR,President,WI,Write-In,0
Lake,BALD_MTN,President,DEM,Hillary Clinton,2
Lake,BALD_MTN,President,REP/AI,Donald J. Trump,2
Lake,BALD_MTN,President,LIB,Gary Johnson,0
Lake,BALD_MTN,President,GRN,Jill Stein,1
Lake,BALD_MTN,President,PF,Gloria Estela La Riva,0
Lake,BALD_MTN,President,WI,Write-In,0
Lake,BALLY_PEAK,President,DEM,Hillary Clinton,1
Lake,BALLY_PEAK,President,REP/AI,Donald J. Trump,5
Lake,BALLY_PEAK,President,LIB,Gary Johnson,3
Lake,BALLY_PEAK,President,GRN,Jill Stein,0
Lake,BALLY_PEAK,President,PF,Gloria Estela La Riva,0
Lake,BALLY_PEAK,President,WI,Write-In,0
Lake,BARTLETT,President,DEM,Hillary Clinton,0
Lake,BARTLETT,President,REP/AI,Donald J. Trump,1
Lake,BARTLETT,President,LIB,Gary Johnson,0
Lake,BARTLETT,President,GRN,Jill Stein,2
Lake,BARTLETT,President,PF,Gloria Estela La Riva,0
Lake,BARTLETT,President,WI,Write-In,0
Lake,BELL_PARK,President,DEM,Hillary Clinton,24
Lake,BELL_PARK,President,REP/AI,Donald J. Trump,41
Lake,BELL_PARK,President,LIB,Gary Johnson,5
Lake,BELL_PARK,President,GRN,Jill Stein,2
Lake,BELL_PARK,President,PF,Gloria Estela La Riva,1
Lake,BELL_PARK,President,WI,Write-In,0
Lake,BIG_VALLEY,President,DEM,Hillary Clinton,98
Lake,BIG_VALLEY,President,REP/AI,Donald J. Trump,173
Lake,BIG_VALLEY,President,LIB,Gary Johnson,19
Lake,BIG_VALLEY,President,GRN,Jill Stein,11
Lake,BIG_VALLEY,President,PF,Gloria Estela La Riva,3
Lake,BIG_VALLEY,President,WI,Write-In,0
Lake,BUCK_ISLAND,President,DEM,Hillary Clinton,0
Lake,BUCK_ISLAND,President,REP/AI,Donald J. Trump,0
Lake,BUCK_ISLAND,President,LIB,Gary Johnson,0
Lake,BUCK_ISLAND,President,GRN,Jill Stein,0
Lake,BUCK_ISLAND,President,PF,Gloria Estela La Riva,0
Lake,BUCK_ISLAND,President,WI,Write-In,0
Lake,CENTRAL_PARK,President,DEM,Hillary Clinton,134
Lake,CENTRAL_PARK,President,REP/AI,Donald J. Trump,157
Lake,CENTRAL_PARK,President,LIB,Gary Johnson,12
Lake,CENTRAL_PARK,President,GRN,Jill Stein,13
Lake,CENTRAL_PARK,President,PF,Gloria Estela La Riva,4
Lake,CENTRAL_PARK,President,WI,Write-In,0
Lake,CL_AUSTIN_PARK,President,DEM,Hillary Clinton,238
Lake,CL_AUSTIN_PARK,President,REP/AI,Donald J. Trump,251
Lake,CL_AUSTIN_PARK,President,LIB,Gary Johnson,24
Lake,CL_AUSTIN_PARK,President,GRN,Jill Stein,19
Lake,CL_AUSTIN_PARK,President,PF,Gloria Estela La Riva,1
Lake,CL_AUSTIN_PARK,President,WI,Write-In,0
Lake,CL_BURNS_VALLEY,President,DEM,Hillary Clinton,270
Lake,CL_BURNS_VALLEY,President,REP/AI,Donald J. Trump,163
Lake,CL_BURNS_VALLEY,President,LIB,Gary Johnson,19
Lake,CL_BURNS_VALLEY,President,GRN,Jill Stein,27
