county,precinct,race,party,candidate,votes
Siskiyou,CON1,President,DEM,Hillary Clinton,218
Siskiyou,CON1,President,REP/AI,Donald J. Trump,802
Siskiyou,CON1,President,LIB,Gary Johnson,33
Siskiyou,CON1,President,GRN,Jill Stein,10
Siskiyou,CON1,President,PF,Gloria Estela La Riva,6
Siskiyou,CON1,President,WI,Write-In,7
Siskiyou,M1001,President,DEM,Hillary Clinton,44
Siskiyou,M1001,President,REP/AI,Donald J. Trump,148
Siskiyou,M1001,President,LIB,Gary Johnson,3
Siskiyou,M1001,President,GRN,Jill Stein,3
Siskiyou,M1001,President,PF,Gloria Estela La Riva,0
Siskiyou,M1001,President,WI,Write-In,2
Siskiyou,M1009,President,DEM,Hillary Clinton,28
Siskiyou,M1009,President,REP/AI,Donald J. Trump,128
Siskiyou,M1009,President,LIB,Gary Johnson,3
Siskiyou,M1009,President,GRN,Jill Stein,4
Siskiyou,M1009,President,PF,Gloria Estela La Riva,1
Siskiyou,M1009,President,WI,Write-In,2
Siskiyou,M1020,President,DEM,Hillary Clinton,16
Siskiyou,M1020,President,REP/AI,Donald J. Trump,102
Siskiyou,M1020,President,LIB,Gary Johnson,5
Siskiyou,M1020,President,GRN,Jill Stein,1
Siskiyou,M1020,President,PF,Gloria Estela La Riva,2
Siskiyou,M1020,President,WI,Write-In,0
Siskiyou,M1023,President,DEM,Hillary Clinton,42
Siskiyou,M1023,President,REP/AI,Donald J. Trump,123
Siskiyou,M1023,President,LIB,Gary Johnson,3
Siskiyou,M1023,President,GRN,Jill Stein,5
Siskiyou,M1023,President,PF,Gloria Estela La Riva,1
Siskiyou,M1023,President,WI,Write-In,0
Siskiyou,M1060,President,DEM,Hillary Clinton,80
Siskiyou,M1060,President,REP/AI,Donald J. Trump,74
Siskiyou,M1060,President,LIB,Gary Johnson,6
Siskiyou,M1060,President,GRN,Jill Stein,6
Siskiyou,M1060,President,PF,Gloria Estela La Riva,0
Siskiyou,M1060,President,WI,Write-In,3
Siskiyou,M1065,President,DEM,Hillary Clinton,27
Siskiyou,M1065,President,REP/AI,Donald J. Trump,59
Siskiyou,M1065,President,LIB,Gary Johnson,7
