county,precinct,race,party,candidate,votes
Butte,1101,President,DEM,Hillary Clinton,258
Butte,1101,President,REP/AI,Donald J. Trump,318
Butte,1101,President,LIB,Gary Johnson,24
Butte,1101,President,GRN,Jill Stein,16
Butte,1101,President,PF,Gloria Estela La Riva,9
Butte,1101,President,WI,Write-In,0
Butte,1102,President,DEM,Hillary Clinton,352
Butte,1102,President,REP/AI,Donald J. Trump,415
Butte,1102,President,LIB,Gary Johnson,38
Butte,1102,President,GRN,Jill Stein,20
Butte,1102,President,PF,Gloria Estela La Riva,10
Butte,1102,President,WI,Write-In,0
Butte,1103,President,DEM,Hillary Clinton,373
Butte,1103,President,REP/AI,Donald J. Trump,497
Butte,1103,President,LIB,Gary Johnson,37
Butte,1103,President,GRN,Jill Stein,21
Butte,1103,President,PF,Gloria Estela La Riva,7
Butte,1103,President,WI,Write-In,0
Butte,1104,President,DEM,Hillary Clinton,313
Butte,1104,President,REP/AI,Donald J. Trump,678
Butte,1104,President,LIB,Gary Johnson,62
Butte,1104,President,GRN,Jill Stein,12
Butte,1104,President,PF,Gloria Estela La Riva,6
Butte,1104,President,WI,Write-In,0
Butte,1105,President,DEM,Hillary Clinton,207
Butte,1105,President,REP/AI,Donald J. Trump,448
Butte,1105,President,LIB,Gary Johnson,35
Butte,1105,President,GRN,Jill Stein,9
Butte,1105,President,PF,Gloria Estela La Riva,6
Butte,1105,President,WI,Write-In,0
Butte,1106,President,DEM,Hillary Clinton,283
Butte,1106,President,REP/AI,Donald J. Trump,251
Butte,1106,President,LIB,Gary Johnson,25
Butte,1106,President,GRN,Jill Stein,18
Butte,1106,President,PF,Gloria Estela La Riva,13
Butte,1106,President,WI,Write-In,0
Butte,1801,President,DEM,Hillary Clinton,299
Butte,1801,President,REP/AI,Donald J. Trump,663
Butte,1801,President,LIB,Gary Johnson,43
Butte,1801,President,GRN,Jill Stein,20
Butte,1801,President,PF,Gloria Estela La Riva,7
Butte,1801,President,WI,Write-In,0
Butte,1802,President,DEM,Hillary Clinton,206
Butte,1802,President,REP/AI,Donald J. Trump,507
Butte,1802,President,LIB,Gary Johnson,28
Butte,1802,President,GRN,Jill Stein,8
Butte,1802,President,PF,Gloria Estela La Riva,4
Butte,1802,President,WI,Write-In,0
Butte,1803,President,DEM,Hillary Clinton,195
Butte,1803,President,REP/AI,Donald J. Trump,334
Butte,1803,President,LIB,Gary Johnson,28
Butte,1803,President,GRN,Jill Stein,13
Butte,1803,President,PF,Gloria Estela La Riva,6
Butte,1803,President,WI,Write-In,0
Butte,1804,President,DEM,Hillary Clinton,229
Butte,1804,President,REP/AI,Donald J. Trump,476
Butte,1804,President,LIB,Gary Johnson,38
Butte,1804,President,GRN,Jill Stein,12
Butte,1804,President,PF,Gloria Estela La Riva,13
Butte,1804,President,WI,Write-In,0
Butte,1805,President,DEM,Hillary Clinton,330
Butte,1805,President,REP/AI,Donald J. Trump,724
Butte,1805,President,LIB,Gary Johnson,31
Butte,1805,President,GRN,Jill Stein,14
Butte,1805,President,PF,Gloria Estela La Riva,5
Butte,1805,President,WI,Write-In,0
