county,precinct,race,party,candidate,votes
Sutter,0001,President,DEM,Hillary Clinton,475
Sutter,0001,President,REP/AI,Donald J. Trump,334
Sutter,0001,President,LIB,Gary Johnson,49
Sutter,0001,President,GRN,Jill Stein,9
Sutter,0001,President,PF,Gloria Estela La Riva,6
Sutter,0001,President,WI,Write-In,0
Sutter,0002,President,DEM,Hillary Clinton,712
Sutter,0002,President,REP/AI,Donald J. Trump,580
Sutter,0002,President,LIB,Gary Johnson,71
Sutter,0002,President,GRN,Jill Stein,7
Sutter,0002,President,PF,Gloria Estela La Riva,9
Sutter,0002,President,WI,Write-In,0
Sutter,0003,President,DEM,Hillary Clinton,288
Sutter,0003,President,REP/AI,Donald J. Trump,353
Sutter,0003,President,LIB,Gary Johnson,24
Sutter,0003,President,GRN,Jill Stein,9
Sutter,0003,President,PF,Gloria Estela La Riva,5
Sutter,0003,President,WI,Write-In,0
Sutter,0004,President,DEM,Hillary Clinton,497
Sutter,0004,President,REP/AI,Donald J. Trump,927
Sutter,0004,President,LIB,Gary Johnson,63
Sutter,0004,President,GRN,Jill Stein,12
Sutter,0004,President,PF,Gloria Estela La Riva,4
Sutter,0004,President,WI,Write-In,0
Sutter,0005,President,DEM,Hillary Clinton,364
Sutter,0005,President,REP/AI,Donald J. Trump,522
Sutter,0005,President,LIB,Gary Johnson,67
Sutter,0005,President,GRN,Jill Stein,16
Sutter,0005,President,PF,Gloria Estela La Riva,9
Sutter,0005,President,WI,Write-In,0
Sutter,0006,President,DEM,Hillary Clinton,72
Sutter,0006,President,REP/AI,Donald J. Trump,134
Sutter,0006,President,LIB,Gary Johnson,12
Sutter,0006,President,GRN,Jill Stein,7
Sutter,0006,President,PF,Gloria Estela La Riva,0
Sutter,0006,President,WI,Write-In,0
Sutter,0007,President,DEM,Hillary Clinton,175
Sutter,0007,President,REP/AI,Donald J. Trump,168
Sutter,0007,President,LIB,Gary Johnson,12
Sutter,0007,President,GRN,Jill Stein,7
Sutter,0007,President,PF,Gloria Estela La Riva,3
Sutter,0007,President,WI,Write-In,0
Sutter,0008,President,DEM,Hillary Clinton,276
Sutter,0008,President,REP/AI,Donald J. Trump,148
Sutter,0008,President,LIB,Gary Johnson,12
Sutter,0008,President,GRN,Jill Stein,8
Sutter,0008,President,PF,Gloria Estela La Riva,6
Sutter,0008,President,WI,Write-In,0
Sutter,0009,President,DEM,Hillary Clinton,214
Sutter,0009,President,REP/AI,Donald J. Trump,288
Sutter,0009,President,LIB,Gary Johnson,41
Sutter,0009,President,GRN,Jill Stein,13
Sutter,0009,President,PF,Gloria Estela La Riva,2
Sutter,0009,President,WI,Write-In,0
Sutter,0010,President,DEM,Hillary Clinton,193
Sutter,0010,President,REP/AI,Donald J. Trump,289
Sutter,0010,President,LIB,Gary Johnson,39
Sutter,0010,President,GRN,Jill Stein,6
Sutter,0010,President,PF,Gloria Estela La Riva,2
Sutter,0010,President,WI,Write-In,0
Sutter,0011,President,DEM,Hillary Clinton,113
Sutter,0011,President,REP/AI,Donald J. Trump,376
Sutter,0011,President,LIB,Gary Johnson,23
Sutter,0011,President,GRN,Jill Stein,3
Sutter,0011,President,PF,Gloria Estela La Riva,5
Sutter,0011,President,WI,Write-In,0
Sutter,0012,President,DEM,Hillary Clinton,230
Sutter,0012,President,REP/AI,Donald J. Trump,957
Sutter,0012,President,LIB,Gary Johnson,53
Sutter,0012,President,GRN,Jill Stein,8
Sutter,0012,President,PF,Gloria Estela La Riva,4
Sutter,0012,President,WI,Write-In,0
Sutter,0013,President,DEM,Hillary Clinton,85
Sutter,0013,President,REP/AI,Donald J. Trump,257
Sutter,0013,President,LIB,Gary Johnson,11
Sutter,0013,President,GRN,Jill Stein,5
Sutter,0013,President,PF,Gloria Estela La Riva,0
Sutter,0013,President,WI,Write-In,0
Sutter,0014,President,DEM,Hillary Clinton,54
Sutter,0014,President,REP/AI,Donald J. Trump,212
Sutter,0014,President,LIB,Gary Johnson,10
Sutter,0014,President,GRN,Jill Stein,4
Sutter,0014,President,PF,Gloria Estela La Riva,1
Sutter,0014,President,WI,Write-In,0
Sutter,0015,President,DEM,Hillary Clinton,479
Sutter,0015,President,REP/AI,Donald J. Trump,555
Sutter,0015,President,LIB,Gary Johnson,33
Sutter,0015,President,GRN,Jill Stein,10
Sutter,0015,President,PF,Gloria Estela La Riva,5
Sutter,0015,President,WI,Write-In,0
Sutter,0016,President,DEM,Hillary Clinton,306
