county,precinct,race,party,candidate,votes
Humboldt,1CS-1,President,DEM,Hillary Clinton,310
Humboldt,1CS-1,President,REP/AI,Donald J. Trump,221
Humboldt,1CS-1,President,LIB,Gary Johnson,29
Humboldt,1CS-1,President,GRN,Jill Stein,30
Humboldt,1CS-1,President,PF,Gloria Estela La Riva,3
Humboldt,1CS-1,President,WI,Write-In,27
Humboldt,1CS-2,President,DEM,Hillary Clinton,318
Humboldt,1CS-2,President,REP/AI,Donald J. Trump,265
Humboldt,1CS-2,President,LIB,Gary Johnson,22
Humboldt,1CS-2,President,GRN,Jill Stein,15
Humboldt,1CS-2,President,PF,Gloria Estela La Riva,4
Humboldt,1CS-2,President,WI,Write-In,22
Humboldt,1CS-3,President,DEM,Hillary Clinton,285
Humboldt,1CS-3,President,REP/AI,Donald J. Trump,287
Humboldt,1CS-3,President,LIB,Gary Johnson,17
Humboldt,1CS-3,President,GRN,Jill Stein,17
Humboldt,1CS-3,President,PF,Gloria Estela La Riva,2
Humboldt,1CS-3,President,WI,Write-In,25
Humboldt,1CS-4,President,DEM,Hillary Clinton,327
Humboldt,1CS-4,President,REP/AI,Donald J. Trump,292
Humboldt,1CS-4,President,LIB,Gary Johnson,27
Humboldt,1CS-4,President,GRN,Jill Stein,26
Humboldt,1CS-4,President,PF,Gloria Estela La Riva,4
Humboldt,1CS-4,President,WI,Write-In,21
Humboldt,1E-36,President,DEM,Hillary Clinton,410
Humboldt,1E-36,President,REP/AI,Donald J. Trump,207
Humboldt,1E-36,President,LIB,Gary Johnson,33
Humboldt,1E-36,President,GRN,Jill Stein,39
Humboldt,1E-36,President,PF,Gloria Estela La Riva,2
Humboldt,1E-36,President,WI,Write-In,32
Humboldt,1E-43,President,DEM,Hillary Clinton,380
Humboldt,1E-43,President,REP/AI,Donald J. Trump,211
Humboldt,1E-43,President,LIB,Gary Johnson,34
Humboldt,1E-43,President,GRN,Jill Stein,19
Humboldt,1E-43,President,PF,Gloria Estela La Riva,2
