county,precinct,race,party,candidate,votes
Kern,0011155,President,DEM,Hillary Clinton,195
Kern,0011155,President,REP/AI,Donald J. Trump,586
Kern,0011155,President,LIB,Gary Johnson,28
Kern,0011155,President,GRN,Jill Stein,17
Kern,0011155,President,PF,Gloria Estela La Riva,4
Kern,0011155,President,WI,Write-In,5
Kern,0011190,President,DEM,Hillary Clinton,303
Kern,0011190,President,REP/AI,Donald J. Trump,699
Kern,0011190,President,LIB,Gary Johnson,35
Kern,0011190,President,GRN,Jill Stein,17
Kern,0011190,President,PF,Gloria Estela La Riva,7
Kern,0011190,President,WI,Write-In,3
Kern,0011195,President,DEM,Hillary Clinton,165
Kern,0011195,President,REP/AI,Donald J. Trump,860
Kern,0011195,President,LIB,Gary Johnson,25
Kern,0011195,President,GRN,Jill Stein,1
Kern,0011195,President,PF,Gloria Estela La Riva,2
Kern,0011195,President,WI,Write-In,4
Kern,0011530,President,DEM,Hillary Clinton,346
Kern,0011530,President,REP/AI,Donald J. Trump,60
Kern,0011530,President,LIB,Gary Johnson,6
Kern,0011530,President,GRN,Jill Stein,5
Kern,0011530,President,PF,Gloria Estela La Riva,6
Kern,0011530,President,WI,Write-In,1
Kern,0011540,President,DEM,Hillary Clinton,355
Kern,0011540,President,REP/AI,Donald J. Trump,71
Kern,0011540,President,LIB,Gary Johnson,6
Kern,0011540,President,GRN,Jill Stein,8
Kern,0011540,President,PF,Gloria Estela La Riva,10
Kern,0011540,President,WI,Write-In,3
Kern,0011546,President,DEM,Hillary Clinton,403
Kern,0011546,President,REP/AI,Donald J. Trump,97
Kern,0011546,President,LIB,Gary Johnson,8
Kern,0011546,President,GRN,Jill Stein,9
Kern,0011546,President,PF,Gloria Estela La Riva,2
Kern,0011546,President,WI,Write-In,2
Kern,0011548,President,DEM,Hillary Clinton,611
Kern,0011548,President,REP/AI,Donald J. Trump,265
Kern,0011548,President,LIB,Gary Johnson,20
Kern,0011548,President,GRN,Jill Stein,10
Kern,0011548,President,PF,Gloria Estela La Riva,7
Kern,0011548,President,WI,Write-In,6
Kern,0011550,President,DEM,Hillary Clinton,518
Kern,0011550,President,REP/AI,Donald J. Trump,153
Kern,0011550,President,LIB,Gary Johnson,20
Kern,0011550,President,GRN,Jill Stein,6
Kern,0011550,President,PF,Gloria Estela La Riva,8
Kern,0011550,President,WI,Write-In,4
Kern,0011552,President,DEM,Hillary Clinton,547
Kern,0011552,President,REP/AI,Donald J. Trump,141
Kern,0011552,President,LIB,Gary Johnson,18
Kern,0011552,President,GRN,Jill Stein,3
Kern,0011552,President,PF,Gloria Estela La Riva,6
Kern,0011552,President,WI,Write-In,6
Kern,0011554,President,DEM,Hillary Clinton,606
Kern,0011554,President,REP/AI,Donald J. Trump,85
Kern,0011554,President,LIB,Gary Johnson,13
Kern,0011554,President,GRN,Jill Stein,8
Kern,0011554,President,PF,Gloria Estela La Riva,8
Kern,0011554,President,WI,Write-In,10
Kern,0011570,President,DEM,Hillary Clinton,351
Kern,0011570,President,REP/AI,Donald J. Trump,106
Kern,0011570,President,LIB,Gary Johnson,10
Kern,0011570,President,GRN,Jill Stein,9
Kern,0011570,President,PF,Gloria Estela La Riva,3
Kern,0011570,President,WI,Write-In,1
Kern,0011580,President,DEM,Hillary Clinton,426
Kern,0011580,President,REP/AI,Donald J. Trump,148
Kern,0011580,President,LIB,Gary Johnson,13
Kern,0011580,President,GRN,Jill Stein,6
Kern,0011580,President,PF,Gloria Estela La Riva,3
Kern,0011580,President,WI,Write-In,1
Kern,0011590,President,DEM,Hillary Clinton,522
Kern,0011590,President,REP/AI,Donald J. Trump,70
Kern,0011590,President,LIB,Gary Johnson,8
Kern,0011590,President,GRN,Jill Stein,3
Kern,0011590,President,PF,Gloria Estela La Riva,4
Kern,0011590,President,WI,Write-In,6
Kern,0011610,President,DEM,Hillary Clinton,345
Kern,0011610,President,REP/AI,Donald J. Trump,111
Kern,0011610,President,LIB,Gary Johnson,15
Kern,0011610,President,GRN,Jill Stein,3
Kern,0011610,President,PF,Gloria Estela La Riva,8
Kern,0011610,President,WI,Write-In,3
Kern,0011626,President,DEM,Hillary Clinton,672
Kern,0011626,President,REP/AI,Donald J. Trump,164
Kern,0011626,President,LIB,Gary Johnson,36
Kern,0011626,President,GRN,Jill Stein,13
Kern,0011626,President,PF,Gloria Estela La Riva,8
Kern,0011626,President,WI,Write-In,4
Kern,0011725,President,DEM,Hillary Clinton,252
Kern,0011725,President,REP/AI,Donald J. Trump,562
Kern,0011725,President,LIB,Gary Johnson,37
Kern,0011725,President,GRN,Jill Stein,12
Kern,0011725,President,PF,Gloria Estela La Riva,2
Kern,0011725,President,WI,Write-In,4
Kern,0011990,President,DEM,Hillary Clinton,152
Kern,0011990,President,REP/AI,Donald J. Trump,403
Kern,0011990,President,LIB,Gary Johnson,37
Kern,0011990,President,GRN,Jill Stein,9
