candidate,office,district,party,county,precinct,mail,election_day,votes
,Registered Voters,,,Kings,101,,,4092
,Ballots Cast,,,Kings,101,184,488,672
Josh Jones,Governor,,GRN,Kings,101,0,1,1
J Bribiesca,Governor,,DEM,Kings,101,0,1,1
Gloria Estela La Riva,Governor,,PF,Kings,101,0,0,0
Peter Y Liu,Governor,,REP,Kings,101,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,101,24,60,84
Yvonne Girard,Governor,,REP,Kings,101,1,5,6
Robert Davidson Griffis,Governor,,DEM,Kings,101,0,1,1
Shubham Goel,Governor,,NON,Kings,101,0,1,1
Travis Allen,Governor,,REP,Kings,101,45,132,177
Akinyemi Agbede,Governor,,DEM,Kings,101,0,1,1
Johnny Wattenburg,Governor,,NON,Kings,101,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,101,0,0,0
Desmond Silveira,Governor,,NON,Kings,101,0,4,4
Michael Shellenberger,Governor,,DEM,Kings,101,0,3,3
Zoltan Istvan,Governor,,LIB,Kings,101,1,3,4
Christopher N Carlson,Governor,,GRN,Kings,101,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,101,0,0,0
John Chiang,Governor,,DEM,Kings,101,18,28,46
John H Cox,Governor,,REP,Kings,101,71,168,239
Amanda Renteria,Governor,,DEM,Kings,101,4,6,10
Delaine Eastin,Governor,,DEM,Kings,101,2,7,9
Jeffrey Edward Taylor,Governor,,NON,Kings,101,0,0,0
Klement Tinaj,Governor,,DEM,Kings,101,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,101,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,101,0,0,0
Gavin Newsom,Governor,,DEM,Kings,101,16,48,64
"Robert C. Newman, II",Governor,,REP,Kings,101,0,3,3
Jeff Bleich,Lieutenant Governor,,DEM,Kings,101,10,28,38
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,101,13,40,53
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,101,2,0,2
