precinct,office,district,party,candidate,votes,election_day,mail,county
1002,Secretary of State,,Dem,Alex Padilla,21,0,21,Sonoma
1006,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
1008,Secretary of State,,Dem,Alex Padilla,86,0,86,Sonoma
1009,Secretary of State,,Dem,Alex Padilla,75,0,75,Sonoma
1012,Secretary of State,,Dem,Alex Padilla,15,0,15,Sonoma
1017,Secretary of State,,Dem,Alex Padilla,482,138,344,Sonoma
1023,Secretary of State,,Dem,Alex Padilla,896,196,700,Sonoma
1032,Secretary of State,,Dem,Alex Padilla,102,0,102,Sonoma
1033,Secretary of State,,Dem,Alex Padilla,44,0,44,Sonoma
1038,Secretary of State,,Dem,Alex Padilla,22,0,22,Sonoma
1039,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1040,Secretary of State,,Dem,Alex Padilla,32,0,32,Sonoma
1041,Secretary of State,,Dem,Alex Padilla,14,0,14,Sonoma
1043,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
1044,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1045,Secretary of State,,Dem,Alex Padilla,33,0,33,Sonoma
1046,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1049,Secretary of State,,Dem,Alex Padilla,65,0,65,Sonoma
1052,Secretary of State,,Dem,Alex Padilla,63,0,63,Sonoma
1053,Secretary of State,,Dem,Alex Padilla,88,0,88,Sonoma
1054,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
1055,Secretary of State,,Dem,Alex Padilla,102,0,102,Sonoma
1056,Secretary of State,,Dem,Alex Padilla,112,0,112,Sonoma
1057,Secretary of State,,Dem,Alex Padilla,7,0,7,Sonoma
1058,Secretary of State,,Dem,Alex Padilla,6,0,6,Sonoma
1059,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1061,Secretary of State,,Dem,Alex Padilla,15,0,15,Sonoma
1062,Secretary of State,,Dem,Alex Padilla,8,0,8,Sonoma
1063,Secretary of State,,Dem,Alex Padilla,26,0,26,Sonoma
1065,Secretary of State,,Dem,Alex Padilla,37,0,37,Sonoma
1067,Secretary of State,,Dem,Alex Padilla,34,0,34,Sonoma
1069,Secretary of State,,Dem,Alex Padilla,5,0,5,Sonoma
1070,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
1073,Secretary of State,,Dem,Alex Padilla,9,0,9,Sonoma
1075,Secretary of State,,Dem,Alex Padilla,73,0,73,Sonoma
1077,Secretary of State,,Dem,Alex Padilla,228,56,172,Sonoma
1078,Secretary of State,,Dem,Alex Padilla,19,0,19,Sonoma
1079,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
1080,Secretary of State,,Dem,Alex Padilla,63,0,63,Sonoma
1083,Secretary of State,,Dem,Alex Padilla,0,0,0,Sonoma
1084,Secretary of State,,Dem,Alex Padilla,1,0,1,Sonoma
1085,Secretary of State,,Dem,Alex Padilla,14,0,14,Sonoma
1086,Secretary of State,,Dem,Alex Padilla,22,0,22,Sonoma
1104,Secretary of State,,Dem,Alex Padilla,462,99,363,Sonoma
1105,Secretary of State,,Dem,Alex Padilla,343,80,263,Sonoma
1106,Secretary of State,,Dem,Alex Padilla,266,50,216,Sonoma
1109,Secretary of State,,Dem,Alex Padilla,89,0,89,Sonoma
1110,Secretary of State,,Dem,Alex Padilla,911,187,724,Sonoma
1111,Secretary of State,,Dem,Alex Padilla,564,88,476,Sonoma
1114,Secretary of State,,Dem,Alex Padilla,44,0,44,Sonoma
1115,Secretary of State,,Dem,Alex Padilla,39,0,39,Sonoma
