county,office,district,party,candidate,votes
Alameda,Controller,,DEM,Steve Westly,196859
Alameda,Controller,,REP,Tom McClintock,94072
Alameda,Controller,,AI,Ernest F. Vance,3058
Alameda,Controller,,GRN,Laura Wells,31972
Alameda,Controller,,NL,J. Carlos Aguirre,5677
Alpine,Controller,,DEM,Steve Westly,219
Alpine,Controller,,REP,Tom McClintock,232
Alpine,Controller,,AI,Ernest F. Vance,18
Alpine,Controller,,GRN,Laura Wells,59
Alpine,Controller,,NL,J. Carlos Aguirre,12
Amador,Controller,,DEM,Steve Westly,4524
Amador,Controller,,REP,Tom McClintock,7155
Amador,Controller,,AI,Ernest F. Vance,223
Amador,Controller,,GRN,Laura Wells,753
Amador,Controller,,NL,J. Carlos Aguirre,159
Butte,Controller,,DEM,Steve Westly,20391
Butte,Controller,,REP,Tom McClintock,32564
Butte,Controller,,AI,Ernest F. Vance,1142
Butte,Controller,,GRN,Laura Wells,4996
Butte,Controller,,NL,J. Carlos Aguirre,953
Calaveras,Controller,,DEM,Steve Westly,4794
Calaveras,Controller,,REP,Tom McClintock,8374
Calaveras,Controller,,AI,Ernest F. Vance,344
Calaveras,Controller,,GRN,Laura Wells,1103
Calaveras,Controller,,NL,J. Carlos Aguirre,200
Colusa,Controller,,DEM,Steve Westly,1322
Colusa,Controller,,REP,Tom McClintock,2809
Colusa,Controller,,AI,Ernest F. Vance,84
Colusa,Controller,,GRN,Laura Wells,135
Colusa,Controller,,NL,J. Carlos Aguirre,93
Contra Costa,Controller,,DEM,Steve Westly,119554
Contra Costa,Controller,,REP,Tom McClintock,107656
Contra Costa,Controller,,AI,Ernest F. Vance,2781
Contra Costa,Controller,,GRN,Laura Wells,16109
Contra Costa,Controller,,NL,J. Carlos Aguirre,4171
Del Norte,Controller,,DEM,Steve Westly,2596
Del Norte,Controller,,REP,Tom McClintock,3269
Del Norte,Controller,,AI,Ernest F. Vance,167
Del Norte,Controller,,GRN,Laura Wells,413
Del Norte,Controller,,NL,J. Carlos Aguirre,94
El Dorado,Controller,,DEM,Steve Westly,16934
El Dorado,Controller,,REP,Tom McClintock,32598
El Dorado,Controller,,AI,Ernest F. Vance,867
El Dorado,Controller,,GRN,Laura Wells,3175
El Dorado,Controller,,NL,J. Carlos Aguirre,618
Fresno,Controller,,DEM,Steve Westly,57443
Fresno,Controller,,REP,Tom McClintock,82924
Fresno,Controller,,AI,Ernest F. Vance,1650
Fresno,Controller,,GRN,Laura Wells,6643
