county,office,district,party,candidate,votes
Alameda,Board of Equalization,1,DEM,Betty T. Yee,274163
Alameda,Board of Equalization,1,REP,David J. Neighbors,78969
Alameda,Board of Equalization,1,LIB,Kennita Watson,9679
Alameda,Board of Equalization,1,PF,David Campbell,11700
Colusa,Board of Equalization,1,DEM,Betty T. Yee,1652
Colusa,Board of Equalization,1,REP,David J. Neighbors,2800
Colusa,Board of Equalization,1,LIB,Kennita Watson,97
Colusa,Board of Equalization,1,PF,David Campbell,140
Contra Costa,Board of Equalization,1,DEM,Betty T. Yee,167893
Contra Costa,Board of Equalization,1,REP,David J. Neighbors,98118
Contra Costa,Board of Equalization,1,LIB,Kennita Watson,6468
Contra Costa,Board of Equalization,1,PF,David Campbell,6769
Del Norte,Board of Equalization,1,DEM,Betty T. Yee,3046
Del Norte,Board of Equalization,1,REP,David J. Neighbors,3007
Del Norte,Board of Equalization,1,LIB,Kennita Watson,245
Del Norte,Board of Equalization,1,PF,David Campbell,157
Humboldt,Board of Equalization,1,DEM,Betty T. Yee,26109
Humboldt,Board of Equalization,1,REP,David J. Neighbors,15795
Humboldt,Board of Equalization,1,LIB,Kennita Watson,1724
Humboldt,Board of Equalization,1,PF,David Campbell,1656
Lake,Board of Equalization,1,DEM,Betty T. Yee,9918
Lake,Board of Equalization,1,REP,David J. Neighbors,7239
Lake,Board of Equalization,1,LIB,Kennita Watson,698
Lake,Board of Equalization,1,PF,David Campbell,695
Marin,Board of Equalization,1,DEM,Betty T. Yee,64914
Marin,Board of Equalization,1,REP,David J. Neighbors,25152
Marin,Board of Equalization,1,LIB,Kennita Watson,2697
Marin,Board of Equalization,1,PF,David Campbell,2114
Mendocino,Board of Equalization,1,DEM,Betty T. Yee,17706
Mendocino,Board of Equalization,1,REP,David J. Neighbors,8404
Mendocino,Board of Equalization,1,LIB,Kennita Watson,1124
Mendocino,Board of Equalization,1,PF,David Campbell,1342
Monterey,Board of Equalization,1,DEM,Betty T. Yee,50242
Monterey,Board of Equalization,1,REP,David J. Neighbors,28596
Monterey,Board of Equalization,1,LIB,Kennita Watson,2267
Monterey,Board of Equalization,1,PF,David Campbell,2429
Napa,Board of Equalization,1,DEM,Betty T. Yee,23199
Napa,Board of Equalization,1,REP,David J. Neighbors,14182
Napa,Board of Equalization,1,LIB,Kennita Watson,1200
Napa,Board of Equalization,1,PF,David Campbell,1158
San Benito,Board of Equalization,1,DEM,Betty T. Yee,7292
San Benito,Board of Equalization,1,REP,David J. Neighbors,5329
San Benito,Board of Equalization,1,LIB,Kennita Watson,451
San Benito,Board of Equalization,1,PF,David Campbell,400
San Francisco,Board of Equalization,1,DEM,Betty T. Yee,169292
San Francisco,Board of Equalization,1,REP,David J. Neighbors,27377
San Francisco,Board of Equalization,1,LIB,Kennita Watson,6175
San Francisco,Board of Equalization,1,PF,David Campbell,6894
San Luis Obispo,Board of Equalization,1,DEM,Betty T. Yee,41158
San Luis Obispo,Board of Equalization,1,REP,David J. Neighbors,43851
San Luis Obispo,Board of Equalization,1,LIB,Kennita Watson,2584
San Luis Obispo,Board of Equalization,1,PF,David Campbell,1914
San Mateo,Board of Equalization,1,DEM,Betty T. Yee,122122
San Mateo,Board of Equalization,1,REP,David J. Neighbors,52183
San Mateo,Board of Equalization,1,LIB,Kennita Watson,5033
San Mateo,Board of Equalization,1,PF,David Campbell,5285
Santa Barbara,Board of Equalization,1,DEM,Betty T. Yee,32371
Santa Barbara,Board of Equalization,1,REP,David J. Neighbors,19594
Santa Barbara,Board of Equalization,1,LIB,Kennita Watson,1781
Santa Barbara,Board of Equalization,1,PF,David Campbell,1781
Santa Clara,Board of Equalization,1,DEM,Betty T. Yee,242873
Santa Clara,Board of Equalization,1,REP,David J. Neighbors,126728
Santa Clara,Board of Equalization,1,LIB,Kennita Watson,13500
Santa Clara,Board of Equalization,1,PF,David Campbell,11946
Santa Cruz,Board of Equalization,1,DEM,Betty T. Yee,56055
Santa Cruz,Board of Equalization,1,REP,David J. Neighbors,20114
Santa Cruz,Board of Equalization,1,LIB,Kennita Watson,3172
Santa Cruz,Board of Equalization,1,PF,David Campbell,2484
Solano,Board of Equalization,1,DEM,Betty T. Yee,58814
Solano,Board of Equalization,1,REP,David J. Neighbors,35217
Solano,Board of Equalization,1,LIB,Kennita Watson,2584
Solano,Board of Equalization,1,PF,David Campbell,2316
Sonoma,Board of Equalization,1,DEM,Betty T. Yee,105565
Sonoma,Board of Equalization,1,REP,David J. Neighbors,46241
Sonoma,Board of Equalization,1,LIB,Kennita Watson,5443
Sonoma,Board of Equalization,1,PF,David Campbell,5319
Trinity,Board of Equalization,1,DEM,Betty T. Yee,2689
Trinity,Board of Equalization,1,REP,David J. Neighbors,2360
Trinity,Board of Equalization,1,LIB,Kennita Watson,252
Trinity,Board of Equalization,1,PF,David Campbell,151
Yolo,Board of Equalization,1,DEM,Betty T. Yee,31057
Yolo,Board of Equalization,1,REP,David J. Neighbors,16686
Yolo,Board of Equalization,1,LIB,Kennita Watson,1231
Yolo,Board of Equalization,1,PF,David Campbell,1047
Alpine,Board of Equalization,2,DEM,Tim Raboy,198
Alpine,Board of Equalization,2,REP,Bill Leonard,239
Alpine,Board of Equalization,2,LIB,Willard Del Michlin,20
Alpine,Board of Equalization,2,PF,Richard R. Perry,27
Amador,Board of Equalization,2,DEM,Tim Raboy,4585
Amador,Board of Equalization,2,REP,Bill Leonard,8288
Amador,Board of Equalization,2,LIB,Willard Del Michlin,410
Amador,Board of Equalization,2,PF,Richard R. Perry,523
Butte,Board of Equalization,2,DEM,Tim Raboy,23636
Butte,Board of Equalization,2,REP,Bill Leonard,35894
Butte,Board of Equalization,2,LIB,Willard Del Michlin,2299
Butte,Board of Equalization,2,PF,Richard R. Perry,2996
Calaveras,Board of Equalization,2,DEM,Tim Raboy,5473
Calaveras,Board of Equalization,2,REP,Bill Leonard,9809
Calaveras,Board of Equalization,2,LIB,Willard Del Michlin,691
Calaveras,Board of Equalization,2,PF,Richard R. Perry,795
El Dorado,Board of Equalization,2,DEM,Tim Raboy,19411
El Dorado,Board of Equalization,2,REP,Bill Leonard,39003
El Dorado,Board of Equalization,2,LIB,Willard Del Michlin,2119
El Dorado,Board of Equalization,2,PF,Richard R. Perry,2126
Fresno,Board of Equalization,2,DEM,Tim Raboy,60329
Fresno,Board of Equalization,2,REP,Bill Leonard,93700
Fresno,Board of Equalization,2,LIB,Willard Del Michlin,3867
Fresno,Board of Equalization,2,PF,Richard R. Perry,6388
Glenn,Board of Equalization,2,DEM,Tim Raboy,1997
Glenn,Board of Equalization,2,REP,Bill Leonard,4723
Glenn,Board of Equalization,2,LIB,Willard Del Michlin,197
Glenn,Board of Equalization,2,PF,Richard R. Perry,247
Inyo,Board of Equalization,2,DEM,Tim Raboy,1988
Inyo,Board of Equalization,2,REP,Bill Leonard,3657
Inyo,Board of Equalization,2,LIB,Willard Del Michlin,190
Inyo,Board of Equalization,2,PF,Richard R. Perry,263
Kern,Board of Equalization,2,DEM,Tim Raboy,42243
Kern,Board of Equalization,2,REP,Bill Leonard,92154
Kern,Board of Equalization,2,LIB,Willard Del Michlin,3841
Kern,Board of Equalization,2,PF,Richard R. Perry,4901
Kings,Board of Equalization,2,DEM,Tim Raboy,7304
Kings,Board of Equalization,2,REP,Bill Leonard,13295
Kings,Board of Equalization,2,LIB,Willard Del Michlin,451
Kings,Board of Equalization,2,PF,Richard R. Perry,755
Lassen,Board of Equalization,2,DEM,Tim Raboy,2287
Lassen,Board of Equalization,2,REP,Bill Leonard,5243
Lassen,Board of Equalization,2,LIB,Willard Del Michlin,316
Lassen,Board of Equalization,2,PF,Richard R. Perry,336
Los Angeles,Board of Equalization,2,DEM,Tim Raboy,72882
Los Angeles,Board of Equalization,2,REP,Bill Leonard,102274
Los Angeles,Board of Equalization,2,LIB,Willard Del Michlin,5808
Los Angeles,Board of Equalization,2,PF,Richard R. Perry,6622
Madera,Board of Equalization,2,DEM,Tim Raboy,9150
Madera,Board of Equalization,2,REP,Bill Leonard,17853
Madera,Board of Equalization,2,LIB,Willard Del Michlin,727
Madera,Board of Equalization,2,PF,Richard R. Perry,967
Mariposa,Board of Equalization,2,DEM,Tim Raboy,2486
Mariposa,Board of Equalization,2,REP,Bill Leonard,4280
Mariposa,Board of Equalization,2,LIB,Willard Del Michlin,254
Mariposa,Board of Equalization,2,PF,Richard R. Perry,295
Merced,Board of Equalization,2,DEM,Tim Raboy,15688
Merced,Board of Equalization,2,REP,Bill Leonard,20613
Merced,Board of Equalization,2,LIB,Willard Del Michlin,805
Merced,Board of Equalization,2,PF,Richard R. Perry,1972
Modoc,Board of Equalization,2,DEM,Tim Raboy,867
Modoc,Board of Equalization,2,REP,Bill Leonard,2330
Modoc,Board of Equalization,2,LIB,Willard Del Michlin,139
Modoc,Board of Equalization,2,PF,Richard R. Perry,184
Mono,Board of Equalization,2,DEM,Tim Raboy,1370
Mono,Board of Equalization,2,REP,Bill Leonard,1855
Mono,Board of Equalization,2,LIB,Willard Del Michlin,151
Mono,Board of Equalization,2,PF,Richard R. Perry,158
Nevada,Board of Equalization,2,DEM,Tim Raboy,14624
Nevada,Board of Equalization,2,REP,Bill Leonard,21823
Nevada,Board of Equalization,2,LIB,Willard Del Michlin,1453
Nevada,Board of Equalization,2,PF,Richard R. Perry,1443
Placer,Board of Equalization,2,DEM,Tim Raboy,35094
Placer,Board of Equalization,2,REP,Bill Leonard,71687
Placer,Board of Equalization,2,LIB,Willard Del Michlin,3331
Placer,Board of Equalization,2,PF,Richard R. Perry,3147
Plumas,Board of Equalization,2,DEM,Tim Raboy,2784
Plumas,Board of Equalization,2,REP,Bill Leonard,4993
Plumas,Board of Equalization,2,LIB,Willard Del Michlin,259
Plumas,Board of Equalization,2,PF,Richard R. Perry,330
Sacramento,Board of Equalization,2,DEM,Tim Raboy,145068
Sacramento,Board of Equalization,2,REP,Bill Leonard,159136
Sacramento,Board of Equalization,2,LIB,Willard Del Michlin,8280
Sacramento,Board of Equalization,2,PF,Richard R. Perry,11800
San Joaquin,Board of Equalization,2,DEM,Tim Raboy,54006
San Joaquin,Board of Equalization,2,REP,Bill Leonard,66689
San Joaquin,Board of Equalization,2,LIB,Willard Del Michlin,3784
San Joaquin,Board of Equalization,2,PF,Richard R. Perry,6285
Santa Barbara,Board of Equalization,2,DEM,Tim Raboy,18784
