county,office,district,party,candidate,votes
Alameda,Treasurer,,DEM,Bill Lockyer,285210
Alameda,Treasurer,,REP,Claude Parrish,74424
Alameda,Treasurer,,AI,E. Justin Noonan,2850
Alameda,Treasurer,,GRN,Mehul M. Thakker,17547
Alameda,Treasurer,,LIB,Marian Smithson,10899
Alameda,Treasurer,,PF,Gerald Sanders,2799
Alpine,Treasurer,,DEM,Bill Lockyer,260
Alpine,Treasurer,,REP,Claude Parrish,190
Alpine,Treasurer,,AI,E. Justin Noonan,3
Alpine,Treasurer,,GRN,Mehul M. Thakker,17
Alpine,Treasurer,,LIB,Marian Smithson,38
Alpine,Treasurer,,PF,Gerald Sanders,6
Amador,Treasurer,,DEM,Bill Lockyer,6145
Amador,Treasurer,,REP,Claude Parrish,7087
Amador,Treasurer,,AI,E. Justin Noonan,233
Amador,Treasurer,,GRN,Mehul M. Thakker,310
Amador,Treasurer,,LIB,Marian Smithson,593
Amador,Treasurer,,PF,Gerald Sanders,100
Butte,Treasurer,,DEM,Bill Lockyer,28926
Butte,Treasurer,,REP,Claude Parrish,31197
Butte,Treasurer,,AI,E. Justin Noonan,915
Butte,Treasurer,,GRN,Mehul M. Thakker,2281
Butte,Treasurer,,LIB,Marian Smithson,3256
Butte,Treasurer,,PF,Gerald Sanders,420
Calaveras,Treasurer,,DEM,Bill Lockyer,7213
Calaveras,Treasurer,,REP,Claude Parrish,8438
Calaveras,Treasurer,,AI,E. Justin Noonan,338
Calaveras,Treasurer,,GRN,Mehul M. Thakker,438
Calaveras,Treasurer,,LIB,Marian Smithson,878
Calaveras,Treasurer,,PF,Gerald Sanders,146
Colusa,Treasurer,,DEM,Bill Lockyer,1909
Colusa,Treasurer,,REP,Claude Parrish,2579
Colusa,Treasurer,,AI,E. Justin Noonan,65
Colusa,Treasurer,,GRN,Mehul M. Thakker,57
Colusa,Treasurer,,LIB,Marian Smithson,125
Colusa,Treasurer,,PF,Gerald Sanders,41
Contra Costa,Treasurer,,DEM,Bill Lockyer,179451
Contra Costa,Treasurer,,REP,Claude Parrish,92760
Contra Costa,Treasurer,,AI,E. Justin Noonan,2915
Contra Costa,Treasurer,,GRN,Mehul M. Thakker,6052
Contra Costa,Treasurer,,LIB,Marian Smithson,7593
Contra Costa,Treasurer,,PF,Gerald Sanders,1915
Del Norte,Treasurer,,DEM,Bill Lockyer,3049
Del Norte,Treasurer,,REP,Claude Parrish,2829
Del Norte,Treasurer,,AI,E. Justin Noonan,151
Del Norte,Treasurer,,GRN,Mehul M. Thakker,175
Del Norte,Treasurer,,LIB,Marian Smithson,309
Del Norte,Treasurer,,PF,Gerald Sanders,58
El Dorado,Treasurer,,DEM,Bill Lockyer,25406
El Dorado,Treasurer,,REP,Claude Parrish,33916
El Dorado,Treasurer,,AI,E. Justin Noonan,844
El Dorado,Treasurer,,GRN,Mehul M. Thakker,1780
El Dorado,Treasurer,,LIB,Marian Smithson,3144
El Dorado,Treasurer,,PF,Gerald Sanders,284
Fresno,Treasurer,,DEM,Bill Lockyer,78401
Fresno,Treasurer,,REP,Claude Parrish,78147
Fresno,Treasurer,,AI,E. Justin Noonan,1975
Fresno,Treasurer,,GRN,Mehul M. Thakker,2528
Fresno,Treasurer,,LIB,Marian Smithson,6714
Fresno,Treasurer,,PF,Gerald Sanders,1759
Glenn,Treasurer,,DEM,Bill Lockyer,2714
Glenn,Treasurer,,REP,Claude Parrish,4055
Glenn,Treasurer,,AI,E. Justin Noonan,115
Glenn,Treasurer,,GRN,Mehul M. Thakker,110
Glenn,Treasurer,,LIB,Marian Smithson,275
Glenn,Treasurer,,PF,Gerald Sanders,50
Humboldt,Treasurer,,DEM,Bill Lockyer,24928
Humboldt,Treasurer,,REP,Claude Parrish,15226
Humboldt,Treasurer,,AI,E. Justin Noonan,687
Humboldt,Treasurer,,GRN,Mehul M. Thakker,3263
Humboldt,Treasurer,,LIB,Marian Smithson,2029
Humboldt,Treasurer,,PF,Gerald Sanders,397
Imperial,Treasurer,,DEM,Bill Lockyer,12235
Imperial,Treasurer,,REP,Claude Parrish,7508
Imperial,Treasurer,,AI,E. Justin Noonan,272
Imperial,Treasurer,,GRN,Mehul M. Thakker,348
Imperial,Treasurer,,LIB,Marian Smithson,850
Imperial,Treasurer,,PF,Gerald Sanders,463
Inyo,Treasurer,,DEM,Bill Lockyer,2503
Inyo,Treasurer,,REP,Claude Parrish,3128
Inyo,Treasurer,,AI,E. Justin Noonan,97
Inyo,Treasurer,,GRN,Mehul M. Thakker,186
Inyo,Treasurer,,LIB,Marian Smithson,291
Inyo,Treasurer,,PF,Gerald Sanders,44
Kern,Treasurer,,DEM,Bill Lockyer,56558
Kern,Treasurer,,REP,Claude Parrish,78875
Kern,Treasurer,,AI,E. Justin Noonan,2214
Kern,Treasurer,,GRN,Mehul M. Thakker,1913
Kern,Treasurer,,LIB,Marian Smithson,6026
Kern,Treasurer,,PF,Gerald Sanders,1282
Kings,Treasurer,,DEM,Bill Lockyer,9517
Kings,Treasurer,,REP,Claude Parrish,11189
Kings,Treasurer,,AI,E. Justin Noonan,304
Kings,Treasurer,,GRN,Mehul M. Thakker,278
Kings,Treasurer,,LIB,Marian Smithson,778
Kings,Treasurer,,PF,Gerald Sanders,248
Lake,Treasurer,,DEM,Bill Lockyer,10021
Lake,Treasurer,,REP,Claude Parrish,6750
Lake,Treasurer,,AI,E. Justin Noonan,400
Lake,Treasurer,,GRN,Mehul M. Thakker,635
Lake,Treasurer,,LIB,Marian Smithson,822
Lake,Treasurer,,PF,Gerald Sanders,220
Lassen,Treasurer,,DEM,Bill Lockyer,2994
Lassen,Treasurer,,REP,Claude Parrish,4533
Lassen,Treasurer,,AI,E. Justin Noonan,100
Lassen,Treasurer,,GRN,Mehul M. Thakker,191
Lassen,Treasurer,,LIB,Marian Smithson,510
Lassen,Treasurer,,PF,Gerald Sanders,64
Los Angeles,Treasurer,,DEM,Bill Lockyer,1158447
Los Angeles,Treasurer,,REP,Claude Parrish,559876
Los Angeles,Treasurer,,AI,E. Justin Noonan,20291
Los Angeles,Treasurer,,GRN,Mehul M. Thakker,39080
Los Angeles,Treasurer,,LIB,Marian Smithson,74839
Los Angeles,Treasurer,,PF,Gerald Sanders,19175
Madera,Treasurer,,DEM,Bill Lockyer,11299
Madera,Treasurer,,REP,Claude Parrish,15733
Madera,Treasurer,,AI,E. Justin Noonan,399
Madera,Treasurer,,GRN,Mehul M. Thakker,494
Madera,Treasurer,,LIB,Marian Smithson,1002
Madera,Treasurer,,PF,Gerald Sanders,297
Marin,Treasurer,,DEM,Bill Lockyer,69678
Marin,Treasurer,,REP,Claude Parrish,23218
Marin,Treasurer,,AI,E. Justin Noonan,672
Marin,Treasurer,,GRN,Mehul M. Thakker,3750
Marin,Treasurer,,LIB,Marian Smithson,3407
Marin,Treasurer,,PF,Gerald Sanders,525
Mariposa,Treasurer,,DEM,Bill Lockyer,3058
Mariposa,Treasurer,,REP,Claude Parrish,3751
Mariposa,Treasurer,,AI,E. Justin Noonan,129
Mariposa,Treasurer,,GRN,Mehul M. Thakker,186
Mariposa,Treasurer,,LIB,Marian Smithson,296
Mariposa,Treasurer,,PF,Gerald Sanders,66
Mendocino,Treasurer,,DEM,Bill Lockyer,17773
Mendocino,Treasurer,,REP,Claude Parrish,7903
Mendocino,Treasurer,,AI,E. Justin Noonan,463
Mendocino,Treasurer,,GRN,Mehul M. Thakker,1840
Mendocino,Treasurer,,LIB,Marian Smithson,1465
Mendocino,Treasurer,,PF,Gerald Sanders,298
Merced,Treasurer,,DEM,Bill Lockyer,20265
Merced,Treasurer,,REP,Claude Parrish,17284
Merced,Treasurer,,AI,E. Justin Noonan,481
Merced,Treasurer,,GRN,Mehul M. Thakker,592
Merced,Treasurer,,LIB,Marian Smithson,1372
Merced,Treasurer,,PF,Gerald Sanders,728
Modoc,Treasurer,,DEM,Bill Lockyer,1159
Modoc,Treasurer,,REP,Claude Parrish,2052
Modoc,Treasurer,,AI,E. Justin Noonan,45
Modoc,Treasurer,,GRN,Mehul M. Thakker,79
Modoc,Treasurer,,LIB,Marian Smithson,251
Modoc,Treasurer,,PF,Gerald Sanders,32
Mono,Treasurer,,DEM,Bill Lockyer,1615
Mono,Treasurer,,REP,Claude Parrish,1621
Mono,Treasurer,,AI,E. Justin Noonan,59
Mono,Treasurer,,GRN,Mehul M. Thakker,133
Mono,Treasurer,,LIB,Marian Smithson,200
Mono,Treasurer,,PF,Gerald Sanders,24
Monterey,Treasurer,,DEM,Bill Lockyer,51554
Monterey,Treasurer,,REP,Claude Parrish,27271
Monterey,Treasurer,,AI,E. Justin Noonan,898
Monterey,Treasurer,,GRN,Mehul M. Thakker,2073
Monterey,Treasurer,,LIB,Marian Smithson,3113
Monterey,Treasurer,,PF,Gerald Sanders,665
Napa,Treasurer,,DEM,Bill Lockyer,23926
Napa,Treasurer,,REP,Claude Parrish,13743
Napa,Treasurer,,AI,E. Justin Noonan,557
Napa,Treasurer,,GRN,Mehul M. Thakker,1352
Napa,Treasurer,,LIB,Marian Smithson,1460
Napa,Treasurer,,PF,Gerald Sanders,267
Nevada,Treasurer,,DEM,Bill Lockyer,18298
Nevada,Treasurer,,REP,Claude Parrish,19226
Nevada,Treasurer,,AI,E. Justin Noonan,288
Nevada,Treasurer,,GRN,Mehul M. Thakker,1535
Nevada,Treasurer,,LIB,Marian Smithson,2022
Nevada,Treasurer,,PF,Gerald Sanders,129
Orange,Treasurer,,DEM,Bill Lockyer,274675
Orange,Treasurer,,REP,Claude Parrish,364291
Orange,Treasurer,,AI,E. Justin Noonan,8061
Orange,Treasurer,,GRN,Mehul M. Thakker,12418
Orange,Treasurer,,LIB,Marian Smithson,33114
Orange,Treasurer,,PF,Gerald Sanders,5594
