county,precinct,office,district,party,candidate,votes,,
Plumas,01 Chilcoot,Registered Voters,,,,320,,
Plumas,01 Chilcoot,Ballots Cast,,,,262,,
Plumas,01 Chilcoot,President,,DEM,Joseph R Biden,41,,
Plumas,01 Chilcoot,President,,REP,Donald J Trump,212,,
Plumas,01 Chilcoot,President,,PEF,La Riva,1,,
Plumas,01 Chilcoot,President,,AIP,De La Fuente Guerra,0,,
Plumas,01 Chilcoot,President,,GRN,Howie Hawkins,2,,
Plumas,01 Chilcoot,President,,LIB,Jo Jorgensen,4,,
Plumas,01 Chilcoot,President,,,Brian Carroll (W),0,,
Plumas,01 Chilcoot,President,,,Mark Charles (W),0,,
Plumas,01 Chilcoot,President,,,Joseph Kishore (W),0,,
Plumas,01 Chilcoot,President,,,Brock Pierce (W),0,,
Plumas,01 Chilcoot,President,,,Jesse Ventura (W),0,,
Plumas,01 Chilcoot,President,,,Unresolved Write-In,0,,
Plumas,01 Chilcoot,U.S. House,1,REP,Doug La Malfa,214,,
Plumas,01 Chilcoot,U.S. House,1,DEM,Audrey Denney,46,,
Plumas,01 Chilcoot,U.S. House,1,,Unresolved Write-In,0,,
Plumas,01 Chilcoot,State Senate,1,DEM,Pamela Dawn Swartz,42,,
Plumas,01 Chilcoot,State Senate,1,REP,Brian Dahle,216,,
Plumas,01 Chilcoot,State Senate,1,,Unresolved Write-In,0,,
Plumas,01 Chilcoot,State Assembly,1,DEM,Elizabeth L Betancourt,41,,
Plumas,01 Chilcoot,State Assembly,1,REP,Megan Dahle,219,,
Plumas,01 Chilcoot,State Assembly,1,,Unresolved Write-In,0,,
Plumas,02 Beckwourth,Registered Voters,,,,468,,
Plumas,02 Beckwourth,Ballots Cast,,,,405,,
Plumas,02 Beckwourth,President,,DEM,Joseph R Biden,117,,
Plumas,02 Beckwourth,President,,REP,Donald J Trump,279,,
Plumas,02 Beckwourth,President,,PEF,La Riva,0,,
Plumas,02 Beckwourth,President,,AIP,De La Fuente Guerra,0,,
Plumas,02 Beckwourth,President,,GRN,Howie Hawkins,0,,
Plumas,02 Beckwourth,President,,LIB,Jo Jorgensen,5,,
Plumas,02 Beckwourth,President,,,Brian Carroll (W),0,,
Plumas,02 Beckwourth,President,,,Mark Charles (W),0,,
Plumas,02 Beckwourth,President,,,Joseph Kishore (W),0,,
Plumas,02 Beckwourth,President,,,Brock Pierce (W),0,,
Plumas,02 Beckwourth,President,,,Jesse Ventura (W),0,,
Plumas,02 Beckwourth,President,,,Unresolved Write-In,0,,
Plumas,02 Beckwourth,U.S. House,1,REP,Doug La Malfa,274,,
Plumas,02 Beckwourth,U.S. House,1,DEM,Audrey Denney,124,,
Plumas,02 Beckwourth,U.S. House,1,,Unresolved Write-In,0,,
Plumas,02 Beckwourth,State Senate,1,DEM,Pamela Dawn Swartz,106,,
Plumas,02 Beckwourth,State Senate,1,REP,Brian Dahle,294,,
Plumas,02 Beckwourth,State Senate,1,,Unresolved Write-In,0,,
Plumas,02 Beckwourth,State Assembly,1,DEM,Elizabeth L Betancourt,119,,
Plumas,02 Beckwourth,State Assembly,1,REP,Megan Dahle,281,,
Plumas,02 Beckwourth,State Assembly,1,,Unresolved Write-In,0,,
Plumas,03 Cromberg,Registered Voters,,,,227,,
Plumas,03 Cromberg,Ballots Cast,,,,205,,
Plumas,03 Cromberg,President,,DEM,Joseph R Biden,94,,
Plumas,03 Cromberg,President,,REP,Donald J Trump,104,,
Plumas,03 Cromberg,President,,PEF,La Riva,1,,
Plumas,03 Cromberg,President,,AIP,De La Fuente Guerra,0,,
Plumas,03 Cromberg,President,,GRN,Howie Hawkins,0,,
Plumas,03 Cromberg,President,,LIB,Jo Jorgensen,4,,
Plumas,03 Cromberg,President,,,Brian Carroll (W),0,,
Plumas,03 Cromberg,President,,,Mark Charles (W),0,,
Plumas,03 Cromberg,President,,,Joseph Kishore (W),0,,
Plumas,03 Cromberg,President,,,Brock Pierce (W),0,,
Plumas,03 Cromberg,President,,,Jesse Ventura (W),0,,
Plumas,03 Cromberg,President,,,Unresolved Write-In,0,,
Plumas,03 Cromberg,U.S. House,1,REP,Doug La Malfa,116,,
Plumas,03 Cromberg,U.S. House,1,DEM,Audrey Denney,84,,
Plumas,03 Cromberg,U.S. House,1,,Unresolved Write-In,0,,
Plumas,03 Cromberg,State Senate,1,DEM,Pamela Dawn Swartz,79,,
Plumas,03 Cromberg,State Senate,1,REP,Brian Dahle,120,,
Plumas,03 Cromberg,State Senate,1,,Unresolved Write-In,0,,
Plumas,03 Cromberg,State Assembly,1,DEM,Elizabeth L Betancourt,79,,
Plumas,03 Cromberg,State Assembly,1,REP,Megan Dahle,122,,
Plumas,03 Cromberg,State Assembly,1,,Unresolved Write-In,0,,
Plumas,04 La Porte,Registered Voters,,,,22,,
Plumas,04 La Porte,Ballots Cast,,,,17,,
Plumas,04 La Porte,President,,DEM,Joseph R Biden,6,,
Plumas,04 La Porte,President,,REP,Donald J Trump,11,,
Plumas,04 La Porte,President,,PEF,La Riva,0,,
Plumas,04 La Porte,President,,AIP,De La Fuente Guerra,0,,
Plumas,04 La Porte,President,,GRN,Howie Hawkins,0,,
Plumas,04 La Porte,President,,LIB,Jo Jorgensen,0,,
Plumas,04 La Porte,President,,,Brian Carroll (W),0,,
Plumas,04 La Porte,President,,,Mark Charles (W),0,,
Plumas,04 La Porte,President,,,Joseph Kishore (W),0,,
Plumas,04 La Porte,President,,,Brock Pierce (W),0,,
Plumas,04 La Porte,President,,,Jesse Ventura (W),0,,
Plumas,04 La Porte,President,,,Unresolved Write-In,0,,
Plumas,04 La Porte,U.S. House,1,REP,Doug La Malfa,10,,
Plumas,04 La Porte,U.S. House,1,DEM,Audrey Denney,7,,
Plumas,04 La Porte,U.S. House,1,,Unresolved Write-In,0,,
Plumas,04 La Porte,State Senate,1,DEM,Pamela Dawn Swartz,6,,
Plumas,04 La Porte,State Senate,1,REP,Brian Dahle,11,,
Plumas,04 La Porte,State Senate,1,,Unresolved Write-In,0,,
Plumas,04 La Porte,State Assembly,1,DEM,Elizabeth L Betancourt,5,,
Plumas,04 La Porte,State Assembly,1,REP,Megan Dahle,12,,
Plumas,04 La Porte,State Assembly,1,,Unresolved Write-In,0,,
Plumas,05 Blackhawk,Registered Voters,,,,235,,
Plumas,05 Blackhawk,Ballots Cast,,,,189,,
Plumas,05 Blackhawk,President,,DEM,Joseph R Biden,104,,
Plumas,05 Blackhawk,President,,REP,Donald J Trump,77,,
