county,precinct,office,district,party,candidate,votes,early voting,election day,mail
Tuolumne,100003,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,100004,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,101006,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,101007,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,101008,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,101009,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,200010,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,200012,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,200015,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,200016,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,200017,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,300018,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,300021,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,300022,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,300024,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,300025,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400028,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400029,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400030,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400032,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400034,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,400035,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,500037,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,500038,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,500041,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,500042,President,,DEMOCRAT,JULIAN CASTRO,1,1,0,0
Tuolumne,500043,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999101,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999102,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999103,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999104,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999105,President,,DEMOCRAT,JULIAN CASTRO,2,2,0,2
Tuolumne,999106,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999107,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999108,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999109,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999117,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999118,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999201,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999202,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999203,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999204,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999205,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999206,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999207,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999208,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999301,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999302,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999303,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999304,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999305,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999306,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999307,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999308,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999309,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999401,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999402,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999403,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999404,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999405,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999406,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999407,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999408,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999409,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999410,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999411,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999412,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999413,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999414,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999415,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
Tuolumne,999501,President,,DEMOCRAT,JULIAN CASTRO,0,0,0,0
