county,precinct,office,district,party,candidate,election_day,mail,votes
San Francisco,PCT 1101,President,,DEM,Joe Biden,45,379,424
San Francisco,PCT 1102,President,,DEM,Joe Biden,44,702,746
San Francisco,PCT 1103,President,,DEM,Joe Biden,53,676,729
San Francisco,PCT 1104/1105,President,,DEM,Joe Biden,39,654,693
San Francisco,PCT 1106,President,,DEM,Joe Biden,54,541,595
San Francisco,PCT 1107,President,,DEM,Joe Biden,36,521,557
San Francisco,PCT 1108,President,,DEM,Joe Biden,33,653,686
San Francisco,PCT 1109,President,,DEM,Joe Biden,48,516,564
San Francisco,PCT 1111,President,,DEM,Joe Biden,53,661,714
San Francisco,PCT 1112,President,,DEM,Joe Biden,27,532,559
San Francisco,PCT 1113,President,,DEM,Joe Biden,28,492,520
San Francisco,PCT 1114,President,,DEM,Joe Biden,67,604,671
San Francisco,PCT 1115,President,,DEM,Joe Biden,50,548,598
San Francisco,PCT 1116,President,,DEM,Joe Biden,63,555,618
San Francisco,PCT 1117,President,,DEM,Joe Biden,44,534,578
San Francisco,PCT 1118,President,,DEM,Joe Biden,51,711,762
San Francisco,PCT 1119,President,,DEM,Joe Biden,35,513,548
San Francisco,PCT 1121,President,,DEM,Joe Biden,47,462,509
San Francisco,PCT 1122,President,,DEM,Joe Biden,26,384,410
San Francisco,PCT 1123,President,,DEM,Joe Biden,53,535,588
San Francisco,PCT 1124,President,,DEM,Joe Biden,46,445,491
San Francisco,PCT 1125,President,,DEM,Joe Biden,38,674,712
San Francisco,PCT 1126,President,,DEM,Joe Biden,53,616,669
San Francisco,PCT 1127,President,,DEM,Joe Biden,40,596,636
San Francisco,PCT 1128,President,,DEM,Joe Biden,40,532,572
San Francisco,PCT 1129,President,,DEM,Joe Biden,59,616,675
San Francisco,PCT 1131,President,,DEM,Joe Biden,39,532,571
San Francisco,PCT 1132,President,,DEM,Joe Biden,39,651,690
San Francisco,PCT 1133,President,,DEM,Joe Biden,44,602,646
San Francisco,PCT 1134,President,,DEM,Joe Biden,29,521,550
San Francisco,PCT 1135,President,,DEM,Joe Biden,14,364,378
San Francisco,PCT 1136,President,,DEM,Joe Biden,41,542,583
San Francisco,PCT 1141,President,,DEM,Joe Biden,49,700,749
San Francisco,PCT 1142,President,,DEM,Joe Biden,30,625,655
