county,precinct,office,district,party,candidate,votes,election_day,mail
Tulare,102009,President,,,WRITE-IN,0,0,0
Tulare,102009,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",13,2,11
Tulare,102009,President,,DEM,JOSEPH R. BIDEN,1373,173,1200
Tulare,102009,President,,"GRN
WALKER",HOWIE HAWKINS,14,3,11
Tulare,102009,President,,LIB,JO JOREGENSEN,39,10,29
Tulare,102009,President,,PF,GLORIA LA RIVA,6,2,4
Tulare,102009,President,,REP,DONALD J. TRUMP,2591,597,1994
Tulare,102801,President,,,WRITE-IN,0,0,0
Tulare,102801,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0
Tulare,102801,President,,DEM,JOSEPH R. BIDEN,0,0,0
Tulare,102801,President,,"GRN
WALKER",HOWIE HAWKINS,0,0,0
Tulare,102801,President,,LIB,JO JOREGENSEN,0,0,0
Tulare,102801,President,,PF,GLORIA LA RIVA,0,0,0
Tulare,102801,President,,REP,DONALD J. TRUMP,1,1,0
Tulare,103001,President,,,WRITE-IN,0,0,0
Tulare,103001,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",11,2,9
Tulare,103001,President,,DEM,JOSEPH R. BIDEN,1491,235,1256
Tulare,103001,President,,"GRN
WALKER",HOWIE HAWKINS,12,0,12
Tulare,103001,President,,LIB,JO JOREGENSEN,11,3,8
Tulare,103001,President,,PF,GLORIA LA RIVA,14,3,11
Tulare,103001,President,,REP,DONALD J. TRUMP,747,166,581
Tulare,103009,President,,,WRITE-IN,0,0,0
Tulare,103009,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",2,0,2
Tulare,103009,President,,DEM,JOSEPH R. BIDEN,175,21,154
Tulare,103009,President,,"GRN
WALKER",HOWIE HAWKINS,0,0,0
Tulare,103009,President,,LIB,JO JOREGENSEN,5,1,4
Tulare,103009,President,,PF,GLORIA LA RIVA,0,0,0
Tulare,103009,President,,REP,DONALD J. TRUMP,72,12,60
Tulare,104801,President,,,WRITE-IN,0,0,0
Tulare,104801,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",0,0,0
Tulare,104801,President,,DEM,JOSEPH R. BIDEN,0,0,0
Tulare,104801,President,,"GRN
WALKER",HOWIE HAWKINS,0,0,0
Tulare,104801,President,,LIB,JO JOREGENSEN,0,0,0
Tulare,104801,President,,PF,GLORIA LA RIVA,0,0,0
Tulare,104801,President,,REP,DONALD J. TRUMP,0,0,0
Tulare,106001,President,,,WRITE-IN,4,0,4
Tulare,106001,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",18,3,15
Tulare,106001,President,,DEM,JOSEPH R. BIDEN,3413,319,3094
Tulare,106001,President,,"GRN
WALKER",HOWIE HAWKINS,31,1,30
Tulare,106001,President,,LIB,JO JOREGENSEN,99,8,91
Tulare,106001,President,,PF,GLORIA LA RIVA,26,8,18
Tulare,106001,President,,REP,DONALD J. TRUMP,4826,1009,3817
Tulare,106901,President,,,WRITE-IN,0,0,0
Tulare,106901,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,1,0
Tulare,106901,President,,DEM,JOSEPH R. BIDEN,196,30,166
Tulare,106901,President,,"GRN
WALKER",HOWIE HAWKINS,1,0,1
Tulare,106901,President,,LIB,JO JOREGENSEN,5,0,5
Tulare,106901,President,,PF,GLORIA LA RIVA,1,0,1
Tulare,106901,President,,REP,DONALD J. TRUMP,235,51,184
Tulare,106902,President,,,WRITE-IN,3,1,2
Tulare,106902,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",27,4,23
Tulare,106902,President,,DEM,JOSEPH R. BIDEN,1935,272,1663
Tulare,106902,President,,"GRN
WALKER",HOWIE HAWKINS,12,0,12
Tulare,106902,President,,LIB,JO JOREGENSEN,63,14,49
Tulare,106902,President,,PF,GLORIA LA RIVA,18,2,16
Tulare,106902,President,,REP,DONALD J. TRUMP,1975,520,1455
Tulare,106914,President,,,WRITE-IN,0,0,0
Tulare,106914,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,0,1
Tulare,106914,President,,DEM,JOSEPH R. BIDEN,58,11,47
Tulare,106914,President,,"GRN
WALKER",HOWIE HAWKINS,2,0,2
Tulare,106914,President,,LIB,JO JOREGENSEN,0,0,0
Tulare,106914,President,,PF,GLORIA LA RIVA,0,0,0
Tulare,106914,President,,REP,DONALD J. TRUMP,25,5,20
Tulare,108001,President,,,WRITE-IN,0,0,0
Tulare,108001,President,,AIP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,0,4
Tulare,108001,President,,DEM,JOSEPH R. BIDEN,383,43,340
