county,precinct,office,district,party,candidate,votes,early voting,election day,provisional,mail
Siskiyou,M1001 BOGUS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M1006 SHASTA CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M1009 MACDOEL,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,1,1,0,0,1
Siskiyou,M1014 PONDOSA CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M1015 MCCLOUD 3,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M1060 BUTTE CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M1117 TULELAKE 1,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M3002 GAZELLE CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M3013 WARREN,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M4001 DELPHIC CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M4032 GREENHORN CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M5000 HENLEY,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M5001 CALLAHAN CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M5009 KLAMATH CONS,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
Siskiyou,M5012 HORNBROOK,PRESIDENTIAL PREFERENCE - DEMOCRATIC,COUNTY-WIDE,DEMOCRAT,Julian Castro,0,0,0,0,0
