county,precinct,office,district,candidate,party,election_day,mail,votes
Marin,10901,Registered Voters,,,,,,4602
Marin,10901,Ballots Cast,,,,266,3927,4193
Marin,10901,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,1,7,8
Marin,10901,President,,Howie Hawkins,GRN,1,25,26
Marin,10901,President,,Jo Jorgensen,LIB,5,41,46
Marin,10901,President,,Joseph R. Biden,DEM,150,3283,3433
Marin,10901,President,,Donald J. Trump,REP,105,507,612
Marin,10901,President,,Gloria La Riva,PF,0,5,5
Marin,10901,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10901,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10901,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10901,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10901,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10901,U.S. House,2,Jared Huffman,DEM,154,3236,3390
Marin,10901,U.S. House,2,Dale K. Mensing,REP,89,502,591
Marin,10901,State Assembly,10,Marc Levine,DEM,128,2543,2671
Marin,10901,State Assembly,10,"Veronica ""Roni"" Jacobi",DEM,77,949,1026
Marin,10902,Registered Voters,,,,,,613
Marin,10902,Ballots Cast,,,,46,544,590
Marin,10902,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,0,4,4
Marin,10902,President,,Howie Hawkins,GRN,0,1,1
Marin,10902,President,,Jo Jorgensen,LIB,0,9,9
Marin,10902,President,,Joseph R. Biden,DEM,33,420,453
Marin,10902,President,,Donald J. Trump,REP,12,99,111
Marin,10902,President,,Gloria La Riva,PF,0,1,1
Marin,10902,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10902,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10902,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10902,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10902,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10902,U.S. House,2,Jared Huffman,DEM,31,412,443
Marin,10902,U.S. House,2,Dale K. Mensing,REP,10,98,108
Marin,10902,State Assembly,10,Marc Levine,DEM,19,334,353
Marin,10902,State Assembly,10,"Veronica ""Roni"" Jacobi",DEM,18,135,153
Marin,10903,Registered Voters,,,,,,1615
Marin,10903,Ballots Cast,,,,79,1389,1468
Marin,10903,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,0,4,4
Marin,10903,President,,Howie Hawkins,GRN,0,6,6
Marin,10903,President,,Jo Jorgensen,LIB,0,16,16
Marin,10903,President,,Joseph R. Biden,DEM,47,1127,1174
Marin,10903,President,,Donald J. Trump,REP,31,213,244
Marin,10903,President,,Gloria La Riva,PF,0,2,2
Marin,10903,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10903,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10903,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10903,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10903,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10903,U.S. House,2,Jared Huffman,DEM,45,1101,1146
Marin,10903,U.S. House,2,Dale K. Mensing,REP,31,212,243
Marin,10903,State Assembly,10,Marc Levine,DEM,35,879,914
Marin,10903,State Assembly,10,"Veronica ""Roni"" Jacobi",DEM,31,312,343
Marin,10904,Registered Voters,,,,,,1168
Marin,10904,Ballots Cast,,,,33,1004,1037
Marin,10904,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,0,4,4
Marin,10904,President,,Howie Hawkins,GRN,0,6,6
Marin,10904,President,,Jo Jorgensen,LIB,1,7,8
Marin,10904,President,,Joseph R. Biden,DEM,16,839,855
Marin,10904,President,,Donald J. Trump,REP,14,134,148
Marin,10904,President,,Gloria La Riva,PF,0,0,0
Marin,10904,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10904,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10904,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10904,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10904,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10904,U.S. House,2,Jared Huffman,DEM,12,809,821
Marin,10904,U.S. House,2,Dale K. Mensing,REP,12,139,151
Marin,10904,State Assembly,10,Marc Levine,DEM,14,634,648
Marin,10904,State Assembly,10,"Veronica ""Roni"" Jacobi",DEM,9,220,229
Marin,10905,Registered Voters,,,,,,1692
Marin,10905,Ballots Cast,,,,97,1340,1437
Marin,10905,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,0,3,3
Marin,10905,President,,Howie Hawkins,GRN,0,11,11
Marin,10905,President,,Jo Jorgensen,LIB,2,8,10
Marin,10905,President,,Joseph R. Biden,DEM,49,1075,1124
Marin,10905,President,,Donald J. Trump,REP,43,223,266
Marin,10905,President,,Gloria La Riva,PF,0,3,3
Marin,10905,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10905,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10905,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10905,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10905,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10905,U.S. House,2,Jared Huffman,DEM,53,1058,1111
Marin,10905,U.S. House,2,Dale K. Mensing,REP,41,197,238
Marin,10905,State Assembly,10,Marc Levine,DEM,41,795,836
Marin,10905,State Assembly,10,"Veronica ""Roni"" Jacobi",DEM,39,376,415
Marin,10906,Registered Voters,,,,,,722
Marin,10906,Ballots Cast,,,,42,562,604
Marin,10906,President,,"Roque ""Rocky"" De La Fuente Guerra",AI,2,1,3
Marin,10906,President,,Howie Hawkins,GRN,0,4,4
Marin,10906,President,,Jo Jorgensen,LIB,1,7,8
Marin,10906,President,,Joseph R. Biden,DEM,28,482,510
Marin,10906,President,,Donald J. Trump,REP,11,62,73
Marin,10906,President,,Gloria La Riva,PF,0,1,1
Marin,10906,President,,Brian Carroll Qualified Write In,,0,0,0
Marin,10906,President,,Mark Charles Qualified Write In,,0,0,0
Marin,10906,President,,Joseph Kishore Qualified Write In,,0,0,0
Marin,10906,President,,Brock Pierce Qualified Write In,,0,0,0
Marin,10906,President,,Jesse Ventura Qualified Write In,,0,0,0
Marin,10906,U.S. House,2,Jared Huffman,DEM,24,454,478
Marin,10906,U.S. House,2,Dale K. Mensing,REP,13,76,89
Marin,10906,State Assembly,10,Marc Levine,DEM,17,301,318
