county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,mail
Imperial,121004,President,,,Times Cast,681,416,8,257,0
Imperial,121004,President,,,Total Votes,670,410,8,252,0
Imperial,121004,President,,,Write-in,1,0,0,1,0
Imperial,121004,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,3,0,1,0
Imperial,121004,President,,DEM,JOSEPH R. BIDEN,491,304,7,180,0
Imperial,121004,President,,GRN,HOWIE HAWKINS,6,2,1,3,0
Imperial,121004,President,,LIB,JO JORGENSEN,5,4,0,1,0
Imperial,121004,President,,PF,GLORIA LA RIVA,4,2,0,2,0
Imperial,121004,President,,REP,DONALD J. TRUMP,159,95,0,64,0
Imperial,121005,President,,,Times Cast,1058,644,22,392,0
Imperial,121005,President,,,Total Votes,1040,634,22,384,0
Imperial,121005,President,,,Write-in,0,0,0,0,0
Imperial,121005,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",5,4,0,1,0
Imperial,121005,President,,DEM,JOSEPH R. BIDEN,782,496,20,266,0
Imperial,121005,President,,GRN,HOWIE HAWKINS,2,1,0,1,0
Imperial,121005,President,,LIB,JO JORGENSEN,2,2,0,0,0
Imperial,121005,President,,PF,GLORIA LA RIVA,10,5,0,5,0
Imperial,121005,President,,REP,DONALD J. TRUMP,239,126,2,111,0
Imperial,121006,President,,,Times Cast,987,597,22,368,0
Imperial,121006,President,,,Total Votes,983,593,22,368,0
Imperial,121006,President,,,Write-in,0,0,0,0,0
Imperial,121006,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",6,3,0,3,0
Imperial,121006,President,,DEM,JOSEPH R. BIDEN,668,417,14,237,0
Imperial,121006,President,,GRN,HOWIE HAWKINS,6,6,0,0,0
Imperial,121006,President,,LIB,JO JORGENSEN,7,2,0,5,0
Imperial,121006,President,,PF,GLORIA LA RIVA,3,3,0,0,0
Imperial,121006,President,,REP,DONALD J. TRUMP,293,162,8,123,0
Imperial,121010,President,,,Times Cast,825,556,20,249,0
Imperial,121010,President,,,Total Votes,816,549,20,247,0
Imperial,121010,President,,,Write-in,0,0,0,0,0
Imperial,121010,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",6,4,0,2,0
Imperial,121010,President,,DEM,JOSEPH R. BIDEN,586,422,12,152,0
Imperial,121010,President,,GRN,HOWIE HAWKINS,3,2,0,1,0
Imperial,121010,President,,LIB,JO JORGENSEN,5,3,0,2,0
Imperial,121010,President,,PF,GLORIA LA RIVA,5,2,0,3,0
Imperial,121010,President,,REP,DONALD J. TRUMP,211,116,8,87,0
Imperial,121012,President,,,Times Cast,576,321,9,246,0
Imperial,121012,President,,,Total Votes,569,316,9,244,0
Imperial,121012,President,,,Write-in,0,0,0,0,0
Imperial,121012,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,1,0,3,0
Imperial,121012,President,,DEM,JOSEPH R. BIDEN,413,249,5,159,0
Imperial,121012,President,,GRN,HOWIE HAWKINS,2,1,0,1,0
Imperial,121012,President,,LIB,JO JORGENSEN,6,2,0,4,0
Imperial,121012,President,,PF,GLORIA LA RIVA,3,3,0,0,0
Imperial,121012,President,,REP,DONALD J. TRUMP,141,60,4,77,0
Imperial,121014,President,,,Times Cast,1312,831,27,454,0
Imperial,121014,President,,,Total Votes,1296,821,27,448,0
Imperial,121014,President,,,Write-in,0,0,0,0,0
Imperial,121014,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",8,3,0,5,0
Imperial,121014,President,,DEM,JOSEPH R. BIDEN,984,649,21,314,0
Imperial,121014,President,,GRN,HOWIE HAWKINS,7,5,0,2,0
Imperial,121014,President,,LIB,JO JORGENSEN,6,2,1,3,0
Imperial,121014,President,,PF,GLORIA LA RIVA,13,6,0,7,0
Imperial,121014,President,,REP,DONALD J. TRUMP,278,156,5,117,0
Imperial,121016,President,,,Times Cast,923,548,10,365,0
Imperial,121016,President,,,Total Votes,914,542,10,362,0
Imperial,121016,President,,,Write-in,2,2,0,0,0
Imperial,121016,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",7,1,1,5,0
Imperial,121016,President,,DEM,JOSEPH R. BIDEN,654,418,7,229,0
Imperial,121016,President,,GRN,HOWIE HAWKINS,3,3,0,0,0
Imperial,121016,President,,LIB,JO JORGENSEN,2,2,0,0,0
Imperial,121016,President,,PF,GLORIA LA RIVA,8,2,0,6,0
Imperial,121016,President,,REP,DONALD J. TRUMP,238,114,2,122,0
Imperial,121017,President,,,Times Cast,948,583,27,338,0
Imperial,121017,President,,,Total Votes,944,579,27,338,0
Imperial,121017,President,,,Write-in,0,0,0,0,0
Imperial,121017,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,2,1,1,0
Imperial,121017,President,,DEM,JOSEPH R. BIDEN,687,451,18,218,0
Imperial,121017,President,,GRN,HOWIE HAWKINS,4,4,0,0,0
Imperial,121017,President,,LIB,JO JORGENSEN,6,5,0,1,0
Imperial,121017,President,,PF,GLORIA LA RIVA,10,8,1,1,0
Imperial,121017,President,,REP,DONALD J. TRUMP,233,109,7,117,0
Imperial,121018,President,,,Times Cast,1054,706,22,326,0
Imperial,121018,President,,,Total Votes,1044,697,22,325,0
Imperial,121018,President,,,Write-in,0,0,0,0,0
Imperial,121018,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",9,7,0,2,0
Imperial,121018,President,,DEM,JOSEPH R. BIDEN,753,529,16,208,0
Imperial,121018,President,,GRN,HOWIE HAWKINS,2,0,0,2,0
Imperial,121018,President,,LIB,JO JORGENSEN,9,5,1,3,0
Imperial,121018,President,,PF,GLORIA LA RIVA,10,9,0,1,0
Imperial,121018,President,,REP,DONALD J. TRUMP,261,147,5,109,0
Imperial,121019,President,,,Times Cast,952,599,9,344,0
Imperial,121019,President,,,Total Votes,940,592,9,339,0
Imperial,121019,President,,,Write-in,0,0,0,0,0
Imperial,121019,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",3,2,0,1,0
Imperial,121019,President,,DEM,JOSEPH R. BIDEN,644,446,4,194,0
Imperial,121019,President,,GRN,HOWIE HAWKINS,4,1,1,2,0
Imperial,121019,President,,LIB,JO JORGENSEN,7,3,0,4,0
Imperial,121019,President,,PF,GLORIA LA RIVA,3,1,0,2,0
Imperial,121019,President,,REP,DONALD J. TRUMP,279,139,4,136,0
Imperial,121020,President,,,Times Cast,1474,957,11,506,0
Imperial,121020,President,,,Total Votes,1450,946,11,493,0
Imperial,121020,President,,,Write-in,0,0,0,0,0
Imperial,121020,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",8,5,0,3,0
Imperial,121020,President,,DEM,JOSEPH R. BIDEN,1030,714,7,309,0
Imperial,121020,President,,GRN,HOWIE HAWKINS,4,1,0,3,0
Imperial,121020,President,,LIB,JO JORGENSEN,6,5,0,1,0
Imperial,121020,President,,PF,GLORIA LA RIVA,12,3,0,9,0
Imperial,121020,President,,REP,DONALD J. TRUMP,390,218,4,168,0
Imperial,245205,President,,,Times Cast,1471,914,63,494,0
Imperial,245205,President,,,Total Votes,1453,903,63,487,0
Imperial,245205,President,,,Write-in,0,0,0,0,0
Imperial,245205,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",5,2,0,3,0
Imperial,245205,President,,DEM,JOSEPH R. BIDEN,865,593,35,237,0
Imperial,245205,President,,GRN,HOWIE HAWKINS,10,7,0,3,0
Imperial,245205,President,,LIB,JO JORGENSEN,14,7,0,7,0
Imperial,245205,President,,PF,GLORIA LA RIVA,6,4,0,2,0
Imperial,245205,President,,REP,DONALD J. TRUMP,553,290,28,235,0
Imperial,245214,President,,,Times Cast,1344,911,52,381,0
Imperial,245214,President,,,Total Votes,1334,906,52,376,0
Imperial,245214,President,,,Write-in,1,1,0,0,0
Imperial,245214,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",12,7,0,5,0
Imperial,245214,President,,DEM,JOSEPH R. BIDEN,806,585,31,190,0
Imperial,245214,President,,GRN,HOWIE HAWKINS,5,4,1,0,0
Imperial,245214,President,,LIB,JO JORGENSEN,6,5,0,1,0
Imperial,245214,President,,PF,GLORIA LA RIVA,8,7,0,1,0
Imperial,245214,President,,REP,DONALD J. TRUMP,496,297,20,179,0
Imperial,245215,President,,,Times Cast,679,397,31,250,1
Imperial,245215,President,,,Total Votes,673,395,31,246,1
Imperial,245215,President,,,Write-in,1,1,0,0,0
Imperial,245215,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,3,0,1,0
Imperial,245215,President,,DEM,JOSEPH R. BIDEN,436,267,21,148,0
Imperial,245215,President,,GRN,HOWIE HAWKINS,2,2,0,0,0
Imperial,245215,President,,LIB,JO JORGENSEN,1,0,0,1,0
Imperial,245215,President,,PF,GLORIA LA RIVA,5,4,0,1,0
Imperial,245215,President,,REP,DONALD J. TRUMP,224,118,10,95,1
Imperial,245217,President,,,Times Cast,306,165,6,135,0
Imperial,245217,President,,,Total Votes,300,162,6,132,0
Imperial,245217,President,,,Write-in,0,0,0,0,0
Imperial,245217,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,1,0,0,0
Imperial,245217,President,,DEM,JOSEPH R. BIDEN,215,130,4,81,0
Imperial,245217,President,,GRN,HOWIE HAWKINS,4,4,0,0,0
Imperial,245217,President,,LIB,JO JORGENSEN,1,1,0,0,0
Imperial,245217,President,,PF,GLORIA LA RIVA,1,1,0,0,0
Imperial,245217,President,,REP,DONALD J. TRUMP,78,25,2,51,0
Imperial,245220,President,,,Times Cast,831,513,27,291,0
Imperial,245220,President,,,Total Votes,822,506,27,289,0
Imperial,245220,President,,,Write-in,0,0,0,0,0
Imperial,245220,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",5,3,1,1,0
Imperial,245220,President,,DEM,JOSEPH R. BIDEN,562,366,18,178,0
Imperial,245220,President,,GRN,HOWIE HAWKINS,6,5,0,1,0
Imperial,245220,President,,LIB,JO JORGENSEN,2,0,0,2,0
Imperial,245220,President,,PF,GLORIA LA RIVA,4,2,0,2,0
Imperial,245220,President,,REP,DONALD J. TRUMP,243,130,8,105,0
Imperial,245224,President,,,Times Cast,1063,652,36,375,0
Imperial,245224,President,,,Total Votes,1051,647,35,369,0
Imperial,245224,President,,,Write-in,2,1,0,1,0
Imperial,245224,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",11,3,2,6,0
Imperial,245224,President,,DEM,JOSEPH R. BIDEN,708,466,24,218,0
Imperial,245224,President,,GRN,HOWIE HAWKINS,6,4,2,0,0
Imperial,245224,President,,LIB,JO JORGENSEN,9,4,0,5,0
Imperial,245224,President,,PF,GLORIA LA RIVA,3,1,0,2,0
Imperial,245224,President,,REP,DONALD J. TRUMP,312,168,7,137,0
Imperial,245226,President,,,Times Cast,1326,699,334,293,0
Imperial,245226,President,,,Total Votes,1318,694,333,291,0
Imperial,245226,President,,,Write-in,0,0,0,0,0
Imperial,245226,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,2,0,2,0
Imperial,245226,President,,DEM,JOSEPH R. BIDEN,752,428,206,118,0
Imperial,245226,President,,GRN,HOWIE HAWKINS,3,2,1,0,0
Imperial,245226,President,,LIB,JO JORGENSEN,11,0,9,2,0
Imperial,245226,President,,PF,GLORIA LA RIVA,6,2,3,1,0
Imperial,245226,President,,REP,DONALD J. TRUMP,542,260,114,168,0
Imperial,245228,President,,,Times Cast,684,449,15,220,0
Imperial,245228,President,,,Total Votes,673,443,15,215,0
Imperial,245228,President,,,Write-in,0,0,0,0,0
Imperial,245228,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,3,0,1,0
Imperial,245228,President,,DEM,JOSEPH R. BIDEN,359,271,4,84,0
Imperial,245228,President,,GRN,HOWIE HAWKINS,3,2,0,1,0
Imperial,245228,President,,LIB,JO JORGENSEN,3,3,0,0,0
Imperial,245228,President,,PF,GLORIA LA RIVA,0,0,0,0,0
Imperial,245228,President,,REP,DONALD J. TRUMP,304,164,11,129,0
Imperial,247229,President,,,Times Cast,724,481,26,217,0
Imperial,247229,President,,,Total Votes,710,474,25,211,0
Imperial,247229,President,,,Write-in,0,0,0,0,0
Imperial,247229,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",1,1,0,0,0
Imperial,247229,President,,DEM,JOSEPH R. BIDEN,316,238,9,69,0
Imperial,247229,President,,GRN,HOWIE HAWKINS,3,1,0,2,0
Imperial,247229,President,,LIB,JO JORGENSEN,0,0,0,0,0
Imperial,247229,President,,PF,GLORIA LA RIVA,0,0,0,0,0
Imperial,247229,President,,REP,DONALD J. TRUMP,390,234,16,140,0
Imperial,247234,President,,,Times Cast,999,611,31,356,1
Imperial,247234,President,,,Total Votes,988,608,30,349,1
Imperial,247234,President,,,Write-in,0,0,0,0,0
Imperial,247234,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",5,4,0,1,0
Imperial,247234,President,,DEM,JOSEPH R. BIDEN,552,394,10,147,1
Imperial,247234,President,,GRN,HOWIE HAWKINS,4,1,0,3,0
Imperial,247234,President,,LIB,JO JORGENSEN,4,1,1,2,0
Imperial,247234,President,,PF,GLORIA LA RIVA,2,2,0,0,0
Imperial,247234,President,,REP,DONALD J. TRUMP,421,206,19,196,0
Imperial,286213,President,,,Times Cast,826,467,9,350,0
Imperial,286213,President,,,Total Votes,820,464,9,347,0
Imperial,286213,President,,,Write-in,0,0,0,0,0
Imperial,286213,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",6,4,0,2,0
Imperial,286213,President,,DEM,JOSEPH R. BIDEN,565,345,7,213,0
Imperial,286213,President,,GRN,HOWIE HAWKINS,5,2,0,3,0
Imperial,286213,President,,LIB,JO JORGENSEN,6,2,0,4,0
Imperial,286213,President,,PF,GLORIA LA RIVA,7,2,0,5,0
Imperial,286213,President,,REP,DONALD J. TRUMP,231,109,2,120,0
Imperial,286232,President,,,Times Cast,1138,601,24,513,0
Imperial,286232,President,,,Total Votes,1129,597,24,508,0
Imperial,286232,President,,,Write-in,0,0,0,0,0
Imperial,286232,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",6,6,0,0,0
Imperial,286232,President,,DEM,JOSEPH R. BIDEN,765,450,17,298,0
Imperial,286232,President,,GRN,HOWIE HAWKINS,4,2,0,2,0
Imperial,286232,President,,LIB,JO JORGENSEN,6,5,0,1,0
Imperial,286232,President,,PF,GLORIA LA RIVA,2,1,0,1,0
Imperial,286232,President,,REP,DONALD J. TRUMP,346,133,7,206,0
Imperial,345201,President,,,Times Cast,644,369,32,243,0
Imperial,345201,President,,,Total Votes,638,365,31,242,0
Imperial,345201,President,,,Write-in,2,1,0,1,0
Imperial,345201,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",4,2,0,2,0
Imperial,345201,President,,DEM,JOSEPH R. BIDEN,386,242,18,126,0
Imperial,345201,President,,GRN,HOWIE HAWKINS,4,2,1,1,0
Imperial,345201,President,,LIB,JO JORGENSEN,7,3,0,4,0
Imperial,345201,President,,PF,GLORIA LA RIVA,5,5,0,0,0
Imperial,345201,President,,REP,DONALD J. TRUMP,230,110,12,108,0
Imperial,345202,President,,,Times Cast,806,485,23,298,0
Imperial,345202,President,,,Total Votes,795,478,23,294,0
Imperial,345202,President,,,Write-in,4,2,0,2,0
Imperial,345202,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",8,7,0,1,0
Imperial,345202,President,,DEM,JOSEPH R. BIDEN,590,371,19,200,0
Imperial,345202,President,,GRN,HOWIE HAWKINS,3,2,0,1,0
Imperial,345202,President,,LIB,JO JORGENSEN,2,2,0,0,0
Imperial,345202,President,,PF,GLORIA LA RIVA,5,1,0,4,0
Imperial,345202,President,,REP,DONALD J. TRUMP,183,93,4,86,0
Imperial,345203,President,,,Times Cast,1155,696,66,393,0
Imperial,345203,President,,,Total Votes,1142,685,66,391,0
Imperial,345203,President,,,Write-in,0,0,0,0,0
Imperial,345203,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",3,1,0,2,0
Imperial,345203,President,,DEM,JOSEPH R. BIDEN,782,501,41,240,0
Imperial,345203,President,,GRN,HOWIE HAWKINS,9,6,1,2,0
Imperial,345203,President,,LIB,JO JORGENSEN,13,6,0,7,0
Imperial,345203,President,,PF,GLORIA LA RIVA,8,7,0,1,0
Imperial,345203,President,,REP,DONALD J. TRUMP,327,164,24,139,0
Imperial,345223,President,,,Times Cast,816,522,22,271,1
Imperial,345223,President,,,Total Votes,806,515,22,268,1
Imperial,345223,President,,,Write-in,0,0,0,0,0
Imperial,345223,President,,AI,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA",7,3,0,4,0
Imperial,345223,President,,DEM,JOSEPH R. BIDEN,588,393,18,176,1
Imperial,345223,President,,GRN,HOWIE HAWKINS,4,1,0,3,0
Imperial,345223,President,,LIB,JO JORGENSEN,2,1,0,1,0
Imperial,345223,President,,PF,GLORIA LA RIVA,2,2,0,0,0
Imperial,345223,President,,REP,DONALD J. TRUMP,203,115,4,84,0
Imperial,365018,President,,,Times Cast,1089,575,69,445,0
Imperial,365018,President,,,Total Votes,1081,572,68,441,0
Imperial,365018,President,,,Write-in,0,0,0,0,0
