county,precinct,office,district,party,candidate,election_day,mail,votes
Tehama,0010030,Registered Voters,,,,,,1710
Tehama,0010030,Ballots Cast,,,,269,1171,1440
Tehama,0010030,President,,,Joseph R Biden,25,296,321
Tehama,0010030,President,,,Donald J Trump,238,840,1078
Tehama,0010030,President,,,Gloria La Riva,0,0,0
Tehama,0010030,President,,,"Roque ""Rocky""De La Fuente Guerra",3,2,5
Tehama,0010030,President,,,Howie Hawkins,0,5,5
Tehama,0010030,President,,,Jo Jorgensen,1,18,19
Tehama,0010030,President,,,Brian Carroll (W),0,0,0
Tehama,0010030,President,,,Mark Charles (W),0,0,0
Tehama,0010030,President,,,Joseph Kishore (W),0,0,0
Tehama,0010030,President,,,Brock Pierce (W),0,0,0
Tehama,0010030,President,,,Jesse Ventura (W),0,0,0
Tehama,0010030,U.S. House,1,REP,Doug La Malfa,233,838,1071
Tehama,0010030,U.S. House,1,DEM,Audrey Denney,34,321,355
Tehama,0010030,State Assembly,3,DEM,James R Henson,22,248,270
Tehama,0010030,State Assembly,3,REP,James Gallagher,237,872,1109
Tehama,0010050,Registered Voters,,,,,,1824
Tehama,0010050,Ballots Cast,,,,325,1147,1472
Tehama,0010050,President,,,Joseph R Biden,24,302,326
Tehama,0010050,President,,,Donald J Trump,295,813,1108
Tehama,0010050,President,,,Gloria La Riva,0,1,1
Tehama,0010050,President,,,"Roque ""Rocky""De La Fuente Guerra",0,1,1
Tehama,0010050,President,,,Howie Hawkins,0,4,4
Tehama,0010050,President,,,Jo Jorgensen,2,17,19
Tehama,0010050,President,,,Brian Carroll (W),0,0,0
Tehama,0010050,President,,,Mark Charles (W),0,0,0
Tehama,0010050,President,,,Joseph Kishore (W),0,0,0
Tehama,0010050,President,,,Brock Pierce (W),0,0,0
Tehama,0010050,President,,,Jesse Ventura (W),0,0,0
Tehama,0010050,U.S. House,1,REP,Doug La Malfa,291,825,1116
Tehama,0010050,U.S. House,1,DEM,Audrey Denney,29,303,332
Tehama,0010050,State Assembly,3,DEM,James R Henson,21,241,262
Tehama,0010050,State Assembly,3,REP,James Gallagher,290,861,1151
Tehama,0010130,Registered Voters,,,,,,1751
Tehama,0010130,Ballots Cast,,,,228,1309,1537
Tehama,0010130,President,,,Joseph R Biden,30,401,431
Tehama,0010130,President,,,Donald J Trump,193,868,1061
Tehama,0010130,President,,,Gloria La Riva,1,1,2
Tehama,0010130,President,,,"Roque ""Rocky""De La Fuente Guerra",0,1,1
Tehama,0010130,President,,,Howie Hawkins,0,2,2
Tehama,0010130,President,,,Jo Jorgensen,2,15,17
Tehama,0010130,President,,,Brian Carroll (W),0,0,0
Tehama,0010130,President,,,Mark Charles (W),0,0,0
Tehama,0010130,President,,,Joseph Kishore (W),0,0,0
Tehama,0010130,President,,,Brock Pierce (W),0,0,0
Tehama,0010130,President,,,Jesse Ventura (W),0,0,0
Tehama,0010130,U.S. House,1,REP,Doug La Malfa,192,885,1077
Tehama,0010130,U.S. House,1,DEM,Audrey Denney,32,406,438
Tehama,0010130,State Assembly,3,DEM,James R Henson,22,299,321
Tehama,0010130,State Assembly,3,REP,James Gallagher,197,959,1156
Tehama,0012060,Registered Voters,,,,,,1457
Tehama,0012060,Ballots Cast,,,,170,901,1071
Tehama,0012060,President,,,Joseph R Biden,45,366,411
Tehama,0012060,President,,,Donald J Trump,112,495,607
Tehama,0012060,President,,,Gloria La Riva,2,5,7
Tehama,0012060,President,,,"Roque ""Rocky""De La Fuente Guerra",1,5,6
Tehama,0012060,President,,,Howie Hawkins,0,3,3
Tehama,0012060,President,,,Jo Jorgensen,6,13,19
Tehama,0012060,President,,,Brian Carroll (W),0,0,0
Tehama,0012060,President,,,Mark Charles (W),0,0,0
Tehama,0012060,President,,,Joseph Kishore (W),0,0,0
Tehama,0012060,President,,,Brock Pierce (W),0,0,0
Tehama,0012060,President,,,Jesse Ventura (W),0,0,0
Tehama,0012060,U.S. House,1,REP,Doug La Malfa,113,485,598
Tehama,0012060,U.S. House,1,DEM,Audrey Denney,54,398,452
Tehama,0012060,State Assembly,3,DEM,James R Henson,41,316,357
Tehama,0012060,State Assembly,3,REP,James Gallagher,110,520,630
Tehama,0012080,Registered Voters,,,,,,1086
Tehama,0012080,Ballots Cast,,,,160,725,885
Tehama,0012080,President,,,Joseph R Biden,29,283,312
Tehama,0012080,President,,,Donald J Trump,128,423,551
Tehama,0012080,President,,,Gloria La Riva,0,1,1
Tehama,0012080,President,,,"Roque ""Rocky""De La Fuente Guerra",0,1,1
Tehama,0012080,President,,,Howie Hawkins,0,0,0
Tehama,0012080,President,,,Jo Jorgensen,2,7,9
Tehama,0012080,President,,,Brian Carroll (W),0,0,0
Tehama,0012080,President,,,Mark Charles (W),0,0,0
Tehama,0012080,President,,,Joseph Kishore (W),0,0,0
Tehama,0012080,President,,,Brock Pierce (W),0,0,0
Tehama,0012080,President,,,Jesse Ventura (W),0,0,0
Tehama,0012080,U.S. House,1,REP,Doug La Malfa,118,432,550
Tehama,0012080,U.S. House,1,DEM,Audrey Denney,39,284,323
Tehama,0012080,State Assembly,3,DEM,James R Henson,28,222,250
Tehama,0012080,State Assembly,3,REP,James Gallagher,119,459,578
Tehama,0012210,Registered Voters,,,,,,649
Tehama,0012210,Ballots Cast,,,,56,413,469
Tehama,0012210,President,,,Joseph R Biden,16,184,200
Tehama,0012210,President,,,Donald J Trump,37,210,247
Tehama,0012210,President,,,Gloria La Riva,0,3,3
Tehama,0012210,President,,,"Roque ""Rocky""De La Fuente Guerra",0,2,2
Tehama,0012210,President,,,Howie Hawkins,0,0,0
Tehama,0012210,President,,,Jo Jorgensen,2,5,7
Tehama,0012210,President,,,Brian Carroll (W),0,0,0
Tehama,0012210,President,,,Mark Charles (W),0,0,0
Tehama,0012210,President,,,Joseph Kishore (W),0,0,0
Tehama,0012210,President,,,Brock Pierce (W),0,0,0
Tehama,0012210,President,,,Jesse Ventura (W),0,0,0
Tehama,0012210,U.S. House,1,REP,Doug La Malfa,36,207,243
Tehama,0012210,U.S. House,1,DEM,Audrey Denney,17,194,211
Tehama,0012210,State Assembly,3,DEM,James R Henson,13,151,164
Tehama,0012210,State Assembly,3,REP,James Gallagher,37,231,268
Tehama,0020140,Registered Voters,,,,,,1181
Tehama,0020140,Ballots Cast,,,,170,821,991
Tehama,0020140,President,,,Joseph R Biden,18,229,247
Tehama,0020140,President,,,Donald J Trump,149,567,716
Tehama,0020140,President,,,Gloria La Riva,0,1,1
Tehama,0020140,President,,,"Roque ""Rocky""De La Fuente Guerra",0,3,3
Tehama,0020140,President,,,Howie Hawkins,0,2,2
Tehama,0020140,President,,,Jo Jorgensen,2,11,13
Tehama,0020140,President,,,Brian Carroll (W),0,0,0
Tehama,0020140,President,,,Mark Charles (W),0,0,0
Tehama,0020140,President,,,Joseph Kishore (W),0,0,0
Tehama,0020140,President,,,Brock Pierce (W),0,0,0
Tehama,0020140,President,,,Jesse Ventura (W),0,0,0
Tehama,0020140,U.S. House,1,REP,Doug La Malfa,151,561,712
Tehama,0020140,U.S. House,1,DEM,Audrey Denney,18,246,264
Tehama,0020140,State Assembly,3,DEM,James R Henson,11,173,184
Tehama,0020140,State Assembly,3,REP,James Gallagher,149,615,764
Tehama,0020160,Registered Voters,,,,,,309
Tehama,0020160,Ballots Cast,,,,54,184,238
Tehama,0020160,President,,,Joseph R Biden,8,50,58
Tehama,0020160,President,,,Donald J Trump,45,130,175
Tehama,0020160,President,,,Gloria La Riva,0,0,0
Tehama,0020160,President,,,"Roque ""Rocky""De La Fuente Guerra",0,0,0
Tehama,0020160,President,,,Howie Hawkins,0,0,0
Tehama,0020160,President,,,Jo Jorgensen,0,2,2
Tehama,0020160,President,,,Brian Carroll (W),0,0,0
Tehama,0020160,President,,,Mark Charles (W),0,0,0
Tehama,0020160,President,,,Joseph Kishore (W),0,0,0
Tehama,0020160,President,,,Brock Pierce (W),0,0,0
Tehama,0020160,President,,,Jesse Ventura (W),0,0,0
Tehama,0020160,U.S. House,1,REP,Doug La Malfa,40,122,162
Tehama,0020160,U.S. House,1,DEM,Audrey Denney,13,55,68
Tehama,0020160,State Assembly,3,DEM,James R Henson,8,36,44
Tehama,0020160,State Assembly,3,REP,James Gallagher,44,131,175
Tehama,0020170,Registered Voters,,,,,,549
Tehama,0020170,Ballots Cast,,,,98,328,426
Tehama,0020170,President,,,Joseph R Biden,14,106,120
Tehama,0020170,President,,,Donald J Trump,82,213,295
Tehama,0020170,President,,,Gloria La Riva,0,2,2
Tehama,0020170,President,,,"Roque ""Rocky""De La Fuente Guerra",0,1,1
Tehama,0020170,President,,,Howie Hawkins,0,1,1
Tehama,0020170,President,,,Jo Jorgensen,2,4,6
Tehama,0020170,President,,,Brian Carroll (W),0,0,0
Tehama,0020170,President,,,Mark Charles (W),0,0,0
Tehama,0020170,President,,,Joseph Kishore (W),0,0,0
Tehama,0020170,President,,,Brock Pierce (W),0,0,0
Tehama,0020170,President,,,Jesse Ventura (W),0,0,0
Tehama,0020170,U.S. House,1,REP,Doug La Malfa,81,210,291
Tehama,0020170,U.S. House,1,DEM,Audrey Denney,15,113,128
Tehama,0020170,State Assembly,3,DEM,James R Henson,11,90,101
Tehama,0020170,State Assembly,3,REP,James Gallagher,78,222,300
Tehama,0020250,Registered Voters,,,,,,750
Tehama,0020250,Ballots Cast,,,,125,512,637
Tehama,0020250,President,,,Joseph R Biden,9,110,119
Tehama,0020250,President,,,Donald J Trump,113,379,492
Tehama,0020250,President,,,Gloria La Riva,0,0,0
Tehama,0020250,President,,,"Roque ""Rocky""De La Fuente Guerra",2,2,4
Tehama,0020250,President,,,Howie Hawkins,0,4,4
Tehama,0020250,President,,,Jo Jorgensen,0,10,10
Tehama,0020250,President,,,Brian Carroll (W),0,0,0
Tehama,0020250,President,,,Mark Charles (W),0,0,0
Tehama,0020250,President,,,Joseph Kishore (W),0,0,0
Tehama,0020250,President,,,Brock Pierce (W),0,0,0
Tehama,0020250,President,,,Jesse Ventura (W),0,0,0
Tehama,0020250,U.S. House,1,REP,Doug La Malfa,113,389,502
Tehama,0020250,U.S. House,1,DEM,Audrey Denney,10,116,126
Tehama,0020250,State Assembly,3,DEM,James R Henson,7,91,98
Tehama,0020250,State Assembly,3,REP,James Gallagher,114,406,520
Tehama,0020255,Registered Voters,,,,,,591
Tehama,0020255,Ballots Cast,,,,97,406,503
Tehama,0020255,President,,,Joseph R Biden,12,85,97
Tehama,0020255,President,,,Donald J Trump,83,307,390
Tehama,0020255,President,,,Gloria La Riva,0,1,1
Tehama,0020255,President,,,"Roque ""Rocky""De La Fuente Guerra",0,0,0
Tehama,0020255,President,,,Howie Hawkins,0,1,1
