county,precinct,office,district,party,candidate,votes,mail,provisional
Lassen,LASSEN CA,Registered Voters,,,,15309,,
Lassen,LASSEN CA,Ballots Cast,,,,12122,11937,185
Lassen,LASSEN CA,President,,DEM,JOSEPH R. BIDEN,2799,2775,24
Lassen,LASSEN CA,President,,REP,DONALD J. TRUMP,8970,8814,56
Lassen,LASSEN CA,President,,PFP,GLORIA LA RIVA,18,16,2
Lassen,LASSEN CA,President,,AIP,ROCKY DE LA FUENTE GUERRA,26,25,1
Lassen,LASSEN CA,President,,GRN,HOWIE HAWKINS,31,31,0
Lassen,LASSEN CA,President,,LIB,JO JORGENSEN,141,139,2
Lassen,LASSEN CA,President,,WRI,Write-In: UNCERTIFIED WRITE IN,58,58,0
Lassen,LASSEN CA,President,,WRI,Write-In: JESSE VENTURA,2,2,0
Lassen,LASSEN CA,President,,,Overvotes,11,11,0
Lassen,LASSEN CA,President,,,Undervotes,66,66,0
Lassen,LASSEN CA,U.S. House,1,REP,DOUG LAMALFA,8892,8761,131
Lassen,LASSEN CA,U.S. House,1,DEM,AUDREY DENNEY,3000,2970,30
Lassen,LASSEN CA,U.S. House,1,,Overvotes,2,2,0
Lassen,LASSEN CA,U.S. House,1,,Undervotes,228,204,24
Lassen,LASSEN CA,State Senate,01,REP,BRIAN DAHLE,9259,9129,130
Lassen,LASSEN CA,State Senate,01,DEM,PAMELA DAWN SWARTZ,2446,2420,26
Lassen,LASSEN CA,State Senate,01,,Overvotes,2,2,0
Lassen,LASSEN CA,State Senate,01,,Undervotes,415,386,29
Lassen,LASSEN CA,State Assembly,01,REP,MEGAN DAHLE,9048,8922,126
Lassen,LASSEN CA,State Assembly,01,DEM,ELIZABETH L BETANCOURT,2703,2672,31
Lassen,LASSEN CA,State Assembly,01,,Overvotes,2,2,0
Lassen,LASSEN CA,State Assembly,01,,Undervotes,369,341,28
Lassen,Lassen 110,Registered Voters,,,,311,,
Lassen,Lassen 110,Ballots Cast,,,,226,223,3
Lassen,Lassen 110,President,,DEM,JOSEPH R. BIDEN,81,79,2
Lassen,Lassen 110,President,,REP,DONALD J. TRUMP,139,138,1
Lassen,Lassen 110,President,,PFP,GLORIA LA RIVA,1,1,0
Lassen,Lassen 110,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 110,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 110,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 110,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 110,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 110,President,,,Overvotes,0,0,0
Lassen,Lassen 110,President,,,Undervotes,4,4,0
Lassen,Lassen 110,U.S. House,1,REP,DOUG LAMALFA,137,136,1
Lassen,Lassen 110,U.S. House,1,DEM,AUDREY DENNEY,87,85,2
Lassen,Lassen 110,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 110,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 110,State Senate,01,REP,BRIAN DAHLE,144,143,1
Lassen,Lassen 110,State Senate,01,DEM,PAMELA DAWN SWARTZ,71,69,2
Lassen,Lassen 110,State Senate,01,,Overvotes,1,1,0
Lassen,Lassen 110,State Senate,01,,Undervotes,10,10,0
Lassen,Lassen 110,State Assembly,01,REP,MEGAN DAHLE,147,146,1
Lassen,Lassen 110,State Assembly,01,DEM,ELIZABETH L BETANCOURT,73,71,2
Lassen,Lassen 110,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 110,State Assembly,01,,Undervotes,6,6,0
Lassen,Lassen 111,Registered Voters,,,,296,,
Lassen,Lassen 111,Ballots Cast,,,,233,229,4
Lassen,Lassen 111,President,,DEM,JOSEPH R. BIDEN,74,74,0
Lassen,Lassen 111,President,,REP,DONALD J. TRUMP,153,150,3
Lassen,Lassen 111,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 111,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 111,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 111,President,,LIB,JO JORGENSEN,2,1,1
Lassen,Lassen 111,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 111,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 111,President,,,Overvotes,1,1,0
Lassen,Lassen 111,President,,,Undervotes,2,2,0
Lassen,Lassen 111,U.S. House,1,REP,DOUG LAMALFA,150,148,2
Lassen,Lassen 111,U.S. House,1,DEM,AUDREY DENNEY,76,76,0
Lassen,Lassen 111,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 111,U.S. House,1,,Undervotes,7,5,2
Lassen,Lassen 111,State Senate,01,REP,BRIAN DAHLE,155,155,0
Lassen,Lassen 111,State Senate,01,DEM,PAMELA DAWN SWARTZ,63,63,0
Lassen,Lassen 111,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 111,State Senate,01,,Undervotes,15,11,4
Lassen,Lassen 111,State Assembly,01,REP,MEGAN DAHLE,148,147,1
Lassen,Lassen 111,State Assembly,01,DEM,ELIZABETH L BETANCOURT,73,73,0
Lassen,Lassen 111,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 111,State Assembly,01,,Undervotes,12,9,3
Lassen,Lassen 112,Registered Voters,,,,338,,
Lassen,Lassen 112,Ballots Cast,,,,245,244,1
Lassen,Lassen 112,President,,DEM,JOSEPH R. BIDEN,115,115,0
Lassen,Lassen 112,President,,REP,DONALD J. TRUMP,128,127,1
Lassen,Lassen 112,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 112,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 112,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 112,President,,LIB,JO JORGENSEN,1,1,0
