county,precinct,office,district,party,candidate,mail,election_day,votes
Trinity,COFFEE CREEK - 101,Registered Voters,,,,,,150
Trinity,COFFEE CREEK - 101,Ballots Cast,,,,,,133
Trinity,COFFEE CREEK - 101,President,,,Donald J Trump,48,8,56
Trinity,COFFEE CREEK - 101,President,,,Gloria La Riva,1,0,1
Trinity,COFFEE CREEK - 101,President,,,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Trinity,COFFEE CREEK - 101,President,,,Howie Hawkins,0,0,0
Trinity,COFFEE CREEK - 101,President,,,Jo Jorgensen,3,0,3
Trinity,COFFEE CREEK - 101,President,,,Joseph R Biden,68,4,72
Trinity,COFFEE CREEK - 101,President,,,Jesse Ventura (W),0,0,0
Trinity,COFFEE CREEK - 101,President,,,Undervotes,1,0,1
Trinity,COFFEE CREEK - 101,President,,,Overvotes,0,0,0
Trinity,COFFEE CREEK - 101,President,,,Non Qualified write-ins,0,0,0
Trinity,COFFEE CREEK - 101,U.S. House,2,DEM,Jared Huffman,62,4,66
Trinity,COFFEE CREEK - 101,U.S. House,2,REP,Dale K Mensing,53,7,60
Trinity,COFFEE CREEK - 101,U.S. House,2,,Undervotes,6,1,7
Trinity,COFFEE CREEK - 101,U.S. House,2,,Overvotes,0,0,0
Trinity,COFFEE CREEK - 101,U.S. House,2,,Non Qualified write-ins,0,0,0
Trinity,COFFEE CREEK - 101,State Assembly,2,REP,Charlotte Svolos,53,8,61
Trinity,COFFEE CREEK - 101,State Assembly,2,DEM,Jim Wood,63,2,65
Trinity,COFFEE CREEK - 101,State Assembly,2,,Undervotes,5,2,7
Trinity,COFFEE CREEK - 101,State Assembly,2,,Overvotes,0,0,0
Trinity,COFFEE CREEK - 101,State Assembly,2,,Non Qualified write-ins,0,0,0
Trinity,TRINITY CENTER - 111.01,Registered Voters,,,,,,177
Trinity,TRINITY CENTER - 111.01,Ballots Cast,,,,,,160
Trinity,TRINITY CENTER - 111.01,President,,,Donald J Trump,116,12,128
Trinity,TRINITY CENTER - 111.01,President,,,Gloria La Riva,0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,Howie Hawkins,2,0,2
Trinity,TRINITY CENTER - 111.01,President,,,Jo Jorgensen,0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,Joseph R Biden,28,2,30
Trinity,TRINITY CENTER - 111.01,President,,,Jesse Ventura (W),0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,Undervotes,0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.01,President,,,Non Qualified write-ins,0,0,0
Trinity,TRINITY CENTER - 111.01,U.S. House,2,DEM,Jared Huffman,36,2,38
Trinity,TRINITY CENTER - 111.01,U.S. House,2,REP,Dale K Mensing,107,11,118
Trinity,TRINITY CENTER - 111.01,U.S. House,2,,Undervotes,3,1,4
Trinity,TRINITY CENTER - 111.01,U.S. House,2,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.01,U.S. House,2,,Non Qualified write-ins,0,0,0
Trinity,TRINITY CENTER - 111.01,State Assembly,2,REP,Charlotte Svolos,109,12,121
Trinity,TRINITY CENTER - 111.01,State Assembly,2,DEM,Jim Wood,35,1,36
Trinity,TRINITY CENTER - 111.01,State Assembly,2,,Undervotes,2,1,3
Trinity,TRINITY CENTER - 111.01,State Assembly,2,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.01,State Assembly,2,,Non Qualified write-ins,0,0,0
Trinity,TRINITY CENTER - 111.02,Registered Voters,,,,,,35
Trinity,TRINITY CENTER - 111.02,Ballots Cast,,,,,,26
Trinity,TRINITY CENTER - 111.02,President,,,Donald J Trump,13,3,16
Trinity,TRINITY CENTER - 111.02,President,,,Gloria La Riva,0,0,0
Trinity,TRINITY CENTER - 111.02,President,,,"Roque ""Rocky"" De La Fuente Guerra",0,0,0
Trinity,TRINITY CENTER - 111.02,President,,,Howie Hawkins,0,0,0
Trinity,TRINITY CENTER - 111.02,President,,,Jo Jorgensen,2,0,2
Trinity,TRINITY CENTER - 111.02,President,,,Joseph R Biden,5,1,6
Trinity,TRINITY CENTER - 111.02,President,,,Jesse Ventura (W),0,0,0
Trinity,TRINITY CENTER - 111.02,President,,,Undervotes,1,0,1
Trinity,TRINITY CENTER - 111.02,President,,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.02,President,,,Non Qualified write-ins,1,0,1
Trinity,TRINITY CENTER - 111.02,U.S. House,2,DEM,Jared Huffman,8,2,10
Trinity,TRINITY CENTER - 111.02,U.S. House,2,REP,Dale K Mensing,13,2,15
Trinity,TRINITY CENTER - 111.02,U.S. House,2,,Undervotes,1,0,1
Trinity,TRINITY CENTER - 111.02,U.S. House,2,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.02,U.S. House,2,,Non Qualified write-ins,0,0,0
Trinity,TRINITY CENTER - 111.02,State Assembly,2,REP,Charlotte Svolos,14,2,16
Trinity,TRINITY CENTER - 111.02,State Assembly,2,DEM,Jim Wood,8,2,10
Trinity,TRINITY CENTER - 111.02,State Assembly,2,,Undervotes,0,0,0
Trinity,TRINITY CENTER - 111.02,State Assembly,2,,Overvotes,0,0,0
Trinity,TRINITY CENTER - 111.02,State Assembly,2,,Non Qualified write-ins,0,0,0
Trinity,MINERSVILLE - 112,Registered Voters,,,,,,91
Trinity,MINERSVILLE - 112,Ballots Cast,,,,,,84
Trinity,MINERSVILLE - 112,President,,,Donald J Trump,42,6,48
Trinity,MINERSVILLE - 112,President,,,Gloria La Riva,0,0,0
Trinity,MINERSVILLE - 112,President,,,"Roque ""Rocky"" De La Fuente Guerra",1,0,1
Trinity,MINERSVILLE - 112,President,,,Howie Hawkins,0,0,0
Trinity,MINERSVILLE - 112,President,,,Jo Jorgensen,1,0,1
Trinity,MINERSVILLE - 112,President,,,Joseph R Biden,30,4,34
Trinity,MINERSVILLE - 112,President,,,Jesse Ventura (W),0,0,0
Trinity,MINERSVILLE - 112,President,,,Undervotes,0,0,0
Trinity,MINERSVILLE - 112,President,,,Overvotes,0,0,0
Trinity,MINERSVILLE - 112,President,,,Non Qualified write-ins,0,0,0
Trinity,MINERSVILLE - 112,U.S. House,2,DEM,Jared Huffman,31,3,34
Trinity,MINERSVILLE - 112,U.S. House,2,REP,Dale K Mensing,41,6,47
Trinity,MINERSVILLE - 112,U.S. House,2,,Undervotes,2,1,3
Trinity,MINERSVILLE - 112,U.S. House,2,,Overvotes,0,0,0
Trinity,MINERSVILLE - 112,U.S. House,2,,Non Qualified write-ins,0,0,0
Trinity,MINERSVILLE - 112,State Assembly,2,REP,Charlotte Svolos,41,7,48
Trinity,MINERSVILLE - 112,State Assembly,2,DEM,Jim Wood,30,1,31
