county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Santa Barbara,10-0110,Registered Voters,,,,2020,,,,
Santa Barbara,10-0110,Ballots Cast,,,,1882,,,,
Santa Barbara,10-0120,Registered Voters,,,,1282,,,,
Santa Barbara,10-0120,Ballots Cast,,,,1178,,,,
Santa Barbara,10-0610,Registered Voters,,,,4382,,,,
Santa Barbara,10-0610,Ballots Cast,,,,4074,,,,
Santa Barbara,10-0710,Registered Voters,,,,1221,,,,
Santa Barbara,10-0710,Ballots Cast,,,,1158,,,,
Santa Barbara,10-0910,Registered Voters,,,,1842,,,,
Santa Barbara,10-0910,Ballots Cast,,,,1733,,,,
Santa Barbara,10-1001,Registered Voters,,,,124,,,,
Santa Barbara,10-1001,Ballots Cast,,,,115,,,,
Santa Barbara,10-1002,Registered Voters,,,,35,,,,
Santa Barbara,10-1002,Ballots Cast,,,,33,,,,
Santa Barbara,10-1003,Registered Voters,,,,16,,,,
Santa Barbara,10-1003,Ballots Cast,,,,16,,,,
Santa Barbara,10-1004,Registered Voters,,,,2,,,,
Santa Barbara,10-1004,Ballots Cast,,,,2,,,,
Santa Barbara,10-1005,Registered Voters,,,,3,,,,
Santa Barbara,10-1005,Ballots Cast,,,,3,,,,
Santa Barbara,10-1007,Registered Voters,,,,25,,,,
Santa Barbara,10-1007,Ballots Cast,,,,24,,,,
Santa Barbara,10-1008,Registered Voters,,,,350,,,,
Santa Barbara,10-1008,Ballots Cast,,,,330,,,,
Santa Barbara,10-1009,Registered Voters,,,,225,,,,
Santa Barbara,10-1009,Ballots Cast,,,,217,,,,
Santa Barbara,10-1010,Registered Voters,,,,33,,,,
Santa Barbara,10-1010,Ballots Cast,,,,29,,,,
Santa Barbara,10-1011,Registered Voters,,,,26,,,,
Santa Barbara,10-1011,Ballots Cast,,,,26,,,,
Santa Barbara,10-1012,Registered Voters,,,,40,,,,
Santa Barbara,10-1012,Ballots Cast,,,,39,,,,
Santa Barbara,10-1013,Registered Voters,,,,26,,,,
Santa Barbara,10-1013,Ballots Cast,,,,20,,,,
Santa Barbara,10-1014,Registered Voters,,,,0,,,,
Santa Barbara,10-1014,Ballots Cast,,,,0,,,,
Santa Barbara,10-1015,Registered Voters,,,,81,,,,
Santa Barbara,10-1015,Ballots Cast,,,,72,,,,
Santa Barbara,10-1016,Registered Voters,,,,295,,,,
