County,Precinct,Office,District,Party,Candidate,election_day,early_voting,mail,Total
kern,11155,SOVC,,,Cards Cast,227,0,761,988
kern,11155,SOVC,,,Registered Voters,1261,1261,1261,1261
kern,11155,SOVC,,,Voters Cast,227,0,761,988
kern,11190,SOVC,,,Cards Cast,176,0,1096,1272
kern,11190,SOVC,,,Registered Voters,1610,1610,1610,1610
kern,11190,SOVC,,,Voters Cast,176,0,1096,1272
kern,11195,SOVC,,,Cards Cast,261,0,1015,1276
kern,11195,SOVC,,,Registered Voters,1366,1366,1366,1366
kern,11195,SOVC,,,Voters Cast,261,0,1015,1276
kern,11530,SOVC,,,Cards Cast,86,0,467,553
kern,11530,SOVC,,,Registered Voters,929,929,929,929
kern,11530,SOVC,,,Voters Cast,86,0,467,553
kern,11540,SOVC,,,Cards Cast,77,0,529,606
kern,11540,SOVC,,,Registered Voters,1054,1054,1054,1054
kern,11540,SOVC,,,Voters Cast,77,0,529,606
kern,11546,SOVC,,,Cards Cast,89,0,589,678
kern,11546,SOVC,,,Registered Voters,1123,1123,1123,1123
kern,11546,SOVC,,,Voters Cast,89,0,589,678
kern,11548,SOVC,,,Cards Cast,112,0,1086,1198
kern,11548,SOVC,,,Registered Voters,1615,1615,1615,1615
kern,11548,SOVC,,,Voters Cast,112,0,1086,1198
kern,11550,SOVC,,,Cards Cast,91,0,865,956
kern,11550,SOVC,,,Registered Voters,1408,1408,1408,1408
kern,11550,SOVC,,,Voters Cast,91,0,865,956
kern,11552,SOVC,,,Cards Cast,115,0,735,850
kern,11552,SOVC,,,Registered Voters,1346,1346,1346,1346
kern,11552,SOVC,,,Voters Cast,115,0,735,850
kern,11554,SOVC,,,Cards Cast,141,0,824,965
kern,11554,SOVC,,,Registered Voters,1660,1660,1660,1660
kern,11554,SOVC,,,Voters Cast,141,0,824,965
kern,11557,SOVC,,,Cards Cast,121,0,853,974
kern,11557,SOVC,,,Registered Voters,1632,1632,1632,1632
kern,11557,SOVC,,,Voters Cast,121,0,853,974
kern,11570,SOVC,,,Cards Cast,119,0,562,681
kern,11570,SOVC,,,Registered Voters,1087,1087,1087,1087
kern,11570,SOVC,,,Voters Cast,119,0,562,681
kern,11580,SOVC,,,Cards Cast,105,0,605,710
kern,11580,SOVC,,,Registered Voters,1070,1070,1070,1070
kern,11580,SOVC,,,Voters Cast,105,0,605,710
kern,11610,SOVC,,,Cards Cast,112,0,503,615
kern,11610,SOVC,,,Registered Voters,882,882,882,882
kern,11610,SOVC,,,Voters Cast,112,0,503,615
kern,11626,SOVC,,,Cards Cast,109,0,1198,1307
kern,11626,SOVC,,,Registered Voters,1859,1859,1859,1859
kern,11626,SOVC,,,Voters Cast,109,0,1198,1307
kern,11725,SOVC,,,Cards Cast,167,0,863,1030
kern,11725,SOVC,,,Registered Voters,1209,1209,1209,1209
kern,11725,SOVC,,,Voters Cast,167,0,863,1030
kern,11990,SOVC,,,Cards Cast,184,0,517,701
kern,11990,SOVC,,,Registered Voters,836,836,836,836
kern,11990,SOVC,,,Voters Cast,184,0,517,701
kern,11991,SOVC,,,Cards Cast,211,0,509,720
kern,11991,SOVC,,,Registered Voters,876,876,876,876
kern,11991,SOVC,,,Voters Cast,211,0,509,720
kern,12171,SOVC,,,Cards Cast,119,0,571,690
kern,12171,SOVC,,,Registered Voters,945,945,945,945
kern,12171,SOVC,,,Voters Cast,119,0,571,690
kern,12173,SOVC,,,Cards Cast,149,0,411,560
kern,12173,SOVC,,,Registered Voters,667,667,667,667
kern,12173,SOVC,,,Voters Cast,149,0,411,560
kern,12505,SOVC,,,Cards Cast,170,0,754,924
kern,12505,SOVC,,,Registered Voters,1106,1106,1106,1106
kern,12505,SOVC,,,Voters Cast,170,0,754,924
kern,12591,SOVC,,,Cards Cast,178,0,577,755
kern,12591,SOVC,,,Registered Voters,1253,1253,1253,1253
kern,12591,SOVC,,,Voters Cast,178,0,577,755
kern,12592,SOVC,,,Cards Cast,107,0,571,678
kern,12592,SOVC,,,Registered Voters,1136,1136,1136,1136
kern,12592,SOVC,,,Voters Cast,107,0,571,678
kern,12593,SOVC,,,Cards Cast,206,0,956,1162
kern,12593,SOVC,,,Registered Voters,1820,1820,1820,1820
kern,12593,SOVC,,,Voters Cast,206,0,956,1162
kern,12620,SOVC,,,Cards Cast,176,0,908,1084
kern,12620,SOVC,,,Registered Voters,1480,1480,1480,1480
kern,12620,SOVC,,,Voters Cast,176,0,908,1084
kern,12622,SOVC,,,Cards Cast,132,0,873,1005
kern,12622,SOVC,,,Registered Voters,1303,1303,1303,1303
kern,12622,SOVC,,,Voters Cast,132,0,873,1005
kern,12623,SOVC,,,Cards Cast,305,0,1091,1396
kern,12623,SOVC,,,Registered Voters,1824,1824,1824,1824
kern,12623,SOVC,,,Voters Cast,305,0,1091,1396
kern,12650,SOVC,,,Cards Cast,143,0,964,1107
kern,12650,SOVC,,,Registered Voters,1338,1338,1338,1338
kern,12650,SOVC,,,Voters Cast,143,0,964,1107
kern,12670,SOVC,,,Cards Cast,233,0,999,1232
kern,12670,SOVC,,,Registered Voters,1586,1586,1586,1586
kern,12670,SOVC,,,Voters Cast,233,0,999,1232
kern,12709,SOVC,,,Cards Cast,165,0,722,887
kern,12709,SOVC,,,Registered Voters,1124,1124,1124,1124
kern,12709,SOVC,,,Voters Cast,165,0,722,887
kern,12921,SOVC,,,Cards Cast,179,0,1237,1416
kern,12921,SOVC,,,Registered Voters,1809,1809,1809,1809
kern,12921,SOVC,,,Voters Cast,179,0,1237,1416
kern,12922,SOVC,,,Cards Cast,92,0,619,711
kern,12922,SOVC,,,Registered Voters,863,863,863,863
kern,12922,SOVC,,,Voters Cast,92,0,619,711
kern,12923,SOVC,,,Cards Cast,93,0,596,689
kern,12923,SOVC,,,Registered Voters,933,933,933,933
kern,12923,SOVC,,,Voters Cast,93,0,596,689
kern,12924,SOVC,,,Cards Cast,179,0,1200,1379
kern,12924,SOVC,,,Registered Voters,1620,1620,1620,1620
