county,precinct,office,district,party,candidate,votes,election_day,mail
Tulare,102002 Exeter Memorial #3,President,,LIB,ADAM KOKESH,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,DAN BEHRMAN,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,ERIK CHASE GERHARDT,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,GEBY EVA ESPINOSA,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,JACOB HORNBERGER,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,JAMES ORLANDO OGLE,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,JO JORGENSEN,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,KEENAN WALLACE DUNHAM,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,KEN ARMSTRONG,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,KIM RUFF,,,2
Tulare,102002 Exeter Memorial #3,President,,LIB,MAX ABRAMSON,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,SAM ROBB,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,SORINNE ARDELEANU,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,SOURAYA FAAS,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,STEVEN A. RICHEY,,,
Tulare,102002 Exeter Memorial #3,President,,LIB,VERMIN SUPREME,,,
Tulare,102009 Exeter Memorial #2,President,,LIB,ADAM KOKESH,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,DAN BEHRMAN,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,ERIK CHASE GERHARDT,,0,1
Tulare,102009 Exeter Memorial #2,President,,LIB,GEBY EVA ESPINOSA,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,JACOB HORNBERGER,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,JAMES ORLANDO OGLE,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,JO JORGENSEN,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,KEENAN WALLACE DUNHAM,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,KEN ARMSTRONG,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,KIM RUFF,,0,1
Tulare,102009 Exeter Memorial #2,President,,LIB,MAX ABRAMSON,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,SAM ROBB,,0,1
Tulare,102009 Exeter Memorial #2,President,,LIB,SORINNE ARDELEANU,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,SOURAYA FAAS,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,STEVEN A. RICHEY,,0,0
Tulare,102009 Exeter Memorial #2,President,,LIB,VERMIN SUPREME,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,ADAM KOKESH,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,DAN BEHRMAN,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,ERIK CHASE GERHARDT,,1,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,GEBY EVA ESPINOSA,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,JACOB HORNBERGER,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,JAMES ORLANDO OGLE,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,JO JORGENSEN,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,KEENAN WALLACE DUNHAM,,1,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,KEN ARMSTRONG,,0,1
Tulare,103001 Lindsay Memorial #2,President,,LIB,KIM RUFF,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,MAX ABRAMSON,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,SAM ROBB,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,SORINNE ARDELEANU,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,SOURAYA FAAS,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,STEVEN A. RICHEY,,0,0
Tulare,103001 Lindsay Memorial #2,President,,LIB,VERMIN SUPREME,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,ADAM KOKESH,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,DAN BEHRMAN,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,ERIK CHASE GERHARDT,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,GEBY EVA ESPINOSA,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,JACOB HORNBERGER,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,JAMES ORLANDO OGLE,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,JO JORGENSEN,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,KEENAN WALLACE DUNHAM,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,KEN ARMSTRONG,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,KIM RUFF,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,MAX ABRAMSON,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,SAM ROBB,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,SORINNE ARDELEANU,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,SOURAYA FAAS,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,STEVEN A. RICHEY,,0,0
Tulare,104801 Mail Ballot Porterville,President,,LIB,VERMIN SUPREME,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,ADAM KOKESH,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,DAN BEHRMAN,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,ERIK CHASE GERHARDT,,0,2
Tulare,106001 Sierra Baprtist #1,President,,LIB,GEBY EVA ESPINOSA,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,JACOB HORNBERGER,,0,2
Tulare,106001 Sierra Baprtist #1,President,,LIB,JAMES ORLANDO OGLE,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,JO JORGENSEN,,0,1
Tulare,106001 Sierra Baprtist #1,President,,LIB,KEENAN WALLACE DUNHAM,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,KEN ARMSTRONG,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,KIM RUFF,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,MAX ABRAMSON,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,SAM ROBB,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,SORINNE ARDELEANU,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,SOURAYA FAAS,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,STEVEN A. RICHEY,,0,0
Tulare,106001 Sierra Baprtist #1,President,,LIB,VERMIN SUPREME,,0,0
Tulare,106002 Sierra Baptist #2,President,,LIB,ADAM KOKESH,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,DAN BEHRMAN,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,ERIK CHASE GERHARDT,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,GEBY EVA ESPINOSA,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,JACOB HORNBERGER,,,1
Tulare,106002 Sierra Baptist #2,President,,LIB,JAMES ORLANDO OGLE,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,JO JORGENSEN,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,KEENAN WALLACE DUNHAM,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,KEN ARMSTRONG,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,KIM RUFF,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,MAX ABRAMSON,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,SAM ROBB,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,SORINNE ARDELEANU,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,SOURAYA FAAS,,,1
Tulare,106002 Sierra Baptist #2,President,,LIB,STEVEN A. RICHEY,,,
Tulare,106002 Sierra Baptist #2,President,,LIB,VERMIN SUPREME,,,
Tulare,106003 Cal Fire #1,President,,LIB,ADAM KOKESH,,,
Tulare,106003 Cal Fire #1,President,,LIB,DAN BEHRMAN,,,
Tulare,106003 Cal Fire #1,President,,LIB,ERIK CHASE GERHARDT,,,
Tulare,106003 Cal Fire #1,President,,LIB,GEBY EVA ESPINOSA,,,
Tulare,106003 Cal Fire #1,President,,LIB,JACOB HORNBERGER,,,1
Tulare,106003 Cal Fire #1,President,,LIB,JAMES ORLANDO OGLE,,,
Tulare,106003 Cal Fire #1,President,,LIB,JO JORGENSEN,,,2
Tulare,106003 Cal Fire #1,President,,LIB,KEENAN WALLACE DUNHAM,,,1
Tulare,106003 Cal Fire #1,President,,LIB,KEN ARMSTRONG,,,3
Tulare,106003 Cal Fire #1,President,,LIB,KIM RUFF,,,1
Tulare,106003 Cal Fire #1,President,,LIB,MAX ABRAMSON,,,
Tulare,106003 Cal Fire #1,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,,
Tulare,106003 Cal Fire #1,President,,LIB,SAM ROBB,,,
Tulare,106003 Cal Fire #1,President,,LIB,SORINNE ARDELEANU,,,
Tulare,106003 Cal Fire #1,President,,LIB,SOURAYA FAAS,,,
Tulare,106003 Cal Fire #1,President,,LIB,STEVEN A. RICHEY,,,
Tulare,106003 Cal Fire #1,President,,LIB,VERMIN SUPREME,,,1
Tulare,106005 Cal Fire #2,President,,LIB,ADAM KOKESH,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,DAN BEHRMAN,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,ERIK CHASE GERHARDT,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,GEBY EVA ESPINOSA,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,JACOB HORNBERGER,,0,1
Tulare,106005 Cal Fire #2,President,,LIB,JAMES ORLANDO OGLE,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,JO JORGENSEN,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,KEENAN WALLACE DUNHAM,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,KEN ARMSTRONG,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,KIM RUFF,,1,0
Tulare,106005 Cal Fire #2,President,,LIB,MAX ABRAMSON,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,NICHOLAS D'ARTAGNAN DUMAS,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,SAM ROBB,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,SORINNE ARDELEANU,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,SOURAYA FAAS,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,STEVEN A. RICHEY,,0,0
Tulare,106005 Cal Fire #2,President,,LIB,VERMIN SUPREME,,1,0
