county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
San Luis Obispo,101A,Registered Voters,,,,575,,,,
San Luis Obispo,101A,Ballots Cast,,,,515,,,,493
San Luis Obispo,101B,Registered Voters,,,,1354,,,,
San Luis Obispo,101B,Ballots Cast,,,,1055,,,,965
San Luis Obispo,102A,Registered Voters,,,,2167,,,,
San Luis Obispo,102A,Ballots Cast,,,,1924,,,,1759
San Luis Obispo,102B,Registered Voters,,,,535,,,,
San Luis Obispo,102B,Ballots Cast,,,,478,,,,452
San Luis Obispo,103,Registered Voters,,,,3232,,,,
San Luis Obispo,103,Ballots Cast,,,,2823,,,,2684
San Luis Obispo,104,Registered Voters,,,,1584,,,,
San Luis Obispo,104,Ballots Cast,,,,1416,,,,1331
San Luis Obispo,105,Registered Voters,,,,616,,,,
San Luis Obispo,105,Ballots Cast,,,,478,,,,449
San Luis Obispo,106,Registered Voters,,,,3160,,,,
San Luis Obispo,106,Ballots Cast,,,,2577,,,,2388
San Luis Obispo,107,Registered Voters,,,,1122,,,,
San Luis Obispo,107,Ballots Cast,,,,1040,,,,981
San Luis Obispo,108,Registered Voters,,,,2228,,,,
San Luis Obispo,108,Ballots Cast,,,,1924,,,,1812
San Luis Obispo,109,Registered Voters,,,,3154,,,,
San Luis Obispo,109,Ballots Cast,,,,2740,,,,2585
San Luis Obispo,110,Registered Voters,,,,2791,,,,
San Luis Obispo,110,Ballots Cast,,,,2459,,,,2325
San Luis Obispo,111A,Registered Voters,,,,1973,,,,
San Luis Obispo,111A,Ballots Cast,,,,1685,,,,1567
San Luis Obispo,111B,Registered Voters,,,,1,,,,
San Luis Obispo,111B,Ballots Cast,,,,0,,,,0
San Luis Obispo,112,Registered Voters,,,,3944,,,,
San Luis Obispo,112,Ballots Cast,,,,3313,,,,3028
San Luis Obispo,113,Registered Voters,,,,753,,,,
San Luis Obispo,113,Ballots Cast,,,,681,,,,653
San Luis Obispo,114,Registered Voters,,,,3053,,,,
San Luis Obispo,114,Ballots Cast,,,,2785,,,,2624
San Luis Obispo,115,Registered Voters,,,,2066,,,,
San Luis Obispo,115,Ballots Cast,,,,1817,,,,1667
