county,office,district,party,candidate,votes
Alameda,Attorney General,,DEM,Kamala D. Harris,272218
Alameda,Attorney General,,REP,Ronald Gold,75835
Alpine,Attorney General,,DEM,Kamala D. Harris,260
Alpine,Attorney General,,REP,Ronald Gold,198
Amador,Attorney General,,DEM,Kamala D. Harris,5050
Amador,Attorney General,,REP,Ronald Gold,7378
Butte,Attorney General,,DEM,Kamala D. Harris,26622
Butte,Attorney General,,REP,Ronald Gold,32716
Calaveras,Attorney General,,DEM,Kamala D. Harris,6162
Calaveras,Attorney General,,REP,Ronald Gold,9017
Colusa,Attorney General,,DEM,Kamala D. Harris,1454
Colusa,Attorney General,,REP,Ronald Gold,2606
Contra Costa,Attorney General,,DEM,Kamala D. Harris,160718
Contra Costa,Attorney General,,REP,Ronald Gold,89065
Del Norte,Attorney General,,DEM,Kamala D. Harris,3034
Del Norte,Attorney General,,REP,Ronald Gold,3744
El Dorado,Attorney General,,DEM,Kamala D. Harris,24352
El Dorado,Attorney General,,REP,Ronald Gold,35286
Fresno,Attorney General,,DEM,Kamala D. Harris,72947
Fresno,Attorney General,,REP,Ronald Gold,83344
Glenn,Attorney General,,DEM,Kamala D. Harris,1765
Glenn,Attorney General,,REP,Ronald Gold,4066
Humboldt,Attorney General,,DEM,Kamala D. Harris,22497
Humboldt,Attorney General,,REP,Ronald Gold,13595
Imperial,Attorney General,,DEM,Kamala D. Harris,12097
Imperial,Attorney General,,REP,Ronald Gold,8454
Inyo,Attorney General,,DEM,Kamala D. Harris,2280
Inyo,Attorney General,,REP,Ronald Gold,3065
Kern,Attorney General,,DEM,Kamala D. Harris,49805
Kern,Attorney General,,REP,Ronald Gold,82434
Kings,Attorney General,,DEM,Kamala D. Harris,8395
Kings,Attorney General,,REP,Ronald Gold,13559
Lake,Attorney General,,DEM,Kamala D. Harris,9777
Lake,Attorney General,,REP,Ronald Gold,7313
Lassen,Attorney General,,DEM,Kamala D. Harris,1922
Lassen,Attorney General,,REP,Ronald Gold,4817
Los Angeles,Attorney General,,DEM,Kamala D. Harris,957238
Los Angeles,Attorney General,,REP,Ronald Gold,472744
Madera,Attorney General,,DEM,Kamala D. Harris,9766
Madera,Attorney General,,REP,Ronald Gold,16610
Marin,Attorney General,,DEM,Kamala D. Harris,63698
Marin,Attorney General,,REP,Ronald Gold,21523
Mariposa,Attorney General,,DEM,Kamala D. Harris,2491
Mariposa,Attorney General,,REP,Ronald Gold,3930
Mendocino,Attorney General,,DEM,Kamala D. Harris,16128
Mendocino,Attorney General,,REP,Ronald Gold,7524
Merced,Attorney General,,DEM,Kamala D. Harris,17431
Merced,Attorney General,,REP,Ronald Gold,19460
Modoc,Attorney General,,DEM,Kamala D. Harris,772
Modoc,Attorney General,,REP,Ronald Gold,2019
Mono,Attorney General,,DEM,Kamala D. Harris,1494
Mono,Attorney General,,REP,Ronald Gold,1516
Monterey,Attorney General,,DEM,Kamala D. Harris,46983
