county,office,district,party,candidate,votes
Alameda,Attorney General,,DEM,Kamala D. Harris,140175
Alameda,Attorney General,,REP,John Haggerty,13970
Alameda,Attorney General,,REP,Phil Wyman,6875
Alameda,Attorney General,,REP,David King,7542
Alameda,Attorney General,,REP,Ronald Gold,10372
Alameda,Attorney General,,LIB,Jonathan Jaech,4146
Alameda,Attorney General,,NPP,Orly Taitz,4092
Alpine,Attorney General,,DEM,Kamala D. Harris,269
Alpine,Attorney General,,REP,John Haggerty,42
Alpine,Attorney General,,REP,Phil Wyman,55
Alpine,Attorney General,,REP,David King,17
Alpine,Attorney General,,REP,Ronald Gold,44
Alpine,Attorney General,,LIB,Jonathan Jaech,15
Alpine,Attorney General,,NPP,Orly Taitz,15
Amador,Attorney General,,DEM,Kamala D. Harris,3603
Amador,Attorney General,,REP,John Haggerty,1668
Amador,Attorney General,,REP,Phil Wyman,1280
Amador,Attorney General,,REP,David King,419
Amador,Attorney General,,REP,Ronald Gold,1501
Amador,Attorney General,,LIB,Jonathan Jaech,287
Amador,Attorney General,,NPP,Orly Taitz,351
Butte,Attorney General,,DEM,Kamala D. Harris,15870
Butte,Attorney General,,REP,John Haggerty,5237
Butte,Attorney General,,REP,Phil Wyman,5581
Butte,Attorney General,,REP,David King,2388
Butte,Attorney General,,REP,Ronald Gold,6472
Butte,Attorney General,,LIB,Jonathan Jaech,1290
Butte,Attorney General,,NPP,Orly Taitz,1984
Calaveras,Attorney General,,DEM,Kamala D. Harris,4464
Calaveras,Attorney General,,REP,John Haggerty,2211
Calaveras,Attorney General,,REP,Phil Wyman,1593
Calaveras,Attorney General,,REP,David King,642
Calaveras,Attorney General,,REP,Ronald Gold,1844
Calaveras,Attorney General,,LIB,Jonathan Jaech,426
Calaveras,Attorney General,,NPP,Orly Taitz,433
Colusa,Attorney General,,DEM,Kamala D. Harris,1036
Colusa,Attorney General,,REP,John Haggerty,632
Colusa,Attorney General,,REP,Phil Wyman,657
Colusa,Attorney General,,REP,David King,206
Colusa,Attorney General,,REP,Ronald Gold,498
Colusa,Attorney General,,LIB,Jonathan Jaech,57
Colusa,Attorney General,,NPP,Orly Taitz,116
Contra Costa,Attorney General,,DEM,Kamala D. Harris,89009
Contra Costa,Attorney General,,REP,John Haggerty,11198
Contra Costa,Attorney General,,REP,Phil Wyman,9221
Contra Costa,Attorney General,,REP,David King,11185
Contra Costa,Attorney General,,REP,Ronald Gold,14357
Contra Costa,Attorney General,,LIB,Jonathan Jaech,3134
Contra Costa,Attorney General,,NPP,Orly Taitz,3834
Del Norte,Attorney General,,DEM,Kamala D. Harris,2146
Del Norte,Attorney General,,REP,John Haggerty,486
Del Norte,Attorney General,,REP,Phil Wyman,1077
Del Norte,Attorney General,,REP,David King,601
Del Norte,Attorney General,,REP,Ronald Gold,705
Del Norte,Attorney General,,LIB,Jonathan Jaech,172
Del Norte,Attorney General,,NPP,Orly Taitz,249
El Dorado,Attorney General,,DEM,Kamala D. Harris,15532
El Dorado,Attorney General,,REP,John Haggerty,5560
El Dorado,Attorney General,,REP,Phil Wyman,6455
El Dorado,Attorney General,,REP,David King,2356
El Dorado,Attorney General,,REP,Ronald Gold,6725
El Dorado,Attorney General,,LIB,Jonathan Jaech,1313
El Dorado,Attorney General,,NPP,Orly Taitz,1500
Fresno,Attorney General,,DEM,Kamala D. Harris,42490
Fresno,Attorney General,,REP,John Haggerty,6425
Fresno,Attorney General,,REP,Phil Wyman,25069
Fresno,Attorney General,,REP,David King,11298
Fresno,Attorney General,,REP,Ronald Gold,10036
Fresno,Attorney General,,LIB,Jonathan Jaech,1757
Fresno,Attorney General,,NPP,Orly Taitz,3330
Glenn,Attorney General,,DEM,Kamala D. Harris,1437
Glenn,Attorney General,,REP,John Haggerty,1232
Glenn,Attorney General,,REP,Phil Wyman,887
Glenn,Attorney General,,REP,David King,286
Glenn,Attorney General,,REP,Ronald Gold,827
Glenn,Attorney General,,LIB,Jonathan Jaech,142
Glenn,Attorney General,,NPP,Orly Taitz,221
Humboldt,Attorney General,,DEM,Kamala D. Harris,14841
Humboldt,Attorney General,,REP,John Haggerty,1419
Humboldt,Attorney General,,REP,Phil Wyman,2410
Humboldt,Attorney General,,REP,David King,2467
Humboldt,Attorney General,,REP,Ronald Gold,2876
Humboldt,Attorney General,,LIB,Jonathan Jaech,764
Humboldt,Attorney General,,NPP,Orly Taitz,837
Imperial,Attorney General,,DEM,Kamala D. Harris,8212
Imperial,Attorney General,,REP,John Haggerty,1354
Imperial,Attorney General,,REP,Phil Wyman,1780
Imperial,Attorney General,,REP,David King,1202
Imperial,Attorney General,,REP,Ronald Gold,2291
Imperial,Attorney General,,LIB,Jonathan Jaech,353
Imperial,Attorney General,,NPP,Orly Taitz,534
Inyo,Attorney General,,DEM,Kamala D. Harris,1380
Inyo,Attorney General,,REP,John Haggerty,434
Inyo,Attorney General,,REP,Phil Wyman,1161
Inyo,Attorney General,,REP,David King,155
Inyo,Attorney General,,REP,Ronald Gold,264
Inyo,Attorney General,,LIB,Jonathan Jaech,109
Inyo,Attorney General,,NPP,Orly Taitz,142
Kern,Attorney General,,DEM,Kamala D. Harris,21925
Kern,Attorney General,,REP,John Haggerty,5777
Kern,Attorney General,,REP,Phil Wyman,23123
Kern,Attorney General,,REP,David King,3391
Kern,Attorney General,,REP,Ronald Gold,11370
Kern,Attorney General,,LIB,Jonathan Jaech,1888
Kern,Attorney General,,NPP,Orly Taitz,2137
Kings,Attorney General,,DEM,Kamala D. Harris,4665
Kings,Attorney General,,REP,John Haggerty,2135
Kings,Attorney General,,REP,Phil Wyman,3857
Kings,Attorney General,,REP,David King,974
Kings,Attorney General,,REP,Ronald Gold,2124
Kings,Attorney General,,LIB,Jonathan Jaech,227
Kings,Attorney General,,NPP,Orly Taitz,266
Lake,Attorney General,,DEM,Kamala D. Harris,7575
Lake,Attorney General,,REP,John Haggerty,1602
Lake,Attorney General,,REP,Phil Wyman,1532
Lake,Attorney General,,REP,David King,585
Lake,Attorney General,,REP,Ronald Gold,1642
Lake,Attorney General,,LIB,Jonathan Jaech,543
