county,office,district,party,candidate,votes
Butte,U.S. House,1,DEM,Heidi Hall,13150
Butte,U.S. House,1,DEM,Dan Levine,3080
Butte,U.S. House,1,REP,Gregory Cheadle,3304
Butte,U.S. House,1,REP,Doug La Malfa,20203
Glenn,U.S. House,1,DEM,Heidi Hall,55
Glenn,U.S. House,1,DEM,Dan Levine,24
Glenn,U.S. House,1,REP,Gregory Cheadle,30
Glenn,U.S. House,1,REP,Doug La Malfa,497
Lassen,U.S. House,1,DEM,Heidi Hall,1078
Lassen,U.S. House,1,DEM,Dan Levine,175
Lassen,U.S. House,1,REP,Gregory Cheadle,423
Lassen,U.S. House,1,REP,Doug La Malfa,3947
Modoc,U.S. House,1,DEM,Heidi Hall,518
Modoc,U.S. House,1,DEM,Dan Levine,137
Modoc,U.S. House,1,REP,Gregory Cheadle,249
Modoc,U.S. House,1,REP,Doug La Malfa,1819
Nevada,U.S. House,1,DEM,Heidi Hall,8975
Nevada,U.S. House,1,DEM,Dan Levine,1632
Nevada,U.S. House,1,REP,Gregory Cheadle,2030
Nevada,U.S. House,1,REP,Doug La Malfa,10434
Placer,U.S. House,1,DEM,Heidi Hall,2745
Placer,U.S. House,1,DEM,Dan Levine,654
Placer,U.S. House,1,REP,Gregory Cheadle,1045
Placer,U.S. House,1,REP,Doug La Malfa,5505
Plumas,U.S. House,1,DEM,Heidi Hall,1604
Plumas,U.S. House,1,DEM,Dan Levine,153
Plumas,U.S. House,1,REP,Gregory Cheadle,372
Plumas,U.S. House,1,REP,Doug La Malfa,2878
Shasta,U.S. House,1,DEM,Heidi Hall,7946
Shasta,U.S. House,1,DEM,Dan Levine,1816
Shasta,U.S. House,1,REP,Gregory Cheadle,4176
Shasta,U.S. House,1,REP,Doug La Malfa,15456
Sierra,U.S. House,1,DEM,Heidi Hall,405
Sierra,U.S. House,1,DEM,Dan Levine,65
Sierra,U.S. House,1,REP,Gregory Cheadle,111
Sierra,U.S. House,1,REP,Doug La Malfa,692
Siskiyou,U.S. House,1,DEM,Heidi Hall,3190
Siskiyou,U.S. House,1,DEM,Dan Levine,638
Siskiyou,U.S. House,1,REP,Gregory Cheadle,807
Siskiyou,U.S. House,1,REP,Doug La Malfa,6331
Tehama,U.S. House,1,DEM,Heidi Hall,2815
Tehama,U.S. House,1,DEM,Dan Levine,839
Tehama,U.S. House,1,REP,Gregory Cheadle,1362
Tehama,U.S. House,1,REP,Doug La Malfa,7555
Del Norte,U.S. House,2,DEM,Andy Caffrey,483
Del Norte,U.S. House,2,DEM,Jared Huffman,2372
Del Norte,U.S. House,2,REP,Dale K. Mensing,2601
Humboldt,U.S. House,2,DEM,Andy Caffrey,2881
Humboldt,U.S. House,2,DEM,Jared Huffman,15163
Humboldt,U.S. House,2,REP,Dale K. Mensing,7755
Marin,U.S. House,2,DEM,Andy Caffrey,4081
Marin,U.S. House,2,DEM,Jared Huffman,42940
Marin,U.S. House,2,REP,Dale K. Mensing,8511
Mendocino,U.S. House,2,DEM,Andy Caffrey,1835
Mendocino,U.S. House,2,DEM,Jared Huffman,9671
Mendocino,U.S. House,2,REP,Dale K. Mensing,3614
Sonoma,U.S. House,2,DEM,Andy Caffrey,4502
Sonoma,U.S. House,2,DEM,Jared Huffman,27554
Sonoma,U.S. House,2,REP,Dale K. Mensing,8619
