county,precinct,office,district,party,candidate,election_day,mail,votes
Los Angeles,0850001A,State Assembly,51,DEM,Luis Lopez,43,46,89
Los Angeles,0850006A,State Assembly,51,DEM,Luis Lopez,23,13,36
Los Angeles,0850011A,State Assembly,51,DEM,Luis Lopez,25,25,50
Los Angeles,0850012A,State Assembly,51,DEM,Luis Lopez,31,24,55
Los Angeles,0850037A,State Assembly,51,DEM,Luis Lopez,22,29,51
Los Angeles,0850051A,State Assembly,51,DEM,Luis Lopez,28,38,66
Los Angeles,0850056A,State Assembly,51,DEM,Luis Lopez,10,25,35
Los Angeles,0850061A,State Assembly,51,DEM,Luis Lopez,42,54,96
Los Angeles,2000001A,State Assembly,51,DEM,Luis Lopez,16,14,30
Los Angeles,2000005A,State Assembly,51,DEM,Luis Lopez,37,18,55
Los Angeles,2000009A,State Assembly,51,DEM,Luis Lopez,20,19,39
Los Angeles,2000018C,State Assembly,51,DEM,Luis Lopez,20,16,36
Los Angeles,2000022C,State Assembly,51,DEM,Luis Lopez,7,18,25
Los Angeles,2000028A,State Assembly,51,DEM,Luis Lopez,28,34,62
Los Angeles,2000030A,State Assembly,51,DEM,Luis Lopez,20,48,68
Los Angeles,2000033A,State Assembly,51,DEM,Luis Lopez,46,14,60
Los Angeles,2000045A,State Assembly,51,DEM,Luis Lopez,31,14,45
Los Angeles,2000053A,State Assembly,51,DEM,Luis Lopez,41,28,69
Los Angeles,2000062A,State Assembly,51,DEM,Luis Lopez,26,35,61
Los Angeles,2000081A,State Assembly,51,DEM,Luis Lopez,22,36,58
Los Angeles,2000082A,State Assembly,51,DEM,Luis Lopez,25,31,56
Los Angeles,2000085A,State Assembly,51,DEM,Luis Lopez,21,18,39
Los Angeles,9000010C,State Assembly,51,DEM,Luis Lopez,42,65,107
Los Angeles,9000014A,State Assembly,51,DEM,Luis Lopez,33,94,127
Los Angeles,9000055A,State Assembly,51,DEM,Luis Lopez,68,76,144
Los Angeles,9000077A,State Assembly,51,DEM,Luis Lopez,53,69,122
Los Angeles,9000243A,State Assembly,51,DEM,Luis Lopez,31,31,62
Los Angeles,9000244A,State Assembly,51,DEM,Luis Lopez,20,16,36
Los Angeles,9000249A,State Assembly,51,DEM,Luis Lopez,17,24,41
Los Angeles,9000319C,State Assembly,51,DEM,Luis Lopez,27,42,69
Los Angeles,9000323A,State Assembly,51,DEM,Luis Lopez,17,60,77
Los Angeles,9000336B,State Assembly,51,DEM,Luis Lopez,8,21,29
Los Angeles,9000368C,State Assembly,51,DEM,Luis Lopez,29,41,70
Los Angeles,9000371A,State Assembly,51,DEM,Luis Lopez,22,37,59
Los Angeles,9000380A,State Assembly,51,DEM,Luis Lopez,53,80,133
Los Angeles,9000437A,State Assembly,51,DEM,Luis Lopez,43,36,79
Los Angeles,9000464B,State Assembly,51,DEM,Luis Lopez,11,87,98
Los Angeles,9000513A,State Assembly,51,DEM,Luis Lopez,34,59,93
Los Angeles,9000515A,State Assembly,51,DEM,Luis Lopez,31,45,76
Los Angeles,9000536B,State Assembly,51,DEM,Luis Lopez,14,31,45
Los Angeles,9000560A,State Assembly,51,DEM,Luis Lopez,26,48,74
Los Angeles,9000589A,State Assembly,51,DEM,Luis Lopez,42,77,119
Los Angeles,9000593A,State Assembly,51,DEM,Luis Lopez,27,43,70
Los Angeles,9000595A,State Assembly,51,DEM,Luis Lopez,27,36,63
Los Angeles,9000598A,State Assembly,51,DEM,Luis Lopez,20,21,41
Los Angeles,9000605B,State Assembly,51,DEM,Luis Lopez,8,20,28
Los Angeles,9000679A,State Assembly,51,DEM,Luis Lopez,41,53,94
Los Angeles,9000760A,State Assembly,51,DEM,Luis Lopez,75,85,160
Los Angeles,9000766A,State Assembly,51,DEM,Luis Lopez,19,39,58
Los Angeles,9000774B,State Assembly,51,DEM,Luis Lopez,31,61,92
Los Angeles,9000779A,State Assembly,51,DEM,Luis Lopez,27,42,69
